size_btc,direction,mean_cost_bps,std_cost_bps,p5_cost_bps,p25_cost_bps,p50_cost_bps,p75_cost_bps,p95_cost_bps,feasible_share,regime
0.05,sell into bids,0.379199,0.683723,0.00753215,0.00773796,0.00800315,0.510549,1.92309,1,normal
0.05,buy from asks,0.292489,0.561773,0.00753111,0.00773411,0.00799557,0.343338,1.53347,1,normal
0.1,sell into bids,0.458589,0.747069,0.00753869,0.00777146,0.00807257,0.691728,2.1099,1,normal
0.1,buy from asks,0.360065,0.625556,0.0075368,0.00776361,0.00805674,0.505198,1.74074,1,normal
0.25,sell into bids,0.588161,0.836639,0.00755495,0.00785577,0.121986,0.9393,2.40045,1,normal
0.25,buy from asks,0.456995,0.71021,0.00754868,0.00782523,0.0389031,0.693869,2.01152,1,normal
0.5,sell into bids,0.68913,0.905761,0.00756876,0.00792702,0.261841,1.11944,2.62069,1,normal
0.5,buy from asks,0.528229,0.774835,0.00755569,0.00786199,0.0851555,0.823487,2.21021,1,normal
1,sell into bids,0.796559,0.970051,0.00760239,0.00810463,0.413392,1.28215,2.83783,1,normal
1,buy from asks,0.611326,0.844793,0.00757895,0.00798417,0.176159,0.96392,2.42918,1,normal
2,sell into bids,0.962265,1.04566,0.0076865,0.072218,0.637152,1.51978,3.11473,1,normal
2,buy from asks,0.755418,0.934046,0.00763508,0.0257867,0.365235,1.19063,2.7281,1,normal
5,sell into bids,1.40127,1.1785,0.0110754,0.436074,1.15808,2.07833,3.7244,1,normal
5,buy from asks,1.18147,1.10116,0.00798557,0.27933,0.904263,1.78002,3.3939,1,normal
10,sell into bids,2.03359,1.30353,0.2587,1.02365,1.84908,2.82958,4.46561,1,normal
10,buy from asks,1.79756,1.25577,0.169377,0.820081,1.59531,2.51048,4.19436,0.999995,normal
25,sell into bids,3.38979,1.42277,1.29182,2.38882,3.25748,4.24212,5.96213,0.999806,normal
25,buy from asks,3.13739,1.41377,1.16934,2.12883,2.99416,3.92548,5.69693,0.999862,normal
50,sell into bids,4.86623,1.51305,2.48855,3.86925,4.78551,5.78114,7.5077,0.994219,normal
50,buy from asks,4.62665,1.46912,2.4412,3.64206,4.52856,5.45409,7.20985,0.989881,normal
0.05,sell into bids,0.193205,0.403422,0.00753134,0.00773077,0.00798751,0.19249,1.01258,1,stress
0.05,buy from asks,0.200591,0.408679,0.00752987,0.00772325,0.00797196,0.205965,1.07252,1,stress
0.1,sell into bids,0.274864,0.489743,0.00753843,0.00776722,0.00806301,0.376901,1.29278,1,stress
0.1,buy from asks,0.264358,0.475291,0.00753639,0.00775675,0.00804128,0.348826,1.28027,1,stress
0.25,sell into bids,0.419586,0.619272,0.00755796,0.00786841,0.089653,0.646156,1.69964,1,stress
0.25,buy from asks,0.377361,0.582441,0.007552,0.0078374,0.043716,0.569745,1.61536,1,stress
0.5,sell into bids,0.539951,0.718878,0.007577,0.00796798,0.237378,0.834997,2.00977,1,stress
0.5,buy from asks,0.468185,0.665418,0.00756493,0.00790474,0.129867,0.723871,1.86536,1,stress
1,sell into bids,0.669194,0.814181,0.00762679,0.0206482,0.39059,1.02206,2.32754,1,stress
1,buy from asks,0.573982,0.748537,0.00760736,0.00987193,0.262693,0.885588,2.12322,1,stress
2,sell into bids,0.872172,0.918359,0.00777072,0.120913,0.628925,1.29405,2.70015,1,stress
2,buy from asks,0.755314,0.851772,0.00772548,0.0784805,0.484023,1.14584,2.46918,1,stress
5,sell into bids,1.40355,1.08265,0.0334683,0.599797,1.22056,1.94354,3.47345,1,stress
5,buy from asks,1.26677,1.02221,0.0295511,0.49723,1.05647,1.79416,3.22791,1,stress
10,sell into bids,2.11512,1.21233,0.403037,1.283,1.98192,2.73601,4.32663,0.999995,stress
10,buy from asks,1.97391,1.15819,0.342943,1.16705,1.82607,2.60423,4.04937,0.999997,stress
25,sell into bids,3.49055,1.37983,1.54715,2.63836,3.35928,4.13798,5.91609,0.999892,stress
25,buy from asks,3.32918,1.34607,1.41986,2.4986,3.20241,3.98847,5.59829,0.999639,stress
50,sell into bids,4.9664,1.40973,2.93326,4.13596,4.86362,5.62902,7.33255,0.983627,stress
50,buy from asks,4.85348,1.42405,2.83352,4.03454,4.74966,5.52277,7.05853,0.982819,stress
