clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
seconds,0.1,1.7378287362628118,1.0429921407820473,0.019918781863306655,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,1.0,1.8147340564343766,1.0891483832526165,0.020731510637193192,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,5.0,1.790295126160985,1.074480877949946,0.02181205160651331,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,15.0,1.6492131861407826,0.9898077731860125,0.023809982846449678,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,30.0,1.4888071801106721,0.8935369496390242,0.02646640953223492,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,60.0,1.3647602672547396,0.8190877519147169,0.03164080976952732,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,180.0,1.2732098203093423,0.7641419481904236,0.046813662799426205,35625,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,600.0,1.2498060705061114,0.7500957268337134,0.07711368556116845,35625,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.0,1.4023144693154128,0.8419870155052492,0.019033616808782784,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.0833333333333333,1.7583751281391653,1.055775333333989,0.021078877843349633,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.1666666666666667,1.7211816723857336,1.0334433903273348,0.021751277180155848,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.25,1.683759782638494,1.010974289457095,0.02241283349719978,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.3333333333333333,1.6427634436085294,0.9863589938855299,0.02300455976169293,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.4166666666666665,1.6215329264917526,0.9736116250635319,0.023690375784176314,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.5,1.5927594177584516,0.9563352428581957,0.024246956671071296,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.5833333333333333,1.5794389040368246,0.9483372510818256,0.024884026408951713,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.6666666666666665,1.5605192211898595,0.9369773687992169,0.02542418486962444,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.75,1.5396369813040072,0.9244391149173062,0.026039324919387836,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.8333333333333333,1.5300320883423608,0.9186720809630948,0.02669687937547285,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,1.9166666666666665,1.518296932737588,0.9116259804910829,0.02718045789013964,35773,35860,normal,aggressive,random_n6,random_traders,7,True
