bin,x,y,sem_iid,n,regime,granularity,variant,method,seed,primary,selection
2.0,7.849347910689398e-09,0.0,,1,normal,aggressive,random_n6,random_traders,7,True,all_signed
3.0,1.309346216088054e-08,0.03124633572086395,,1,normal,aggressive,random_n6,random_traders,7,True,all_signed
4.0,2.4435404104889317e-08,0.002255892788551118,0.002328819060142148,8,normal,aggressive,random_n6,random_traders,7,True,all_signed
5.0,4.980921856538835e-08,0.00222129320088564,0.0011420681871230484,53,normal,aggressive,random_n6,random_traders,7,True,all_signed
6.0,9.853305821256218e-08,0.0007466722873722224,0.0004613969555723836,254,normal,aggressive,random_n6,random_traders,7,True,all_signed
7.0,1.8784744040095978e-07,0.0006682293665506817,0.000326759085978483,573,normal,aggressive,random_n6,random_traders,7,True,all_signed
8.0,3.739805247179999e-07,0.002015326064353921,0.00022692851587171846,1458,normal,aggressive,random_n6,random_traders,7,True,all_signed
9.0,7.319515804895578e-07,0.0026635733353610517,0.00021172545813148052,2407,normal,aggressive,random_n6,random_traders,7,True,all_signed
10.0,1.4884039268894423e-06,0.004511301165292059,0.0001945237285136765,3518,normal,aggressive,random_n6,random_traders,7,True,all_signed
11.0,2.8500837373056982e-06,0.0054559894396959685,0.00020444752409548892,4056,normal,aggressive,random_n6,random_traders,7,True,all_signed
12.0,5.75387249379153e-06,0.005510461301074411,0.00025176435712389526,3695,normal,aggressive,random_n6,random_traders,7,True,all_signed
13.0,1.1409814891835327e-05,0.006400267881101998,0.0002601564661240782,3906,normal,aggressive,random_n6,random_traders,7,True,all_signed
14.0,2.2807005718962898e-05,0.007896888669540582,0.0002941545654889875,3599,normal,aggressive,random_n6,random_traders,7,True,all_signed
15.0,4.505834035168799e-05,0.008614734870322912,0.00032543266406691757,3171,normal,aggressive,random_n6,random_traders,7,True,all_signed
16.0,8.890764737308924e-05,0.009587961846442963,0.0003850653050423903,2694,normal,aggressive,random_n6,random_traders,7,True,all_signed
17.0,0.00017828852877867257,0.012467557892058341,0.0005398082608963732,2015,normal,aggressive,random_n6,random_traders,7,True,all_signed
18.0,0.0003574709735865123,0.01372401832052218,0.0005770144839797412,1656,normal,aggressive,random_n6,random_traders,7,True,all_signed
19.0,0.0006998351053829004,0.01352034963326928,0.0006450753519118967,1383,normal,aggressive,random_n6,random_traders,7,True,all_signed
