regime,granularity,variant,method,seed,primary,n_parents,median_children,median_duration_s,median_q_btc,median_participation,positive_share,mean_impact_bps,mean_100ms_bps,median_end_price_delay_s,trajectory_half,positive_only_delta,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
normal,aggressive,random_n6,random_traders,7,True,35892,3.0,29.957492000000002,0.014307665,0.2190134067546748,0.6082413908391843,1.665622314326389,1.7376425621761693,2.0996040000000002,0.4724353480312775,0.132,0.21699999999999997,0.07073856338513812,0.9729440437064815,0.8930780842405626,False,19
normal,aggressive,random_n6,random_traders,23,True,35730,3.0,30.3584,0.014827449999999999,0.2198698900621304,0.6061013154212147,1.668681183553839,1.7460138820704136,2.093909,0.45537544743689273,0.122,0.20500000000000002,0.06377894873415474,0.9750257437927238,0.9133836963073425,False,19
normal,aggressive,random_n6,random_traders,71,True,35873,3.0,29.821487,0.01463258,0.22148256431246285,0.6056644272851448,1.668571462136746,1.743093683574785,2.078828,0.4547241289084764,0.121,0.21200000000000002,0.06783204091590167,0.9737672339449202,0.9182005260455242,False,19
normal,aggressive,random_n20,random_traders,7,False,37726,3.0,96.9160835,0.015307250000000001,0.03698644703952712,0.6111700153740126,2.206927639121998,2.3049007573050195,1.912287,0.4767475268597798,0.128,0.239,0.11639882231146047,0.9744537270104229,0.8986829356567262,False,19
normal,aggressive,random_n20,random_traders,23,False,37773,3.0,95.847506,0.015604199999999999,0.03760940949222352,0.6109125565880391,2.191310564560821,2.292037194134214,1.882908,0.4919119799940373,0.11499999999999999,0.257,0.13068731099532632,0.9257560798429139,0.7917387525670588,False,19
normal,aggressive,random_n20,random_traders,71,False,37643,3.0,96.225999,0.015272220000000001,0.0362451729022688,0.6125972956459368,2.216368379220331,2.3143194446365825,1.876371,0.48223919697614204,0.10599999999999998,0.20400000000000001,0.08371083284909459,0.9708747913288431,0.9145664893863519,False,19
normal,aggressive,threshold_wait5s,time_threshold,7,True,8467,2.0,6.625954,0.006001189999999999,0.7899465619902251,0.48423290421636944,0.6310387990399425,0.6755251139679022,2.30073,0.6485954636663541,0.069,0.15599999999999997,0.015070768354575272,0.7464329414671407,0.878463559596087,False,17
normal,aggressive,threshold_wait5s,time_threshold,23,True,8401,2.0,6.751581,0.00585645,0.7666226760359591,0.4769670277347935,0.6602511234304534,0.6990093482569385,2.363531,0.41543845869243834,0.065,0.122,0.01107725825108366,0.6104534357392546,0.7332483352110977,False,17
normal,aggressive,threshold_wait5s,time_threshold,71,True,8393,2.0,6.774667,0.00581012,0.7820633269236392,0.476706779459073,0.6615291503310755,0.7014018500022929,2.383559,0.3971279359449861,0.05399999999999999,0.045999999999999985,0.004205445393659013,0.07321112263238583,0.1028504753133429,False,17
normal,aggressive,threshold_wait20s,time_threshold,7,False,5421,2.0,19.647971,0.005678979999999999,0.23893665749670345,0.4851503412654492,0.6163802052993332,0.6552870810633908,2.503672,0.4976923745754423,0.045999999999999985,0.17099999999999999,0.017778934659178472,0.5436175159087756,0.6282101483264727,False,16
normal,aggressive,threshold_wait20s,time_threshold,23,False,5359,2.0,19.971628,0.00533986,0.23184369960580256,0.49132300802388507,0.682469149195197,0.7228527202019682,2.597924,0.3524002351572764,0.045999999999999985,0.15199999999999997,0.017316042567394007,0.8099567587137166,0.8071044897570107,False,15
normal,aggressive,threshold_wait20s,time_threshold,71,False,5405,2.0,19.812208,0.00545009,0.2444816445429349,0.4925069380203515,0.6064578791083242,0.6443446749359454,2.550175,1.895608407113354,0.04799999999999999,0.15000000000000002,0.014819183242758624,0.5222804645101478,0.5975315163431416,False,15
normal,aggressive,local_run_1s,local_runs,7,True,21255,2.0,0.373464,0.00847382,0.9999999999998214,0.545989179016702,0.905900880050595,0.8917657560111563,2.852528,0.38969195252158384,0.15699999999999997,0.197,0.03080317616803951,0.9431840289219919,0.8963115662028187,False,19
normal,fill,random_n6,random_traders,7,True,68223,3.0,13.588431,0.00812339,0.1779919506472677,0.7000571654720549,1.8825043468886182,1.9352143054811395,2.152962,0.5225861599204676,0.139,0.174,0.06056953382133079,0.9527273813750892,0.8244969531707464,False,19
normal,fill,random_n6,random_traders,23,True,68343,3.0,13.510208,0.008067940000000001,0.1767438729706496,0.7017251218120364,1.8811938746074257,1.9345659155133905,2.159909,0.5225071478905237,0.14,0.175,0.060710798249688946,0.9575587908791419,0.8287048834444426,False,19
normal,fill,random_n6,random_traders,71,True,68115,3.0,13.526334,0.00821887,0.17877232866132894,0.7006239447992366,1.877803668978964,1.929600059289091,2.146621,0.523692853800192,0.14,0.174,0.06095521832278312,0.9536093358952934,0.8085454248385482,False,19
normal,fill,threshold_wait5s,time_threshold,7,True,10024,2.0,7.05115,0.00173536,0.15062611151726435,0.514365522745411,0.6989546057196241,0.7403681999475831,2.479335,0.4584917324032716,0.08500000000000002,0.138,0.016371365755317942,0.6352413364714451,0.5492836465301834,False,15
