qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,7.376052026041852e-07,10.08987791524621,0.0033730345297154534,2112,normal,aggressive,random_n20,random_traders,71,False
0,1,7.730091319091509e-07,43.42605140677966,0.003929614718627552,1888,normal,aggressive,random_n20,random_traders,71,False
0,2,7.973108390360736e-07,96.9961721683417,0.0037947258908611523,1592,normal,aggressive,random_n20,random_traders,71,False
0,3,8.021561367173569e-07,187.37593679999998,0.0034499783169415405,1245,normal,aggressive,random_n20,random_traders,71,False
0,4,8.5350106569596e-07,410.3132097713459,0.003977458334310242,691,normal,aggressive,random_n20,random_traders,71,False
1,0,3.2093651833487914e-06,10.343151687237027,0.0050633331651849176,1426,normal,aggressive,random_n20,random_traders,71,False
1,1,3.352214741814197e-06,43.67160245626477,0.006174600048842603,1692,normal,aggressive,random_n20,random_traders,71,False
1,2,3.387733756952076e-06,97.7461610116208,0.007739598564096489,1635,normal,aggressive,random_n20,random_traders,71,False
1,3,3.486774556136452e-06,190.83750779453837,0.007190449797804811,1538,normal,aggressive,random_n20,random_traders,71,False
1,4,3.5382442816912486e-06,443.695716061439,0.008247906880112638,1237,normal,aggressive,random_n20,random_traders,71,False
2,0,1.2748547663758123e-05,10.203614285937501,0.005358368627347004,1280,normal,aggressive,random_n20,random_traders,71,False
2,1,1.2677910436974201e-05,44.3030183669269,0.006700142661517364,1409,normal,aggressive,random_n20,random_traders,71,False
2,2,1.2603006304560992e-05,97.78911460676393,0.008233171713184266,1508,normal,aggressive,random_n20,random_traders,71,False
2,3,1.295292258948382e-05,194.53013968651274,0.010023132671147138,1646,normal,aggressive,random_n20,random_traders,71,False
2,4,1.3068322102051268e-05,489.32183851722095,0.012056193023989619,1684,normal,aggressive,random_n20,random_traders,71,False
3,0,5.51874583848932e-05,9.628079431403648,0.006328821804566724,1261,normal,aggressive,random_n20,random_traders,71,False
3,1,5.396376677648116e-05,44.53841610788064,0.008167424012013608,1307,normal,aggressive,random_n20,random_traders,71,False
3,2,5.3588239203053445e-05,98.09911980771929,0.010811882816503042,1425,normal,aggressive,random_n20,random_traders,71,False
3,3,5.445410987965658e-05,192.3732463986146,0.01262251222816771,1588,normal,aggressive,random_n20,random_traders,71,False
3,4,5.3502351657616374e-05,527.9449015757576,0.016466470009116045,1947,normal,aggressive,random_n20,random_traders,71,False
4,0,0.0006797192352530798,8.308599910973085,0.009766526111187324,1449,normal,aggressive,random_n20,random_traders,71,False
4,1,0.0006904200166603366,44.38773620292208,0.013575209409747593,1232,normal,aggressive,random_n20,random_traders,71,False
4,2,0.0006458754270882042,99.5566198734455,0.014863475720701716,1367,normal,aggressive,random_n20,random_traders,71,False
4,3,0.0006688967940551014,193.15300141760423,0.021554947865779994,1511,normal,aggressive,random_n20,random_traders,71,False
4,4,0.0007200325176553304,538.0590078181818,0.02700476078482402,1969,normal,aggressive,random_n20,random_traders,71,False
