qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,4.790637783574905e-07,1.7727989664212076,0.004385681963294134,3395,normal,fill,random_n6,random_traders,23,True
0,1,4.919643480542105e-07,7.987029979127135,0.005129896644792244,3162,normal,fill,random_n6,random_traders,23,True
0,2,5.160601567702745e-07,17.911980116613417,0.005721182256693612,2504,normal,fill,random_n6,random_traders,23,True
0,3,5.3944774201683e-07,35.61539108387097,0.0061869405883698565,1860,normal,fill,random_n6,random_traders,23,True
0,4,5.750651570271596e-07,78.70999032079646,0.006707385302891266,904,normal,fill,random_n6,random_traders,23,True
1,0,1.8102778210501198e-06,1.8666424291287387,0.00537149596533795,2307,normal,fill,random_n6,random_traders,23,True
1,1,1.8496069899527828e-06,8.164553822789633,0.0068318272651784135,2624,normal,fill,random_n6,random_traders,23,True
1,2,1.918219178944304e-06,18.22009838554217,0.008203070508559944,2656,normal,fill,random_n6,random_traders,23,True
1,3,1.9365020862030268e-06,35.89906889003573,0.00952451932287646,2519,normal,fill,random_n6,random_traders,23,True
1,4,2.0313045429125256e-06,87.04303063699827,0.010565088198701103,1719,normal,fill,random_n6,random_traders,23,True
2,0,7.5752243574740505e-06,1.838281430372807,0.004722099295314195,1824,normal,fill,random_n6,random_traders,23,True
2,1,7.6056467485538e-06,8.189534022406233,0.005987414116502201,2053,normal,fill,random_n6,random_traders,23,True
2,2,7.386859604702065e-06,18.256850723559758,0.007894602623535613,2326,normal,fill,random_n6,random_traders,23,True
2,3,7.356946027458061e-06,36.54713532643253,0.009632491894371665,2705,normal,fill,random_n6,random_traders,23,True
2,4,7.480486272091765e-06,96.9496922022626,0.012643024574859146,2917,normal,fill,random_n6,random_traders,23,True
3,0,3.028765855632372e-05,1.6940258136363637,0.005065941866649075,1980,normal,fill,random_n6,random_traders,23,True
3,1,3.0010556436322463e-05,8.251623070565492,0.006574750663080844,2069,normal,fill,random_n6,random_traders,23,True
3,2,3.067308255803785e-05,18.397328366273797,0.008573307229877057,2206,normal,fill,random_n6,random_traders,23,True
3,3,3.0191314786807124e-05,36.568567009623095,0.010840435645166542,2494,normal,fill,random_n6,random_traders,23,True
3,4,3.090727956405704e-05,105.088361763329,0.015125809839511015,3076,normal,fill,random_n6,random_traders,23,True
4,0,0.0005648785455881805,1.3957479939629152,0.008042650529180656,2319,normal,fill,random_n6,random_traders,23,True
4,1,0.00039766058032417146,8.121630317162232,0.00962556826619895,1917,normal,fill,random_n6,random_traders,23,True
4,2,0.00042472393862249966,18.299679597280825,0.012929055699444365,2133,normal,fill,random_n6,random_traders,23,True
4,3,0.00044135261817295683,36.42161916288385,0.01528929006009181,2247,normal,fill,random_n6,random_traders,23,True
4,4,0.00048164506129680834,109.29110570800873,0.023469863256293404,3209,normal,fill,random_n6,random_traders,23,True
