qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,2.626222180076313e-07,1.8314936,0.0020993763721060908,445,normal,fill,threshold_wait5s,time_threshold,23,True
0,1,2.6805957067971917e-07,4.423092576659039,0.0015441392539511612,437,normal,fill,threshold_wait5s,time_threshold,23,True
0,2,2.6519417628861696e-07,7.173485039915967,0.002199800062756332,476,normal,fill,threshold_wait5s,time_threshold,23,True
0,3,2.7328803144915975e-07,11.062933902313624,0.0019543375187799227,389,normal,fill,threshold_wait5s,time_threshold,23,True
0,4,2.739951625342894e-07,19.12129231418919,0.0020746828090069157,296,normal,fill,threshold_wait5s,time_threshold,23,True
1,0,6.278065756689302e-07,1.9056438405797103,0.0036883538034929316,414,normal,fill,threshold_wait5s,time_threshold,23,True
1,1,6.42762380311699e-07,4.402050011547344,0.0031250465928832315,433,normal,fill,threshold_wait5s,time_threshold,23,True
1,2,6.376168281070544e-07,7.149837979695432,0.0028440971561435537,394,normal,fill,threshold_wait5s,time_threshold,23,True
1,3,6.492667455530065e-07,11.063505756818182,0.0036420640335815555,440,normal,fill,threshold_wait5s,time_threshold,23,True
1,4,6.616785462693752e-07,19.984317389972144,0.0036422515186927676,359,normal,fill,threshold_wait5s,time_threshold,23,True
2,0,1.4382335465524643e-06,1.897140443069307,0.002796537225376134,404,normal,fill,threshold_wait5s,time_threshold,23,True
2,1,1.4505066409227044e-06,4.3672020405405405,0.0031392236979275213,444,normal,fill,threshold_wait5s,time_threshold,23,True
2,2,1.4315581050555547e-06,7.131776762148338,0.003620149861913744,391,normal,fill,threshold_wait5s,time_threshold,23,True
2,3,1.4466846856533996e-06,10.975500079903147,0.003162526825784696,413,normal,fill,threshold_wait5s,time_threshold,23,True
2,4,1.4580860389036747e-06,21.51050619023136,0.004562232112458635,389,normal,fill,threshold_wait5s,time_threshold,23,True
3,0,5.291948448776053e-06,1.8459199385026739,0.002979525031554919,374,normal,fill,threshold_wait5s,time_threshold,23,True
3,1,5.277362510434735e-06,4.389869835051546,0.0020038654225126686,388,normal,fill,threshold_wait5s,time_threshold,23,True
3,2,5.01127009438407e-06,7.194588649382716,0.002755190946169073,405,normal,fill,threshold_wait5s,time_threshold,23,True
3,3,5.02317412927017e-06,11.056002152588556,0.004003276589907664,367,normal,fill,threshold_wait5s,time_threshold,23,True
3,4,5.099656245503888e-06,22.547577104536487,0.003141250217721154,507,normal,fill,threshold_wait5s,time_threshold,23,True
4,0,8.845785185404628e-05,1.8058739975308642,0.0034069547334096982,405,normal,fill,threshold_wait5s,time_threshold,23,True
4,1,8.398100926009082e-05,4.353475533923303,0.002669394874481046,339,normal,fill,threshold_wait5s,time_threshold,23,True
4,2,8.595918255996783e-05,7.184638813333334,0.0036322589259662006,375,normal,fill,threshold_wait5s,time_threshold,23,True
4,3,8.19569323175686e-05,11.004205224537039,0.0030798519114571443,432,normal,fill,threshold_wait5s,time_threshold,23,True
4,4,0.00011811469705757941,23.224698217922608,0.004451197604282189,491,normal,fill,threshold_wait5s,time_threshold,23,True
