qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,5.929437374606878e-07,0.008235129821958457,0.001808493249962948,1348,stress,aggressive,local_run_1s,local_runs,7,True
0,1,6.088929199607623e-07,0.12867515735641227,0.0031101595491350624,1271,stress,aggressive,local_run_1s,local_runs,7,True
0,2,6.264578821088042e-07,0.3733831864111498,0.0020815453073525537,1148,stress,aggressive,local_run_1s,local_runs,7,True
0,3,6.061171977734257e-07,0.6896025463659148,0.0017728127785714863,1197,stress,aggressive,local_run_1s,local_runs,7,True
0,4,6.22003834458062e-07,1.1396241671686749,0.0017762273174816384,664,stress,aggressive,local_run_1s,local_runs,7,True
1,0,1.959968002221963e-06,0.008331664799253034,0.002775974158692468,1071,stress,aggressive,local_run_1s,local_runs,7,True
1,1,1.9792575867372926e-06,0.12569017539484623,0.004724726299303714,1203,stress,aggressive,local_run_1s,local_runs,7,True
1,2,2.027396014858234e-06,0.3716563904761905,0.00414086462869025,1260,stress,aggressive,local_run_1s,local_runs,7,True
1,3,1.9930487087044166e-06,0.6947577538461539,0.003827766578267573,1170,stress,aggressive,local_run_1s,local_runs,7,True
1,4,2.0733659123630548e-06,1.1809093911159263,0.004434545352773606,923,stress,aggressive,local_run_1s,local_runs,7,True
2,0,6.771195911283049e-06,0.008087677419354839,0.002338866486819879,1023,stress,aggressive,local_run_1s,local_runs,7,True
2,1,6.593253452726247e-06,0.13047672160148976,0.003560612649441192,1074,stress,aggressive,local_run_1s,local_runs,7,True
2,2,6.679168277327037e-06,0.3762303737623762,0.0031060951208229035,1212,stress,aggressive,local_run_1s,local_runs,7,True
2,3,6.742574507501535e-06,0.6998398778877888,0.003461235251946255,1212,stress,aggressive,local_run_1s,local_runs,7,True
2,4,6.698269947390148e-06,1.296189450767841,0.004737344822582065,1107,stress,aggressive,local_run_1s,local_runs,7,True
3,0,2.565278277891325e-05,0.008763021720243267,0.004522678729254747,1151,stress,aggressive,local_run_1s,local_runs,7,True
3,1,2.5905714796210066e-05,0.12630118518518518,0.0045836579260179495,1080,stress,aggressive,local_run_1s,local_runs,7,True
3,2,2.6345484961983897e-05,0.37394699906542056,0.004086794065676957,1070,stress,aggressive,local_run_1s,local_runs,7,True
3,3,2.5862869859075822e-05,0.6915198996383364,0.004179887754803319,1106,stress,aggressive,local_run_1s,local_runs,7,True
3,4,2.6524649879618004e-05,1.4139414557377048,0.005578876997853497,1220,stress,aggressive,local_run_1s,local_runs,7,True
4,0,0.000602758156543347,0.009718721739130435,0.005075361743084844,1035,stress,aggressive,local_run_1s,local_runs,7,True
4,1,0.0007855822018118458,0.12585678778778778,0.005573949882185217,999,stress,aggressive,local_run_1s,local_runs,7,True
4,2,0.0007252073710567927,0.37284890191897657,0.0055579816161511085,938,stress,aggressive,local_run_1s,local_runs,7,True
4,3,0.000641815360061336,0.6951754946921443,0.0054187289443959515,942,stress,aggressive,local_run_1s,local_runs,7,True
4,4,0.0013103640283270235,1.7734727047841305,0.009398991446071288,1714,stress,aggressive,local_run_1s,local_runs,7,True
