qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,7.74219266107069e-07,9.13008237799043,0.004169274136019394,2508,stress,aggressive,random_n20,random_traders,71,False
0,1,8.103116323978898e-07,39.566425289552235,0.004436318589149734,2345,stress,aggressive,random_n20,random_traders,71,False
0,2,8.268887485566372e-07,89.13137414107884,0.004688427082184409,1928,stress,aggressive,random_n20,random_traders,71,False
0,3,8.453546291381092e-07,177.38671408133334,0.005390051962670223,1500,stress,aggressive,random_n20,random_traders,71,False
0,4,8.743419899329902e-07,401.530222760841,0.0022314530971955585,761,stress,aggressive,random_n20,random_traders,71,False
1,0,3.2497814342615405e-06,9.953201111927644,0.005999515813132231,1769,stress,aggressive,random_n20,random_traders,71,False
1,1,3.299799902020327e-06,40.7474502165,0.006870410016500846,2000,stress,aggressive,random_n20,random_traders,71,False
1,2,3.3946479531863547e-06,89.24668791962905,0.008067353047079331,1941,stress,aggressive,random_n20,random_traders,71,False
1,3,3.505869803618951e-06,179.0231745545503,0.009150204431273713,1879,stress,aggressive,random_n20,random_traders,71,False
1,4,3.6013666509740395e-06,426.67723583402204,0.006250582281144541,1452,stress,aggressive,random_n20,random_traders,71,False
2,0,1.2210345802677268e-05,9.434220638071384,0.005781981901653951,1597,stress,aggressive,random_n20,random_traders,71,False
2,1,1.2080399011982753e-05,40.630011616957304,0.007412377266408024,1663,stress,aggressive,random_n20,random_traders,71,False
2,2,1.2071060850000416e-05,90.30355336156352,0.010389229075031783,1842,stress,aggressive,random_n20,random_traders,71,False
2,3,1.2098183050902818e-05,180.25319727955355,0.009029391858715999,1971,stress,aggressive,random_n20,random_traders,71,False
2,4,1.226369224816458e-05,472.2585547232097,0.009945895366221867,1969,stress,aggressive,random_n20,random_traders,71,False
3,0,4.5738600124110225e-05,8.903698800824177,0.0077843875718435485,1456,stress,aggressive,random_n20,random_traders,71,False
3,1,4.357517313230129e-05,40.89350849534574,0.010151913412002358,1504,stress,aggressive,random_n20,random_traders,71,False
3,2,4.537963865215639e-05,90.85217644124559,0.011501128286211991,1702,stress,aggressive,random_n20,random_traders,71,False
3,3,4.4964115115367425e-05,182.10667240823776,0.013698367228593772,1918,stress,aggressive,random_n20,random_traders,71,False
3,4,4.5622954640729414e-05,520.5513661519708,0.014482617352598487,2461,stress,aggressive,random_n20,random_traders,71,False
4,0,0.0007080906485371053,7.890527969626168,0.012468740471551483,1712,stress,aggressive,random_n20,random_traders,71,False
4,1,0.0006441071343537618,40.687057685415304,0.016970240436153333,1529,stress,aggressive,random_n20,random_traders,71,False
4,2,0.000672048249945762,90.73324444383056,0.017780662579847405,1629,stress,aggressive,random_n20,random_traders,71,False
4,3,0.0005807166006710748,181.69534004230118,0.021377076568971982,1773,stress,aggressive,random_n20,random_traders,71,False
4,4,0.0006670223196473482,555.4630905373073,0.024832383603702782,2399,stress,aggressive,random_n20,random_traders,71,False
