qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,5.483912873217928e-07,1.8820293520833333,0.0013987331944478388,480,stress,aggressive,threshold_wait5s,time_threshold,71,True
0,1,5.554325785042864e-07,4.197087275555556,0.0010818367752949076,450,stress,aggressive,threshold_wait5s,time_threshold,71,True
0,2,5.645267098943663e-07,6.750814203661327,0.001617009241512563,437,stress,aggressive,threshold_wait5s,time_threshold,71,True
0,3,5.595953818541822e-07,10.45391879040404,0.0015865169601664048,396,stress,aggressive,threshold_wait5s,time_threshold,71,True
0,4,5.805649156917652e-07,18.98004956569343,0.0024732082676436613,274,stress,aggressive,threshold_wait5s,time_threshold,71,True
1,0,1.9142370930659945e-06,1.8358941545667447,0.0028595008868124256,427,stress,aggressive,threshold_wait5s,time_threshold,71,True
1,1,1.9161887078512607e-06,4.279178264197531,0.003005079610212374,405,stress,aggressive,threshold_wait5s,time_threshold,71,True
1,2,1.912741701838616e-06,6.754996723112128,0.003069606775425178,437,stress,aggressive,threshold_wait5s,time_threshold,71,True
1,3,1.9157786258560524e-06,10.607281163972287,0.0027176186466244955,433,stress,aggressive,threshold_wait5s,time_threshold,71,True
1,4,1.9658189026553956e-06,20.37700638323353,0.0030469995481413603,334,stress,aggressive,threshold_wait5s,time_threshold,71,True
2,0,5.650676983881992e-06,1.8914803282828283,0.002653207127722637,396,stress,aggressive,threshold_wait5s,time_threshold,71,True
2,1,5.495228342902051e-06,4.228570485915493,0.0022765001236362925,426,stress,aggressive,threshold_wait5s,time_threshold,71,True
2,2,5.5648479580931255e-06,6.706350325,0.002639262810733306,400,stress,aggressive,threshold_wait5s,time_threshold,71,True
2,3,5.60446617991242e-06,10.681281333333333,0.0028762623719336008,387,stress,aggressive,threshold_wait5s,time_threshold,71,True
2,4,5.351430917896061e-06,21.087833182242992,0.004242691660200382,428,stress,aggressive,threshold_wait5s,time_threshold,71,True
3,0,1.8866918010663938e-05,1.8203214835164836,0.00312851797508083,364,stress,aggressive,threshold_wait5s,time_threshold,71,True
3,1,1.9320207470996686e-05,4.220770788359788,0.0029787903250210104,378,stress,aggressive,threshold_wait5s,time_threshold,71,True
3,2,1.959922749226212e-05,6.76997209711286,0.003040868811928032,381,stress,aggressive,threshold_wait5s,time_threshold,71,True
3,3,1.9039169373650906e-05,10.677399446808511,0.0035056379207225132,423,stress,aggressive,threshold_wait5s,time_threshold,71,True
3,4,1.9358928417009406e-05,21.787447348979594,0.005413713932025857,490,stress,aggressive,threshold_wait5s,time_threshold,71,True
4,0,0.0003823820549279145,1.7127617108108106,0.004420305876178934,370,stress,aggressive,threshold_wait5s,time_threshold,71,True
4,1,0.000328137776487987,4.216565018567639,0.003626318935225338,377,stress,aggressive,threshold_wait5s,time_threshold,71,True
4,2,0.00031145654879857044,6.860930015706806,0.0037188727366048568,382,stress,aggressive,threshold_wait5s,time_threshold,71,True
4,3,0.0002779632292572173,10.605121795969772,0.003949242524207903,397,stress,aggressive,threshold_wait5s,time_threshold,71,True
4,4,0.00033314877000148186,23.918567029354207,0.006629487031297849,511,stress,aggressive,threshold_wait5s,time_threshold,71,True
