qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,4.901321818338931e-07,1.511509633809639,0.004470314449791001,4129,stress,fill,random_n6,random_traders,71,True
0,1,5.188445743427613e-07,7.2655136619718315,0.005164208015808565,3692,stress,fill,random_n6,random_traders,71,True
0,2,5.331974639700646e-07,16.74004039600947,0.005393411124234029,2957,stress,fill,random_n6,random_traders,71,True
0,3,5.645122253636092e-07,33.629572692710816,0.005576621787698179,2099,stress,fill,random_n6,random_traders,71,True
0,4,6.036133041582662e-07,79.42821635218978,0.004926114350047773,1096,stress,fill,random_n6,random_traders,71,True
1,0,1.7838552743479547e-06,1.6272784356330012,0.005277819816339551,2812,stress,fill,random_n6,random_traders,71,True
1,1,1.8217037606394937e-06,7.511170697637293,0.007172139083362873,3132,stress,fill,random_n6,random_traders,71,True
1,2,1.8696669599545337e-06,16.82467497824654,0.008226524754159718,3034,stress,fill,random_n6,random_traders,71,True
1,3,1.9275978819926377e-06,33.903648142310374,0.008665014328108499,2874,stress,fill,random_n6,random_traders,71,True
1,4,1.9990209343111022e-06,84.85447303490565,0.007945742688772722,2120,stress,fill,random_n6,random_traders,71,True
2,0,7.4524605787990445e-06,1.5494188726862301,0.004250194623634329,2215,stress,fill,random_n6,random_traders,71,True
2,1,7.286040632401964e-06,7.518040163168317,0.0062859733799247395,2525,stress,fill,random_n6,random_traders,71,True
2,2,7.230561097265304e-06,17.092253419727175,0.007955666437253331,2859,stress,fill,random_n6,random_traders,71,True
2,3,7.286762212331913e-06,34.46034054351291,0.009406397858835888,3137,stress,fill,random_n6,random_traders,71,True
2,4,7.455501418411225e-06,93.03683411523016,0.010538142200444273,3237,stress,fill,random_n6,random_traders,71,True
3,0,2.7421148568716253e-05,1.538056147928994,0.005550309574378981,2197,stress,fill,random_n6,random_traders,71,True
3,1,2.6865223206346863e-05,7.496094788564378,0.0070609948917101815,2431,stress,fill,random_n6,random_traders,71,True
3,2,2.751218961326427e-05,16.97128086632009,0.009369527630168687,2693,stress,fill,random_n6,random_traders,71,True
3,3,2.8012823247137512e-05,34.49523059064918,0.010801000564217,2973,stress,fill,random_n6,random_traders,71,True
3,4,2.871100050192986e-05,103.32197751984774,0.012898308095586073,3678,stress,fill,random_n6,random_traders,71,True
4,0,0.0005167161655260047,1.2564533965648854,0.007814430948505218,2620,stress,fill,random_n6,random_traders,71,True
4,1,0.0004219172940295622,7.542510728558395,0.010963349892423197,2192,stress,fill,random_n6,random_traders,71,True
4,2,0.0004287190561787746,17.09408916131687,0.013717184213932471,2430,stress,fill,random_n6,random_traders,71,True
4,3,0.00043982902685430695,34.34439609484251,0.015462340247454605,2889,stress,fill,random_n6,random_traders,71,True
4,4,0.00045133383664223124,112.44153717386777,0.018141331877906616,3842,stress,fill,random_n6,random_traders,71,True
