qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,2.830990283813293e-07,1.7910864146788992,0.0026200229178253687,545,stress,fill,threshold_wait5s,time_threshold,23,True
0,1,2.8902362190208817e-07,4.241414973262032,0.001808734885581106,561,stress,fill,threshold_wait5s,time_threshold,23,True
0,2,2.900746356687187e-07,6.997705075728156,0.001832706561562652,515,stress,fill,threshold_wait5s,time_threshold,23,True
0,3,2.7961808159729215e-07,10.974189177966101,0.001429283633985746,472,stress,fill,threshold_wait5s,time_threshold,23,True
0,4,3.000907625579964e-07,19.08541763888889,0.0009633300600720872,324,stress,fill,threshold_wait5s,time_threshold,23,True
1,0,6.726547238385904e-07,1.8269898742004265,0.004007373992804436,469,stress,fill,threshold_wait5s,time_threshold,23,True
1,1,6.575163249148236e-07,4.274215305506217,0.0033050990782773674,563,stress,fill,threshold_wait5s,time_threshold,23,True
1,2,6.666133053808744e-07,6.9832029089253185,0.0034154298673683124,549,stress,fill,threshold_wait5s,time_threshold,23,True
1,3,6.710032075916902e-07,10.947017875802999,0.002920676118470564,467,stress,fill,threshold_wait5s,time_threshold,23,True
1,4,6.850773700177522e-07,20.228418715447155,0.004290933905386472,369,stress,fill,threshold_wait5s,time_threshold,23,True
2,0,1.4587459236867419e-06,1.7627210280561123,0.004285415904856095,499,stress,fill,threshold_wait5s,time_threshold,23,True
2,1,1.4543978607609527e-06,4.302534690987125,0.003949132898335885,466,stress,fill,threshold_wait5s,time_threshold,23,True
2,2,1.4748571267020852e-06,7.104477031460674,0.004213752065840609,445,stress,fill,threshold_wait5s,time_threshold,23,True
2,3,1.4761751698922187e-06,11.01910984489796,0.0041257187947984384,490,stress,fill,threshold_wait5s,time_threshold,23,True
2,4,1.497039029056982e-06,21.212992290135396,0.005253335303344381,517,stress,fill,threshold_wait5s,time_threshold,23,True
3,0,5.82451381638189e-06,1.7711990820045558,0.002471784751776826,439,stress,fill,threshold_wait5s,time_threshold,23,True
3,1,5.890663067250547e-06,4.331103471604938,0.002009373273063308,405,stress,fill,threshold_wait5s,time_threshold,23,True
3,2,5.760904993564611e-06,6.9434309999999995,0.0019811723344844495,494,stress,fill,threshold_wait5s,time_threshold,23,True
3,3,5.9194801800304715e-06,11.080691275720165,0.002084847992878517,486,stress,fill,threshold_wait5s,time_threshold,23,True
3,4,5.799930417567853e-06,23.228037414839797,0.003254507530139783,593,stress,fill,threshold_wait5s,time_threshold,23,True
4,0,0.00010000571188030717,1.6542776451612904,0.0035953489973036498,465,stress,fill,threshold_wait5s,time_threshold,23,True
4,1,8.634109768355094e-05,4.3024636137440755,0.0027242484426701053,422,stress,fill,threshold_wait5s,time_threshold,23,True
4,2,8.333849055508866e-05,7.032100565217392,0.002764548617781386,414,stress,fill,threshold_wait5s,time_threshold,23,True
4,3,9.340984640279456e-05,11.111672348605579,0.003583118271335446,502,stress,fill,threshold_wait5s,time_threshold,23,True
4,4,0.0001104489664650539,24.188492368078176,0.004218750539508088,614,stress,fill,threshold_wait5s,time_threshold,23,True
