horizon_orders,mean_spread_bps,mean_consumed_depth_btc,n,spread_vs_pre,depth_vs_pre
0,0.251499,64.0478,1618,1,1
1,0.37446,61.2902,1618,1.48891,0.956946
2,0.338427,61.3429,1618,1.34564,0.957769
3,0.318898,61.1699,1618,1.26799,0.955067
5,0.282814,61.6493,1618,1.12451,0.962552
8,0.264562,61.5957,1618,1.05194,0.961715
13,0.21441,61.1809,1618,0.852528,0.955239
21,0.180667,62.932,1618,0.718359,0.982579
34,0.171569,64.2187,1618,0.682185,1.00267
55,0.171335,65.0133,1618,0.681253,1.01508
89,0.175865,67.0179,1618,0.699265,1.04637
100,0.143287,65.9545,1618,0.569731,1.02977
144,0.136102,65.7743,1618,0.541161,1.02696
233,0.0789559,67.1479,1618,0.313941,1.0484
377,0.0833904,68.2164,1618,0.331573,1.06509
610,0.0862351,67.2028,1617,0.342884,1.04926
1000,0.097265,67.1653,1615,0.38674,1.04867
