recv_ns,recon_bid,snap_bid,recon_ask,snap_ask,recon_bid_qty,snap_bid_qty,recon_ask_qty,snap_ask_qty,recon_n_lvl_bid,recon_n_lvl_ask,bid_error_ticks,ask_error_ticks,bid_depth_ratio,ask_depth_ratio
1.78494e+18,64032.1,64032.1,64032.2,64032.2,79.0986,88.6322,84.9009,77.3155,100,100,0,0,0.892437,1.09811
1.78494e+18,64067.4,64067.4,64067.5,64067.5,104.942,111.503,98.4101,97.1783,100,100,0,0,0.941158,1.01268
1.78514e+18,65351.5,65351.5,65351.6,65351.6,126.569,78.3355,123.214,69.24,100,100,0,0,1.61573,1.77953
1.78514e+18,65243.4,65243.4,65243.5,65243.5,114.128,106.979,101.873,100.117,100,100,0,0,1.06682,1.01754
1.78515e+18,65176.8,65176.8,65176.9,65176.9,98.7097,97.9259,82.3428,95.988,100,100,0,0,1.008,0.857845
1.78515e+18,65149.9,65149.9,65150,65150,98.5109,95.6748,105.78,102.557,100,100,0,0,1.02964,1.03142
1.78517e+18,64590.4,64590.4,64590.5,64590.5,115.92,111.94,109.916,102.556,100,100,0,0,1.03555,1.07177
1.7852e+18,63161.2,63161.2,63161.3,63161.3,110.454,99.1806,110.993,110.035,100,100,0,0,1.11367,1.0087
1.78521e+18,63220.3,63220.3,63220.4,63220.4,116.622,116.01,97.7513,97.8337,100,100,0,0,1.00527,0.999157
1.78522e+18,63372.5,63372.5,63372.6,63372.6,100.612,93.8582,103.607,103.153,100,100,0,0,1.07196,1.0044
1.78524e+18,63413.4,63413.4,63413.5,63413.5,97.4186,98.3084,96.2387,96.8833,100,100,0,0,0.990949,0.993347
1.78524e+18,63378.3,63386.9,63378.4,63391.9,91.9103,90.4286,94.076,84.7566,100,100,-86,-135,1.01639,1.10996
1.78525e+18,62991.2,62991.2,62991.3,62991.3,111.661,109.848,88.6794,89.2359,100,100,0,0,1.01651,0.993764
1.78528e+18,63526.4,63527.3,63526.5,63529.8,125.212,112.863,105.554,103.007,100,100,-9,-33,1.10942,1.02472
1.78528e+18,63907.3,63897.1,63907.4,63897.2,96.6678,87.4567,104,105.896,100,100,102,102,1.10532,0.982097
1.78533e+18,64249.9,64249.9,64250,64250,96.1371,96.8745,104.641,107.64,100,100,0,0,0.992389,0.972142
1.78533e+18,64199.9,64191.3,64200,64191.4,92.0524,91.4957,95.5481,100.602,100,100,86,86,1.00608,0.949762
1.78533e+18,64460.2,64453.6,64460.3,64453.7,83.4194,110.262,94.9876,105.481,100,100,66,66,0.756553,0.900515
1.78534e+18,64038.8,64038.8,64038.9,64038.9,84.6044,89.6493,109.336,105.947,100,100,0,0,0.943726,1.03198
1.78534e+18,63792.3,63779.1,63792.4,63779.2,65.3641,78.1495,101.11,105.551,100,100,132,132,0.836398,0.957921
1.78536e+18,63565.2,63597,63565.3,63597.4,147.08,173.955,104.728,110.444,100,100,-318,-321,0.84551,0.948248
1.78539e+18,63842.2,63831.9,63842.3,63832,78.5049,97.2535,109.953,100.691,100,100,103,103,0.807219,1.09198
1.78542e+18,64743,64743,64743.1,64743.1,81.7331,81.7008,101.841,100.915,100,100,0,0,1.0004,1.00918
1.78542e+18,64640.2,64632.2,64640.3,64632.3,84.8986,84.7696,112.439,113.464,100,100,80,80,1.00152,0.990968
1.78543e+18,64575.5,64575.5,64575.6,64575.6,83.7514,84.5416,109.667,111.173,100,100,0,0,0.990653,0.986449
1.78543e+18,64851.1,64851.1,64851.2,64851.2,94.6502,93.4995,98.5135,97.3148,100,100,0,0,1.01231,1.01232
1.78543e+18,64811,64811,64811.1,64811.1,82.7305,91.7679,93.636,94.9574,100,100,0,0,0.901519,0.986084
1.78544e+18,64737.2,64737.2,64737.3,64737.3,100.262,100.236,113.265,113.19,100,100,0,0,1.00026,1.00067
1.78545e+18,64685,64679.4,64685.1,64679.5,113.185,115.086,118.36,116.055,100,100,56,56,0.983483,1.01986
1.78547e+18,64235,64235,64235.1,64235.1,60.3628,60.4011,111.249,111.255,100,100,0,0,0.999366,0.999945
1.78547e+18,64291.5,64291.5,64291.6,64291.6,114.134,114.942,77.7002,78.3165,100,100,0,0,0.992973,0.992131
1.78548e+18,64313.2,64313.2,64313.3,64313.3,99.7631,112.09,99.3456,97.35,100,100,0,0,0.890026,1.0205
1.78552e+18,62938.7,62938.7,62938.8,62938.8,109.303,109.835,88.1943,108.301,100,100,0,0,0.995162,0.814343
1.78552e+18,63056.7,63056.7,63056.8,63056.8,92.5628,92.8,98.7195,98.6376,100,100,0,0,0.997444,1.00083
1.78553e+18,62938.6,62938.6,62938.7,62938.7,101.571,103.231,104.75,107.354,100,100,0,0,0.983911,0.975739
1.78554e+18,62954.8,62954.8,62954.9,62954.9,103.084,105.347,97.106,97.1432,100,100,0,0,0.978526,0.999617
1.78555e+18,62919.6,62919.6,62919.7,62919.7,86.5773,85.9353,96.5267,96.4502,100,100,0,0,1.00747,1.00079
1.78555e+18,63016.2,63016.2,63016.3,63016.3,79.7225,79.7596,86.7644,86.7503,100,100,0,0,0.999534,1.00016
1.78561e+18,62468.3,62465.4,62468.4,62465.5,95.1842,93.6479,92.031,108.468,100,100,29,29,1.0164,0.848459
1.78562e+18,62552,62552,62552.1,62552.1,94.0073,96.715,81.4217,90.7081,100,100,0,0,0.972003,0.897623
1.78564e+18,63306.6,63306.6,63306.7,63306.7,108.162,108.743,92.697,91.329,100,100,0,0,0.994653,1.01498
1.78565e+18,63421.1,63421.1,63421.2,63421.2,94.3758,96.5714,95.5672,92.6278,100,100,0,0,0.977265,1.03173
