clock,horizon,mean_impact_bps,control_bps,fraction_of_peak,adjusted_fraction_of_peak,n
event,1,0.976129,,1.02334,,28140
event,2,1.03654,,1.08668,,28140
event,5,1.152,,1.20771,,28139
event,10,1.2436,,1.30377,,28138
event,20,1.29036,,1.35283,,28137
event,50,1.31854,,1.38243,,28132
event,100,1.29896,,1.36196,,28121
event,200,1.22456,,1.28424,,28106
event,500,1.31108,,1.37543,,28058
event,1000,1.05402,,1.1058,,27986
event,2000,1.44445,,1.51855,,27836
seconds,1,0.97597,-0.0072302,1.02318,1.03076,28140
seconds,5,1.14017,-0.00986553,1.19532,1.20566,28140
seconds,15,1.26958,-0.0125041,1.33099,1.3441,28140
seconds,30,1.31467,-0.00864709,1.37826,1.38732,28140
seconds,60,1.35881,-0.0173405,1.42454,1.44271,28140
seconds,180,1.29443,-0.037025,1.35704,1.39586,28140
seconds,600,1.2843,-0.109815,1.34642,1.46154,28140
seconds,1800,0.791029,-0.314337,0.82929,1.15883,28140
