hour_utc,mean_spread_bps,mean_bid_depth_btc,mean_ask_depth_btc,mean_cost_1btc_bps,time_share,packets
0,0.036135,74.9174,71.2069,0.700087,0.0416753,2.88278e+06
1,0.0358765,77.5373,72.8681,0.701356,0.0416719,3.17871e+06
2,0.0312205,76.9688,76.7657,0.564205,0.0416656,2.78043e+06
3,0.0278783,80.089,77.1485,0.612425,0.0416688,2.31545e+06
4,0.0234383,80.6044,78.4417,0.509216,0.041676,1.94751e+06
5,0.0223617,81.8698,78.2665,0.606422,0.0416755,1.96566e+06
6,0.022344,84.2822,78.6723,0.579338,0.0416505,1.93465e+06
7,0.0200371,77.4185,76.4066,0.44784,0.0415904,1.68232e+06
8,0.020188,83.6304,78.9504,0.516543,0.0416761,1.89817e+06
9,0.0189624,82.6167,79.9981,0.494908,0.0416759,1.77124e+06
10,0.0200419,83.1699,79.8141,0.538247,0.0416741,1.65594e+06
11,0.0229401,70.034,69.2068,0.569014,0.0416695,1.78489e+06
12,0.0230101,76.6998,75.7914,0.516246,0.0416717,2.29185e+06
13,0.0418104,77.0255,76.2178,0.560963,0.0416688,3.58229e+06
14,0.0589756,69.536,69.0063,0.653356,0.0416723,4.8908e+06
15,0.044156,78.3348,76.7061,0.583108,0.041672,3.84157e+06
16,0.0369536,81.7514,80.7915,0.57064,0.0416702,3.23452e+06
17,0.0352784,82.8302,79.6319,0.555088,0.041668,2.96759e+06
18,0.0493454,77.762,76.1071,0.633797,0.0416737,3.19896e+06
19,0.0372717,80.2425,80.7702,0.520423,0.0416749,2.8789e+06
20,0.0376434,82.8789,80.2845,0.509946,0.0416694,2.33533e+06
21,0.0370311,82.5468,80.2354,0.603713,0.0416412,2.26315e+06
22,0.038799,79.6912,76.4138,0.674777,0.0416738,2.86816e+06
23,0.0280463,83.4902,79.7321,0.55368,0.0416747,2.68723e+06
