horizon_s,mean_spread_bps,mean_consumed_depth_btc,n
0,0.407899,59.8136,1960
0.05,0.620549,57.7654,1960
0.1,0.56046,57.2913,1960
0.25,0.40181,57.6506,1960
0.5,0.28811,59.2493,1960
1,0.243624,60.6982,1960
2,0.237347,62.2221,1960
3,0.177934,64.2314,1960
5,0.133015,66.1942,1960
8,0.0861209,67.7518,1960
12,0.10071,68.9253,1960
20,0.10961,70.5373,1960
30,0.0641585,72.2587,1960
45,0.0608273,72.4074,1960
60,0.0519763,72.4626,1960
90,0.0579709,73.362,1960
120,0.0865014,72.7613,1960
180,0.0558445,72.1705,1960
300,0.0569893,73.4189,1960
