horizon_orders,response_bps,sem_bps,n,size_quintile,median_qty_btc
1,0.149692,0.00233991,39185,1,7.959e-05
2,0.21564,0.0039931,39185,1,7.959e-05
3,0.263303,0.00535407,39185,1,7.959e-05
5,0.323951,0.00769304,39184,1,7.959e-05
8,0.377199,0.0105133,39183,1,7.959e-05
13,0.42542,0.0143259,39181,1,7.959e-05
21,0.454788,0.0191364,39179,1,7.959e-05
34,0.481526,0.0252117,39176,1,7.959e-05
55,0.450918,0.0327933,39171,1,7.959e-05
89,0.47845,0.0426104,39164,1,7.959e-05
100,0.487185,0.0451755,39161,1,7.959e-05
144,0.443016,0.0546869,39150,1,7.959e-05
233,0.462889,0.0698916,39125,1,7.959e-05
377,0.451294,0.0897491,39098,1,7.959e-05
610,0.407148,0.119613,39054,1,7.959e-05
1000,0.617802,0.156598,38970,1,7.959e-05
1,0.239443,0.00276797,39188,2,0.000388135
2,0.345499,0.00439638,39188,2,0.000388135
3,0.406514,0.00578642,39188,2,0.000388135
5,0.473221,0.00822075,39188,2,0.000388135
8,0.530322,0.0111689,39188,2,0.000388135
13,0.57418,0.0150092,39185,2,0.000388135
21,0.597026,0.0200989,39181,2,0.000388135
34,0.621575,0.0264913,39179,2,0.000388135
55,0.599742,0.0347815,39174,2,0.000388135
89,0.577168,0.0450943,39166,2,0.000388135
100,0.60193,0.0480063,39166,2,0.000388135
144,0.627435,0.0580136,39162,2,0.000388135
233,0.707158,0.0740755,39135,2,0.000388135
377,0.741352,0.0960573,39095,2,0.000388135
610,0.761153,0.125352,39028,2,0.000388135
1000,0.725353,0.16361,38950,2,0.000388135
1,0.33004,0.00329898,39274,3,0.00135454
2,0.449735,0.00492263,39273,3,0.00135454
3,0.521776,0.00626843,39273,3,0.00135454
5,0.597053,0.008582,39273,3,0.00135454
8,0.667844,0.011465,39273,3,0.00135454
13,0.694936,0.0154442,39273,3,0.00135454
21,0.724054,0.020337,39272,3,0.00135454
34,0.765242,0.026612,39268,3,0.00135454
55,0.768242,0.0348074,39265,3,0.00135454
89,0.763031,0.0451408,39257,3,0.00135454
100,0.770633,0.0478149,39256,3,0.00135454
144,0.805432,0.0579755,39248,3,0.00135454
233,0.930569,0.0744287,39228,3,0.00135454
377,1.07195,0.0972708,39186,3,0.00135454
610,1.03113,0.127308,39135,3,0.00135454
1000,0.981539,0.166188,39030,3,0.00135454
1,0.324274,0.00329528,39098,4,0.00448924
2,0.416311,0.00480123,39098,4,0.00448924
3,0.47617,0.00617071,39098,4,0.00448924
5,0.556691,0.00848371,39097,4,0.00448924
8,0.620737,0.0113233,39095,4,0.00448924
13,0.700674,0.0153065,39095,4,0.00448924
21,0.743132,0.0204128,39095,4,0.00448924
34,0.808212,0.0267165,39094,4,0.00448924
55,0.855805,0.0346043,39087,4,0.00448924
89,0.850814,0.0448661,39083,4,0.00448924
100,0.866943,0.0477427,39083,4,0.00448924
144,0.828798,0.0573906,39078,4,0.00448924
233,0.924369,0.0730911,39066,4,0.00448924
377,0.949023,0.094934,39042,4,0.00448924
610,1.13137,0.123316,38989,4,0.00448924
1000,1.20107,0.163104,38921,4,0.00448924
1,0.301849,0.00339486,39187,5,0.055129
2,0.445033,0.0050221,39187,5,0.055129
3,0.537378,0.00640867,39186,5,0.055129
5,0.670718,0.00873627,39186,5,0.055129
8,0.812057,0.011677,39186,5,0.055129
13,0.960266,0.0157012,39186,5,0.055129
21,1.08564,0.0207667,39185,5,0.055129
34,1.19872,0.0274488,39182,5,0.055129
55,1.24534,0.0359665,39181,5,0.055129
89,1.28123,0.0467767,39174,5,0.055129
100,1.32077,0.0498786,39167,5,0.055129
144,1.50439,0.0601224,39151,5,0.055129
233,1.797,0.0761731,39146,5,0.055129
377,1.96502,0.0983128,39135,5,0.055129
610,1.95831,0.129877,39117,5,0.055129
1000,1.05779,0.173556,39062,5,0.055129
