lag,acf
1,0.275708
2,0.248688
3,0.228429
4,0.21417
5,0.204443
6,0.195455
7,0.18661
8,0.177857
9,0.1681
10,0.159739
11,0.153176
12,0.145602
13,0.141078
14,0.134298
15,0.130717
16,0.123721
17,0.118427
18,0.114627
19,0.111313
20,0.107647
21,0.103346
22,0.10037
23,0.0972252
24,0.0951816
25,0.0915985
26,0.0882956
27,0.0867361
28,0.0838981
29,0.0811084
30,0.0788485
31,0.0768179
32,0.0747683
33,0.0743031
34,0.0727122
35,0.0705837
36,0.0683229
37,0.0667448
38,0.0658776
39,0.0647399
40,0.061414
41,0.060587
42,0.058818
43,0.0572413
44,0.0574963
45,0.0562062
46,0.0539297
47,0.052839
48,0.0518265
49,0.0506829
50,0.0492887
51,0.0492754
52,0.0485096
53,0.0479572
54,0.0455868
55,0.0451977
56,0.0444384
57,0.0438053
58,0.0422614
59,0.0419747
60,0.0420689
61,0.0410094
62,0.0411508
63,0.040408
64,0.0396808
65,0.037799
66,0.0379573
67,0.0369143
68,0.0378688
69,0.0359288
70,0.0356999
71,0.0348785
72,0.0336621
73,0.032227
74,0.0319984
75,0.0317019
76,0.0318735
77,0.0317469
78,0.0301174
79,0.0305098
80,0.0290963
81,0.0290306
82,0.028267
83,0.0282992
84,0.0275038
85,0.0269338
86,0.0281339
87,0.0269037
88,0.0267671
89,0.0265527
90,0.0258437
91,0.0249995
92,0.0247348
93,0.0255516
94,0.0252531
95,0.0249237
96,0.0253577
97,0.0242106
98,0.0239721
99,0.0244711
100,0.0254314
101,0.0257472
102,0.0233755
103,0.024746
104,0.0239338
105,0.0246016
106,0.0241125
107,0.0241019
108,0.023847
109,0.0236809
110,0.022798
111,0.0235046
112,0.0248372
113,0.023779
114,0.0227995
115,0.0216927
116,0.0233199
117,0.0233607
118,0.0232597
119,0.0231784
120,0.0233181
121,0.0234293
122,0.0232431
123,0.0233713
124,0.0231976
125,0.0221473
126,0.0221616
127,0.0222403
128,0.0229472
129,0.022915
130,0.0230947
131,0.0224543
132,0.0220034
133,0.0218865
134,0.0215246
135,0.0216468
136,0.0221629
137,0.0225801
138,0.0226796
139,0.0228893
140,0.0215867
141,0.0216271
142,0.022196
143,0.0227605
144,0.0232629
145,0.0228294
146,0.0231789
147,0.0236464
148,0.0228644
