hour_utc,hours_observed,mean_spread_bps,mean_total_depth_btc,mean_cost_1btc_bps,aggressive_orders_per_hour,volume_btc_per_hour,notional_usd,realised_vol_bps
0,7.99983,0.036135,146.124,0.700087,1159.9,52.8115,2.69111e+07,18.5432
1,7.99918,0.0358765,150.405,0.701356,1182.12,76.1932,3.90595e+07,20.9784
2,7.99797,0.0312205,153.735,0.564205,1056.14,51.3752,2.62377e+07,18.6479
3,7.99858,0.0278783,157.237,0.612425,747.007,24.3425,1.24584e+07,14.6358
4,7.99997,0.0234383,159.046,0.509216,654.627,20.8265,1.06544e+07,12.3386
5,7.99988,0.0223617,160.136,0.606422,649.76,20.463,1.04565e+07,12.2357
6,7.99507,0.022344,162.954,0.579338,708.686,23.1207,1.18566e+07,13.9667
7,7.98354,0.0200371,153.825,0.44784,663.365,35.4935,1.81758e+07,10.8783
8,7.99999,0.020188,162.581,0.516543,697.501,27.3475,1.40171e+07,11.396
9,7.99995,0.0189624,162.615,0.494908,652.379,30.5601,1.56672e+07,10.3808
10,7.9996,0.0200419,162.984,0.538247,625.156,25.013,1.27883e+07,10.0643
11,7.99873,0.0229401,139.241,0.569014,709.238,27.9017,1.42707e+07,13.5196
12,7.99915,0.0230101,152.491,0.516246,872.843,38.5616,1.97875e+07,13.3059
13,7.99859,0.0418104,153.243,0.560963,1578.28,107.151,5.48043e+07,23.9205
14,7.99927,0.0589756,138.542,0.653356,1803.29,117.44,5.99077e+07,31.1146
15,7.99921,0.044156,155.041,0.583108,1489.65,106.231,5.41554e+07,24.1117
16,7.99885,0.0369536,162.543,0.57064,1304.56,50.5366,2.58429e+07,18.6943
17,7.99844,0.0352784,162.462,0.555088,1164.73,67.521,3.43435e+07,17.2382
18,7.99954,0.0493454,153.869,0.633797,1390.96,68.9904,3.51863e+07,25.662
19,7.99976,0.0372717,161.013,0.520423,1148.16,56.0111,2.85353e+07,18.9021
20,7.9987,0.0376434,163.163,0.509946,1039.54,32.8199,1.67522e+07,16.908
21,7.99329,0.0370311,162.782,0.603713,993.333,30.7702,1.56727e+07,18.0801
22,7.99955,0.038799,156.105,0.674777,1219.07,75.8485,3.9009e+07,21.5749
23,7.99973,0.0280463,163.222,0.55368,986.158,40.6143,2.08065e+07,16.8954
