z,normalised_impact,sem_iid,n,n_before_complete_filter,regime,variant,method,seed
1,0.026622,0.000813043,2406,2410,normal,current_run,local_runs,7
1.04167,0.0334699,0.000927911,2406,2410,normal,current_run,local_runs,7
1.08333,0.0335599,0.000927321,2406,2410,normal,current_run,local_runs,7
1.125,0.0335484,0.000927829,2406,2410,normal,current_run,local_runs,7
1.16667,0.0336247,0.000934636,2406,2410,normal,current_run,local_runs,7
1.20833,0.0335411,0.000932584,2406,2410,normal,current_run,local_runs,7
1.25,0.0334659,0.000936337,2406,2410,normal,current_run,local_runs,7
1.29167,0.0334337,0.000938037,2406,2410,normal,current_run,local_runs,7
1.33333,0.0333872,0.0009408,2406,2410,normal,current_run,local_runs,7
1.375,0.0333586,0.000944272,2406,2410,normal,current_run,local_runs,7
1.41667,0.0333474,0.000944731,2406,2410,normal,current_run,local_runs,7
1.45833,0.0333657,0.000946889,2406,2410,normal,current_run,local_runs,7
1.5,0.0332503,0.000957589,2406,2410,normal,current_run,local_runs,7
1.54167,0.0332556,0.000957862,2406,2410,normal,current_run,local_runs,7
1.58333,0.0331714,0.000957343,2406,2410,normal,current_run,local_runs,7
1.625,0.03324,0.000961009,2406,2410,normal,current_run,local_runs,7
1.66667,0.0332093,0.000965148,2406,2410,normal,current_run,local_runs,7
1.70833,0.033344,0.000967182,2406,2410,normal,current_run,local_runs,7
1.75,0.0334371,0.000970114,2406,2410,normal,current_run,local_runs,7
1.79167,0.0335126,0.000972982,2406,2410,normal,current_run,local_runs,7
1.83333,0.0335942,0.0009746,2406,2410,normal,current_run,local_runs,7
1.875,0.0335605,0.000975325,2406,2410,normal,current_run,local_runs,7
1.91667,0.0336842,0.000979389,2406,2410,normal,current_run,local_runs,7
1.95833,0.0337048,0.00098208,2406,2410,normal,current_run,local_runs,7
2,0.0337627,0.000985074,2406,2410,normal,current_run,local_runs,7
1,0.0775524,0.00129405,19933,19976,normal,random_n6,random_traders,7
1.04167,0.092654,0.00138499,19933,19976,normal,random_n6,random_traders,7
1.08333,0.0915817,0.00141171,19933,19976,normal,random_n6,random_traders,7
1.125,0.090428,0.00143774,19933,19976,normal,random_n6,random_traders,7
1.16667,0.0888866,0.00146825,19933,19976,normal,random_n6,random_traders,7
1.20833,0.0876696,0.00148906,19933,19976,normal,random_n6,random_traders,7
1.25,0.0865886,0.00150884,19933,19976,normal,random_n6,random_traders,7
1.29167,0.0852745,0.00153309,19933,19976,normal,random_n6,random_traders,7
1.33333,0.0837025,0.00155978,19933,19976,normal,random_n6,random_traders,7
1.375,0.0828682,0.00158603,19933,19976,normal,random_n6,random_traders,7
1.41667,0.0825875,0.0016108,19933,19976,normal,random_n6,random_traders,7
1.45833,0.0817451,0.0016282,19933,19976,normal,random_n6,random_traders,7
1.5,0.0811628,0.0016502,19933,19976,normal,random_n6,random_traders,7
1.54167,0.0809261,0.00167807,19933,19976,normal,random_n6,random_traders,7
1.58333,0.0805521,0.00170586,19933,19976,normal,random_n6,random_traders,7
1.625,0.080042,0.0017327,19933,19976,normal,random_n6,random_traders,7
1.66667,0.0796006,0.00175153,19933,19976,normal,random_n6,random_traders,7
1.70833,0.0792748,0.00177111,19933,19976,normal,random_n6,random_traders,7
1.75,0.0787359,0.00179241,19933,19976,normal,random_n6,random_traders,7
1.79167,0.0785534,0.00181929,19933,19976,normal,random_n6,random_traders,7
1.83333,0.0784679,0.00184501,19933,19976,normal,random_n6,random_traders,7
1.875,0.0780034,0.00186801,19933,19976,normal,random_n6,random_traders,7
1.91667,0.0777298,0.00188522,19933,19976,normal,random_n6,random_traders,7
1.95833,0.07721,0.00190332,19933,19976,normal,random_n6,random_traders,7
2,0.0770766,0.00192153,19933,19976,normal,random_n6,random_traders,7
1,0.0820906,0.00135576,19822,19868,normal,random_n6,random_traders,23
1.04167,0.0970328,0.0014504,19822,19868,normal,random_n6,random_traders,23
1.08333,0.0959806,0.00148485,19822,19868,normal,random_n6,random_traders,23
1.125,0.0947912,0.00151149,19822,19868,normal,random_n6,random_traders,23
1.16667,0.0935728,0.00153836,19822,19868,normal,random_n6,random_traders,23
1.20833,0.0924186,0.0015695,19822,19868,normal,random_n6,random_traders,23
1.25,0.0911358,0.00159895,19822,19868,normal,random_n6,random_traders,23
1.29167,0.0900537,0.0016298,19822,19868,normal,random_n6,random_traders,23
1.33333,0.0885925,0.0016491,19822,19868,normal,random_n6,random_traders,23
1.375,0.0872957,0.00167791,19822,19868,normal,random_n6,random_traders,23
