bin,x,y,sem_iid,n,kind,regime,variant,method,seed
0,0.531477,0.0160121,0.00114722,583,Y_scaled,normal,current_run,local_runs,7
1,0.599087,0.0136649,0.00106566,672,Y_scaled,normal,current_run,local_runs,7
2,0.672748,0.0130366,0.000913456,772,Y_scaled,normal,current_run,local_runs,7
3,0.758556,0.0132608,0.00103576,730,Y_scaled,normal,current_run,local_runs,7
4,0.855661,0.0136585,0.000856995,864,Y_scaled,normal,current_run,local_runs,7
5,0.958213,0.0141784,0.00088719,881,Y_scaled,normal,current_run,local_runs,7
6,1.08544,0.0249431,0.0017914,360,Y_scaled,normal,current_run,local_runs,7
7,1.22001,0.0202176,0.00182208,372,Y_scaled,normal,current_run,local_runs,7
8,1.37117,0.0221003,0.00205776,337,Y_scaled,normal,current_run,local_runs,7
9,1.54349,0.0217909,0.00201836,294,Y_scaled,normal,current_run,local_runs,7
10,1.74596,0.0268853,0.00254169,224,Y_scaled,normal,current_run,local_runs,7
11,1.94906,0.0266245,0.00297048,198,Y_scaled,normal,current_run,local_runs,7
12,2.2043,0.0287841,0.00389275,123,Y_scaled,normal,current_run,local_runs,7
13,2.48635,0.0311824,0.00452134,104,Y_scaled,normal,current_run,local_runs,7
14,2.78586,0.0363197,0.00531356,80,Y_scaled,normal,current_run,local_runs,7
15,3.1399,0.0387307,0.00569383,65,Y_scaled,normal,current_run,local_runs,7
16,3.51563,0.0367279,0.00689202,32,Y_scaled,normal,current_run,local_runs,7
17,3.98582,0.0250255,0.00895224,27,Y_scaled,normal,current_run,local_runs,7
18,4.45203,0.0348249,0.00804015,25,Y_scaled,normal,current_run,local_runs,7
0,0.531477,0.264275,0.0350738,583,V_window,normal,current_run,local_runs,7
1,0.599087,0.235627,0.0342709,672,V_window,normal,current_run,local_runs,7
2,0.672748,0.240086,0.0523818,772,V_window,normal,current_run,local_runs,7
3,0.758556,0.304087,0.0459804,730,V_window,normal,current_run,local_runs,7
4,0.855661,0.22672,0.0257297,864,V_window,normal,current_run,local_runs,7
5,0.958213,0.320416,0.042629,881,V_window,normal,current_run,local_runs,7
6,1.08544,0.531816,0.0840683,360,V_window,normal,current_run,local_runs,7
7,1.22001,0.482947,0.0930957,372,V_window,normal,current_run,local_runs,7
8,1.37117,0.478164,0.108794,337,V_window,normal,current_run,local_runs,7
9,1.54349,0.423595,0.0748718,294,V_window,normal,current_run,local_runs,7
10,1.74596,0.900238,0.255953,224,V_window,normal,current_run,local_runs,7
11,1.94906,0.721784,0.131511,198,V_window,normal,current_run,local_runs,7
12,2.2043,1.22585,0.29915,123,V_window,normal,current_run,local_runs,7
13,2.48635,1.21704,0.261872,104,V_window,normal,current_run,local_runs,7
14,2.78586,1.27526,0.388708,80,V_window,normal,current_run,local_runs,7
15,3.1399,1.93094,0.45576,65,V_window,normal,current_run,local_runs,7
16,3.51563,2.23029,0.782842,32,V_window,normal,current_run,local_runs,7
17,3.98582,1.79811,0.538896,27,V_window,normal,current_run,local_runs,7
18,4.45203,2.63277,1.65317,25,V_window,normal,current_run,local_runs,7
0,0.598679,0.0292959,0.00472943,210,Y_scaled,normal,random_n6,random_traders,7
1,0.850518,0.0302781,0.00391449,258,Y_scaled,normal,random_n6,random_traders,7
2,1.23078,0.0385882,0.00383748,323,Y_scaled,normal,random_n6,random_traders,7
3,1.76432,0.0292431,0.00342599,358,Y_scaled,normal,random_n6,random_traders,7
4,2.47822,0.0337949,0.00319406,502,Y_scaled,normal,random_n6,random_traders,7
5,3.54882,0.0304506,0.00308382,639,Y_scaled,normal,random_n6,random_traders,7
6,5.02929,0.0349166,0.00280154,813,Y_scaled,normal,random_n6,random_traders,7
7,7.16588,0.0360564,0.00248271,1102,Y_scaled,normal,random_n6,random_traders,7
8,10.211,0.0382115,0.00241092,1519,Y_scaled,normal,random_n6,random_traders,7
9,14.5978,0.0435346,0.00246133,1931,Y_scaled,normal,random_n6,random_traders,7
10,20.6837,0.0489947,0.00255009,2375,Y_scaled,normal,random_n6,random_traders,7
11,29.3534,0.0548591,0.00258239,2632,Y_scaled,normal,random_n6,random_traders,7
12,41.6323,0.0611704,0.00273088,2964,Y_scaled,normal,random_n6,random_traders,7
13,59.1693,0.0617182,0.00294869,3044,Y_scaled,normal,random_n6,random_traders,7
14,84.0212,0.072071,0.00375764,2713,Y_scaled,normal,random_n6,random_traders,7
15,119.157,0.0848394,0.00454122,2242,Y_scaled,normal,random_n6,random_traders,7
16,169.31,0.0963665,0.00543072,1567,Y_scaled,normal,random_n6,random_traders,7
17,239.625,0.0985422,0.00763011,862,Y_scaled,normal,random_n6,random_traders,7
18,336.682,0.132948,0.0146681,392,Y_scaled,normal,random_n6,random_traders,7
0,0.598679,1.33657,0.202189,210,V_window,normal,random_n6,random_traders,7
1,0.850518,1.06001,0.164024,258,V_window,normal,random_n6,random_traders,7
2,1.23078,0.977207,0.16586,323,V_window,normal,random_n6,random_traders,7
3,1.76432,0.641253,0.0953319,358,V_window,normal,random_n6,random_traders,7
4,2.47822,0.701464,0.0950053,502,V_window,normal,random_n6,random_traders,7
5,3.54882,0.827982,0.10052,639,V_window,normal,random_n6,random_traders,7
6,5.02929,0.764207,0.0824021,813,V_window,normal,random_n6,random_traders,7
7,7.16588,0.823749,0.0747222,1102,V_window,normal,random_n6,random_traders,7
8,10.211,0.791856,0.065712,1519,V_window,normal,random_n6,random_traders,7
9,14.5978,0.865784,0.0598422,1931,V_window,normal,random_n6,random_traders,7
10,20.6837,0.876444,0.0500822,2375,V_window,normal,random_n6,random_traders,7
11,29.3534,0.865629,0.0405193,2632,V_window,normal,random_n6,random_traders,7
12,41.6323,1.04065,0.0481639,2964,V_window,normal,random_n6,random_traders,7
13,59.1693,1.1932,0.0472873,3044,V_window,normal,random_n6,random_traders,7
14,84.0212,1.23441,0.0527674,2713,V_window,normal,random_n6,random_traders,7
