regime,variant,method,seed,n_parents,median_children,median_duration_s,median_participation,positive_impact_share,mean_I_norm,mean_impact_next_norm,x_break,y_break,delta_1,delta_2,delta_2_se,prefactor_Y,r2_log,delta_single_power_law,delta_single_se,r2_single_power_law,size_break_at_boundary,size_bins_dropped_nonpositive,delta_2_positive_only,Y_positive_only,gamma_empirical,gamma_se,gamma_r2,gamma_bins_dropped_nonpositive,gamma_theory_sqrt_rule,nu,nu_se,nu_r2,hurst_diffusive,gamma_theory_hurst,gamma_theory_hurst_nu,gamma_residual,trajectory_half_over_end,decay_beta,decay_beta_resolution,decay_I0,decay_z_peak,decay_r2,decay_n,decay_beta_from_completion,decay_r2_from_completion,decay_still_rising_at_z2,decay_z2_over_peak,rho_logQ_logT,n_all,n_positive,positive_share,additive_delta,additive_delta_se,additive_gamma,additive_gamma_se,additive_r2,centred_delta,centred_delta_se,centred_gamma,centred_gamma_se,centred_interaction,centred_interaction_se,centred_r2,shuffled_mean_I_norm
normal,current_run,local_runs,7,21255,2,0.373464,1,0.427288,0.00218369,0.00392767,1.86691e-06,0.00159469,0.6759,0.1653,0.00977401,0.0141142,0.944121,0.200276,0.01295,0.862903,False,4,0.318599,0.0759479,0.58117,0.0775239,0.767759,0,0.3347,1.12951,0.103937,0.874165,0.562935,0.397635,0.376228,0.204942,0.361823,,,,2,,2406,0.01,-0.0947652,True,1,0.0711324,20848,8988,0.43112,0.0933348,0.00609762,0.166725,0.00700545,0.0867448,0.0933443,0.00610181,0.166334,0.00698131,0.00123814,0.00309579,0.0867638,-0.000102521
normal,random_n6,random_traders,7,35895,3,29.9581,0.219001,0.555676,0.00616889,0.00740945,1.93727e-06,0.00380475,0.582432,0.208335,0.00767401,0.058953,0.965225,0.225479,0.00883864,0.940734,False,1,0.111466,0.0484586,0.244436,0.0180172,0.915447,0,0.291665,0.191302,0.0323899,0.672343,0.562935,0.3546,0.52308,-0.278644,0.404342,0.140588,0.00117647,0.0938279,1.04167,0.986217,19933,0.09,0.421222,False,0.831876,0.0783078,35863,19934,0.555837,0.100961,0.0040873,0.235668,0.00529265,0.130124,0.10088,0.00406357,0.235859,0.00538598,-0.000369397,0.00216812,0.130125,-0.000130113
normal,random_n6,random_traders,23,35731,3,30.3589,0.219873,0.556296,0.00622457,0.00742642,2.20364e-06,0.00389145,0.521158,0.211959,0.00841306,0.0615364,0.95979,0.229179,0.00898716,0.939331,False,0,0.113654,0.0497831,0.237342,0.0165524,0.92363,0,0.288041,0.198191,0.0315171,0.699347,0.562935,0.350976,0.520927,-0.283585,0.377135,0.155882,0.00117647,0.0992793,1.04167,0.980288,19822,0.105294,0.491735,False,0.815535,0.0922855,35698,19873,0.556698,0.104933,0.00405874,0.230492,0.00509558,0.131997,0.104795,0.00404776,0.230789,0.00516321,-0.000605913,0.00205052,0.132001,6.31872e-05
normal,random_n6,random_traders,71,35877,3,29.8222,0.221483,0.556401,0.00622603,0.00744314,2.73807e-06,0.00403395,0.471811,0.215578,0.0074732,0.063811,0.972571,0.234749,0.00789584,0.955672,False,1,0.11551,0.0511227,0.259842,0.0180888,0.923885,0,0.284422,0.192571,0.0304106,0.702271,0.562935,0.347357,0.521421,-0.261579,0.386543,0.13,0.00117647,0.103181,1.04167,0.979749,19941,0.0782353,0.350499,False,0.849666,0.0889523,35835,19955,0.556858,0.10597,0.0040749,0.236207,0.00532765,0.132113,0.106196,0.00405001,0.235786,0.0053552,0.000977649,0.0021338,0.132123,2.31236e-05
normal,maitrier_threshold,time_threshold,7,8467,2,6.62595,0.789947,0.38656,0.00171381,0.00283591,2.12854e-06,0.00198768,0.709269,0.119945,0.02688,0.0095206,0.626848,0.156547,0.0257071,0.529133,False,7,0.0464393,0.0136986,0.112085,0.0601025,0.169834,0,0.380055,0.548711,0.0748883,0.759499,0.562935,0.44299,0.49712,-0.385035,0.27422,,,,1.95833,,1692,0.01,-0.072407,True,0.999101,0.0835179,8467,3273,0.38656,0.0499611,0.0110974,0.259949,0.025867,0.0405847,0.0496871,0.0110895,0.258329,0.0259938,0.0143319,0.0118106,0.0410452,-2.41819e-05
normal,maitrier_threshold,time_threshold,23,8401,2,6.75158,0.766623,0.390787,0.00191671,0.00295995,1.8493e-06,0.00183811,0.782589,0.133923,0.0170412,0.0107683,0.80911,0.164606,0.019268,0.688627,False,6,0.0883505,0.0214767,0.142135,0.0676788,0.206,0,0.366077,0.531355,0.0772449,0.73569,0.562935,0.429012,0.491775,-0.349639,0.356267,0.0311765,0.00117647,0.0238771,1.875,0.886694,1649,0.01,-0.0801518,False,0.988089,0.0817694,8401,3283,0.390787,0.0414778,0.0112661,0.260376,0.0255879,0.0396937,0.0410238,0.0112962,0.25644,0.0251287,0.0170139,0.0116551,0.0403639,-1.62987e-05
normal,maitrier_threshold,time_threshold,71,8394,2,6.77706,0.781877,0.38325,0.00184854,0.00292076,4.8055e-07,0.00133846,-0.0164736,0.154049,0.0161186,0.0125872,0.755403,0.145682,0.0150818,0.738729,True,9,-0.415694,0.000482407,0.15164,0.0599294,0.273582,0,0.345951,0.589723,0.0910783,0.711494,0.562935,0.408886,0.472089,-0.320448,0.260104,,,,1.91667,,1705,0.01,-0.0645909,True,0.994069,0.0795771,8394,3217,0.38325,0.0174677,0.0117795,0.210321,0.0257432,0.0213438,0.016551,0.011772,0.207205,0.0258063,0.0265412,0.0126908,0.022744,-2.33949e-05
stress,current_run,local_runs,7,28361,2,0.363068,1,0.506717,0.00229562,0.00413925,4.62328e-07,0.00129597,1.64895,0.172442,0.0127452,0.0160334,0.86719,0.186316,0.0152698,0.788223,False,2,0.359439,0.103991,0.637285,0.0755053,0.80734,0,0.327558,1.43579,0.154293,0.835899,0.56707,0.394628,0.319479,0.317806,0.325957,,,,2,,3354,0.01,-0.0959846,True,1,0.0979617,28140,14317,0.508778,0.0971793,0.00528496,0.190365,0.00563051,0.0930633,0.0963254,0.00525477,0.186551,0.00567278,0.011407,0.00262036,0.0942537,2.65633e-05
stress,random_n6,random_traders,7,43029,3,27.6998,0.220537,0.608961,0.00676424,0.00799243,2.88225e-06,0.00479555,0.389283,0.190526,0.00773303,0.0545009,0.9656,0.212434,0.00802251,0.943486,False,0,0.123109,0.0530145,0.206381,0.0109008,0.95472,0,0.309474,0.11158,0.0260602,0.518855,0.56707,0.376544,0.545811,-0.33943,0.401047,0.144118,0.00117647,0.0872543,1.04167,0.984481,24263,0.0947059,0.455453,False,0.826456,0.116639,43008,26202,0.609235,0.106094,0.00363601,0.215318,0.00456789,0.118109,0.105781,0.00363625,0.215825,0.00457699,-0.00148406,0.00182099,0.118131,-0.000126261
stress,random_n6,random_traders,23,43075,3,27.6785,0.21606,0.610192,0.00664961,0.0078865,2.1629e-06,0.00430927,0.463977,0.201945,0.00646164,0.0600364,0.976234,0.220097,0.00748937,0.955735,False,2,0.123731,0.0528785,0.19517,0.00747558,0.975666,0,0.298055,0.128142,0.0299472,0.518539,0.56707,0.365125,0.541192,-0.346022,0.39486,0.139412,0.00117647,0.0976556,1.04167,0.978847,24167,0.0876471,0.394742,False,0.838988,0.113844,43054,26281,0.610419,0.10898,0.00363626,0.215287,0.00470697,0.12167,0.108597,0.0036322,0.215758,0.00473463,-0.00140073,0.0018253,0.12169,0.000120506
