phi,normalised_impact,sem_iid,n,regime,variant,method,seed
0.05,0.00231754,0.000143171,3493,normal,current_run,local_runs,7
0.1,0.00334877,0.000173106,3493,normal,current_run,local_runs,7
0.15,0.00422595,0.00020672,3493,normal,current_run,local_runs,7
0.2,0.00499254,0.000223251,3493,normal,current_run,local_runs,7
0.25,0.00572017,0.000242873,3493,normal,current_run,local_runs,7
0.3,0.00642273,0.000260091,3493,normal,current_run,local_runs,7
0.35,0.00708623,0.000277697,3493,normal,current_run,local_runs,7
0.4,0.00786344,0.000299105,3493,normal,current_run,local_runs,7
0.45,0.00861781,0.00031896,3493,normal,current_run,local_runs,7
0.5,0.00940141,0.000335931,3493,normal,current_run,local_runs,7
0.55,0.0101788,0.000355427,3493,normal,current_run,local_runs,7
0.6,0.0110452,0.000376893,3493,normal,current_run,local_runs,7
0.65,0.0118835,0.000397377,3493,normal,current_run,local_runs,7
0.7,0.0127137,0.000414474,3493,normal,current_run,local_runs,7
0.75,0.0136324,0.000432788,3493,normal,current_run,local_runs,7
0.8,0.0146258,0.000454626,3493,normal,current_run,local_runs,7
0.85,0.0157567,0.000476352,3493,normal,current_run,local_runs,7
0.9,0.0172365,0.000501868,3493,normal,current_run,local_runs,7
0.95,0.0191272,0.000533799,3493,normal,current_run,local_runs,7
1,0.0259835,0.000629251,3493,normal,current_run,local_runs,7
0.05,0.00901718,0.000411995,12312,normal,random_n6,random_traders,7
0.1,0.0136015,0.000538893,12312,normal,random_n6,random_traders,7
0.15,0.0174615,0.000625149,12312,normal,random_n6,random_traders,7
0.2,0.0210646,0.000708506,12312,normal,random_n6,random_traders,7
0.25,0.0240562,0.000761432,12312,normal,random_n6,random_traders,7
0.3,0.0271931,0.000818836,12312,normal,random_n6,random_traders,7
0.35,0.0302185,0.000871461,12312,normal,random_n6,random_traders,7
0.4,0.0327154,0.000913892,12312,normal,random_n6,random_traders,7
0.45,0.0351563,0.000954325,12312,normal,random_n6,random_traders,7
0.5,0.0377935,0.00100003,12312,normal,random_n6,random_traders,7
0.55,0.0405511,0.0010445,12312,normal,random_n6,random_traders,7
0.6,0.0434962,0.00109714,12312,normal,random_n6,random_traders,7
0.65,0.0462484,0.00114192,12312,normal,random_n6,random_traders,7
0.7,0.0492862,0.00118621,12312,normal,random_n6,random_traders,7
0.75,0.0527463,0.0012351,12312,normal,random_n6,random_traders,7
0.8,0.0563162,0.00128675,12312,normal,random_n6,random_traders,7
