regime,granularity,variant,seeds,parents,T_median_s,participation,delta_mean,delta_seed_sd,delta_positive_only,trajectory_half
normal,aggressive,random_n6,3,35831.666666666664,30.045793000000003,0.22012195370975599,0.21133333333333335,0.006027713773341687,0.125,0.4608449747922156
normal,aggressive,random_n20,3,37714.0,96.32986283333332,0.03694700981133981,0.2333333333333333,0.02695057204092954,0.11633333333333333,0.4836329012766531
normal,aggressive,threshold_wait5s,3,8420.333333333334,6.717400666666666,0.7795441883166078,0.10799999999999998,0.05632051136131489,0.06266666666666666,0.4870539527679261
normal,aggressive,threshold_wait20s,3,5395.0,19.810602333333332,0.238420667215147,0.15766666666666665,0.011590225767142463,0.046666666666666655,0.9152336722820243
normal,aggressive,local_run_1s,1,21255.0,0.373464,0.9999999999998214,0.197,,0.15699999999999997,0.38969195252158384
normal,fill,random_n6,3,68227.0,13.541657666666666,0.17783605075974873,0.1743333333333333,0.0005773502691896243,0.1396666666666667,0.5229287205370611
normal,fill,threshold_wait5s,3,10155.0,7.112099833333333,0.15326569923414265,0.128,0.04092676385936223,0.08166666666666668,0.472301200548213
stress,aggressive,random_n6,3,43082.333333333336,27.742073833333336,0.21835996248440095,0.21333333333333335,0.012096831541082684,0.1436666666666667,0.4648070293931304
stress,aggressive,random_n20,3,45083.333333333336,89.63355083333333,0.03701428181749684,0.25066666666666665,0.023586719427112667,0.14666666666666664,0.4845472775449117
stress,aggressive,threshold_wait5s,3,10122.666666666666,6.7175085,0.7598484093152035,0.13799999999999998,0.023302360395462088,0.08566666666666665,0.37080182405136936
stress,aggressive,threshold_wait20s,3,6295.0,19.73607733333333,0.24067779655460608,0.17366666666666666,0.07514208762959233,0.07833333333333332,0.3569068472195429
stress,aggressive,local_run_1s,1,28359.0,0.363068,0.9999999999995672,0.36900000000000005,,0.23399999999999999,0.392243230946848
stress,fill,random_n6,3,79332.66666666667,12.907149500000001,0.1833871782401306,0.21933333333333335,0.010214368964029687,0.16033333333333333,0.5122182668253886
stress,fill,threshold_wait5s,3,12167.333333333334,6.999222666666667,0.1577118290100502,0.10833333333333332,0.06616141876753652,0.11033333333333332,0.4516048427299391
