regime,granularity,variant,method,seed,primary,date,input_rows,assigned_rows,all_groups,groups_ge2,measured_parents,assigned_share
normal,aggressive,random_n6,random_traders,7,True,2026-07-18,16189,16189,6920,3540,3539,1.0
normal,aggressive,random_n6,random_traders,7,True,2026-07-19,15177,15177,6284,3293,3292,1.0
normal,aggressive,random_n6,random_traders,7,True,2026-07-20,29595,29595,11729,6288,6288,1.0
normal,aggressive,random_n6,random_traders,7,True,2026-07-21,25273,25273,10847,5646,5646,1.0
normal,aggressive,random_n6,random_traders,7,True,2026-07-22,24511,24511,10851,5617,5617,1.0
normal,aggressive,random_n6,random_traders,7,True,2026-07-23,25169,25169,10508,5729,5728,1.0
normal,aggressive,random_n6,random_traders,7,True,2026-07-24,25788,25788,11095,5782,5782,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-18,16189,16189,6880,3574,3574,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-19,15177,15177,6347,3272,3272,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-20,29595,29595,11772,6294,6293,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-21,25273,25273,10742,5642,5642,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-22,24511,24511,10713,5591,5591,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-23,25169,25169,10452,5553,5553,1.0
normal,aggressive,random_n6,random_traders,23,True,2026-07-24,25788,25788,11101,5805,5805,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-18,16189,16189,6832,3537,3536,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-19,15177,15177,6352,3340,3339,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-20,29595,29595,11340,6321,6320,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-21,25273,25273,10864,5631,5631,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-22,24511,24511,10667,5558,5558,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-23,25169,25169,10507,5655,5654,1.0
normal,aggressive,random_n6,random_traders,71,True,2026-07-24,25788,25788,11089,5835,5835,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-18,16189,16189,7253,3728,3727,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-19,15177,15177,6729,3445,3445,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-20,29595,29595,12739,6738,6737,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-21,25273,25273,11522,5899,5899,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-22,24511,24511,11369,5813,5813,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-23,25169,25169,11437,5993,5992,1.0
normal,aggressive,random_n20,random_traders,7,False,2026-07-24,25788,25788,11610,6114,6113,1.0
normal,aggressive,random_n20,random_traders,23,False,2026-07-18,16189,16189,7155,3790,3789,1.0
normal,aggressive,random_n20,random_traders,23,False,2026-07-19,15177,15177,6626,3469,3469,1.0
normal,aggressive,random_n20,random_traders,23,False,2026-07-20,29595,29595,12870,6688,6687,1.0
normal,aggressive,random_n20,random_traders,23,False,2026-07-21,25273,25273,11406,5945,5945,1.0
normal,aggressive,random_n20,random_traders,23,False,2026-07-22,24511,24511,11248,5893,5893,1.0
