regime,granularity,variant,method,seed,primary,date,n,mean_impact_bps,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
normal,aggressive,random_n6,random_traders,7,True,2026-07-18,3539,0.7984750503663757,0.27,0.09409509835841712,0.9188405361573262,0.9024318620643282,False,16
normal,aggressive,random_n6,random_traders,7,True,2026-07-19,3292,1.4242470933513494,0.14900000000000002,0.06383298724314304,0.5237828569124923,0.658734329563823,False,16
normal,aggressive,random_n6,random_traders,7,True,2026-07-20,6288,2.4134852709489394,0.2,0.06291185746489412,0.9329052080783953,0.8668996719484847,False,17
normal,aggressive,random_n6,random_traders,7,True,2026-07-21,5646,1.6139869652541734,0.22699999999999998,0.06160027132173934,0.9354606374690274,0.9250988458027082,False,16
normal,aggressive,random_n6,random_traders,7,True,2026-07-22,5617,1.7346407785709483,0.15299999999999997,0.04861369514575995,0.9222573920363687,0.9504750931038634,False,17
normal,aggressive,random_n6,random_traders,7,True,2026-07-23,5728,1.694711689491896,0.15199999999999997,0.03370849196796912,0.917559695323223,0.9460592073389449,False,16
normal,aggressive,random_n6,random_traders,7,True,2026-07-24,5782,1.4750501333533252,0.20900000000000002,0.04262768832861897,0.9023960923038149,0.8988448633433322,False,16
normal,aggressive,random_n6,random_traders,23,True,2026-07-18,3574,0.7810181243225354,0.292,0.10453479350773619,0.931901351849141,0.8836859552596475,False,16
normal,aggressive,random_n6,random_traders,23,True,2026-07-19,3272,1.4555742256605226,0.15999999999999998,0.07464449103103872,0.6216179572063087,0.7300686485047876,False,16
normal,aggressive,random_n6,random_traders,23,True,2026-07-20,6293,2.410076258996601,0.193,0.05745791476774137,0.9253953256363795,0.9397677741424263,False,16
normal,aggressive,random_n6,random_traders,23,True,2026-07-21,5642,1.6589658023131106,0.21300000000000002,0.056052018064376735,0.9601739412426469,0.9330368321475874,False,16
normal,aggressive,random_n6,random_traders,23,True,2026-07-22,5591,1.7165691985730764,0.177,0.061917266141964036,0.9035043780592761,0.8990900809506271,False,17
normal,aggressive,random_n6,random_traders,23,True,2026-07-23,5553,1.6987163834762729,0.16599999999999998,0.03987447501539294,0.9723622820693306,0.9598747954665553,False,16
normal,aggressive,random_n6,random_traders,23,True,2026-07-24,5805,1.4661801248073565,0.21699999999999997,0.0452192544013267,0.8963460275888118,0.9376895116032901,False,16
normal,aggressive,random_n6,random_traders,71,True,2026-07-18,3536,0.8098753438258742,0.323,0.13947941283265622,0.9245377078883055,0.8501950571352731,False,16
normal,aggressive,random_n6,random_traders,71,True,2026-07-19,3339,1.4621882886255788,0.15599999999999997,0.06986212666156008,0.5389338064415292,0.6689396921396846,False,16
normal,aggressive,random_n6,random_traders,71,True,2026-07-20,6320,2.426419495434317,0.199,0.06154033927574663,0.8735574053783777,0.8449115817215035,False,17
normal,aggressive,random_n6,random_traders,71,True,2026-07-21,5631,1.5904041627408023,0.22999999999999998,0.06304094899336521,0.9454450113653501,0.9325476165204791,False,16
normal,aggressive,random_n6,random_traders,71,True,2026-07-22,5558,1.7265531702334733,0.179,0.06412408087042154,0.8833045816781889,0.8364319850435773,False,17
normal,aggressive,random_n6,random_traders,71,True,2026-07-23,5654,1.6855983987679375,0.176,0.04376446004731498,0.9597814853719171,0.959377631522233,False,16
normal,aggressive,random_n6,random_traders,71,True,2026-07-24,5835,1.4899066377742056,0.257,0.06768656700637246,0.9257355079316719,0.8765407278856581,False,17
normal,aggressive,random_n20,random_traders,7,False,2026-07-18,3727,1.1580958983701222,0.37600000000000006,0.3136905596401974,0.931207698751453,0.8075435351197334,False,15
normal,aggressive,random_n20,random_traders,7,False,2026-07-19,3445,1.916435807474737,0.177,0.11283879418792331,0.7109099435199198,0.8069622279645287,False,16
normal,aggressive,random_n20,random_traders,7,False,2026-07-20,6737,3.352976532729847,0.186,0.07480244294306726,0.8473065658173582,0.8800688072874175,False,17
normal,aggressive,random_n20,random_traders,7,False,2026-07-21,5899,2.175914276964204,0.235,0.09031193210898643,0.9203836572741068,0.9147482820600019,False,16
normal,aggressive,random_n20,random_traders,7,False,2026-07-22,5813,2.1870902765052618,0.291,0.21734134132357133,0.860214293732571,0.71396866353826,False,17
normal,aggressive,random_n20,random_traders,7,False,2026-07-23,5992,2.105705739746716,0.177,0.055235073025980276,0.9225385301555555,0.9410424980023138,False,16
normal,aggressive,random_n20,random_traders,7,False,2026-07-24,6113,1.8950665062719356,0.26,0.09187849207514305,0.9551925393629337,0.9295588924662115,False,16
normal,aggressive,random_n20,random_traders,23,False,2026-07-18,3789,1.1656847176060119,0.279,0.14088709527030382,0.9399996919451132,0.8173794309699833,False,15
normal,aggressive,random_n20,random_traders,23,False,2026-07-19,3469,1.8509434941727365,0.14800000000000002,0.07962774126932222,0.4386825413000732,0.5647417250137424,False,15
normal,aggressive,random_n20,random_traders,23,False,2026-07-20,6687,3.2782287838920037,0.21000000000000002,0.09356875021420304,0.9339549584998554,0.9132436982877181,False,17
normal,aggressive,random_n20,random_traders,23,False,2026-07-21,5945,2.2925799772288764,0.252,0.11229947436707084,0.8642700396358157,0.8196227539683727,False,16
normal,aggressive,random_n20,random_traders,23,False,2026-07-22,5893,2.074070594173935,0.138,0.05252478768028767,0.8043872630882528,0.7940068425481799,False,16
normal,aggressive,random_n20,random_traders,23,False,2026-07-23,5926,2.0280459472243733,0.202,0.06776533718210973,0.9439859379384565,0.9229810040773438,False,16
normal,aggressive,random_n20,random_traders,23,False,2026-07-24,6064,2.0024850662320843,0.202,0.05381887023303063,0.9318791342557661,0.954862227763974,False,16
normal,aggressive,random_n20,random_traders,71,False,2026-07-18,3708,1.2436882061809087,0.37600000000000006,0.3048990788140604,0.9165578109849861,0.7919653509070343,False,16
normal,aggressive,random_n20,random_traders,71,False,2026-07-19,3491,1.7903044450076342,0.174,0.10359557976311635,0.6120520289593182,0.7193460967961121,False,15
normal,aggressive,random_n20,random_traders,71,False,2026-07-20,6784,3.425083767246179,0.173,0.07001000743774088,0.8151867287046842,0.7706943697964869,False,17
normal,aggressive,random_n20,random_traders,71,False,2026-07-21,5945,2.124321402653389,0.292,0.1571650356483127,0.915770449411549,0.7519920637668929,False,16
normal,aggressive,random_n20,random_traders,71,False,2026-07-22,5776,2.1302504413554004,0.15899999999999997,0.0644849414769695,0.7974110894017266,0.871605352060252,False,17
normal,aggressive,random_n20,random_traders,71,False,2026-07-23,5935,2.177053969479793,0.20500000000000002,0.07394935839567383,0.896704291579199,0.8612649858819814,False,16
normal,aggressive,random_n20,random_traders,71,False,2026-07-24,6004,1.9119262723262178,0.317,0.15332809617965645,0.8801168870145379,0.7558835899455493,False,16
normal,aggressive,threshold_wait5s,time_threshold,7,True,2026-07-18,794,0.3405379344444389,0.528,0.6492604098832472,0.7194349997739908,0.6278425276051978,False,10
