qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,6.304549919032736e-07,0.009256049729729729,0.0018201133903295095,925,normal,aggressive,local_run_1s,local_runs,7,True
0,1,6.297864845217729e-07,0.15893136739380023,0.0019870129740001178,871,normal,aggressive,local_run_1s,local_runs,7,True
0,2,6.343664371451149e-07,0.400331821086262,0.0015345379388893598,939,normal,aggressive,local_run_1s,local_runs,7,True
0,3,6.439249016925143e-07,0.705645111707841,0.0016122007741816834,931,normal,aggressive,local_run_1s,local_runs,7,True
0,4,6.621404954122466e-07,1.0928250912698414,0.0013577709935796438,504,normal,aggressive,local_run_1s,local_runs,7,True
1,0,2.0075180752777415e-06,0.010220464150943395,0.003372499198887624,795,normal,aggressive,local_run_1s,local_runs,7,True
1,1,2.0720520829341436e-06,0.15131295667447306,0.0043246214862023595,854,normal,aggressive,local_run_1s,local_runs,7,True
1,2,2.099588451400434e-06,0.3922961319052988,0.0035576138373741776,887,normal,aggressive,local_run_1s,local_runs,7,True
1,3,2.095735659321001e-06,0.6956801974110032,0.0029749924501415014,927,normal,aggressive,local_run_1s,local_runs,7,True
1,4,2.202537972687935e-06,1.2598937138810198,0.0038788606273518597,706,normal,aggressive,local_run_1s,local_runs,7,True
2,0,7.45152352198387e-06,0.011115432051282051,0.003486200581333252,780,normal,aggressive,local_run_1s,local_runs,7,True
2,1,7.358785342905513e-06,0.15427695980511572,0.004272740862517179,821,normal,aggressive,local_run_1s,local_runs,7,True
2,2,7.344285329382225e-06,0.39877681437125745,0.003314126236296978,835,normal,aggressive,local_run_1s,local_runs,7,True
2,3,7.013352278739399e-06,0.7037117857961054,0.0031569213052845178,873,normal,aggressive,local_run_1s,local_runs,7,True
2,4,7.28125488502594e-06,1.3457070487804879,0.003939911048836384,861,normal,aggressive,local_run_1s,local_runs,7,True
3,0,3.589365466166185e-05,0.013039238202247191,0.004077111578461934,890,normal,aggressive,local_run_1s,local_runs,7,True
3,1,3.50891320718134e-05,0.1536157851758794,0.0047135024483415154,796,normal,aggressive,local_run_1s,local_runs,7,True
3,2,3.623323253871823e-05,0.3939463189122373,0.0038974906597502817,809,normal,aggressive,local_run_1s,local_runs,7,True
3,3,3.4304152414848485e-05,0.7074935501285347,0.0038911876900400958,778,normal,aggressive,local_run_1s,local_runs,7,True
3,4,3.634269017186954e-05,1.3700430948660713,0.004605990643337017,896,normal,aggressive,local_run_1s,local_runs,7,True
4,0,0.0011992449038522486,0.012533507692307691,0.004972403590064169,780,normal,aggressive,local_run_1s,local_runs,7,True
4,1,0.0007749789916156623,0.1497687883917775,0.006479089834161943,827,normal,aggressive,local_run_1s,local_runs,7,True
4,2,0.0008171805460575246,0.39750504142857146,0.005402425431143916,700,normal,aggressive,local_run_1s,local_runs,7,True
4,3,0.0007586211554158031,0.712425043939394,0.005930897422500574,660,normal,aggressive,local_run_1s,local_runs,7,True
4,4,0.0013013092186728683,1.7684672485453035,0.009362912957063459,1203,normal,aggressive,local_run_1s,local_runs,7,True
