qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,7.61564205538954e-07,10.05253885014272,0.0030479024941730587,2102,normal,aggressive,random_n20,random_traders,7,False
0,1,7.816396735593057e-07,43.19524764890282,0.00316507464474377,1914,normal,aggressive,random_n20,random_traders,7,False
0,2,7.959876226168554e-07,96.55889177642028,0.0038258179159081362,1637,normal,aggressive,random_n20,random_traders,7,False
0,3,8.143030707389244e-07,185.84154777635783,0.003386875579107705,1252,normal,aggressive,random_n20,random_traders,7,False
0,4,9.080942703245128e-07,416.864978915493,0.0036011215018276897,639,normal,aggressive,random_n20,random_traders,7,False
1,0,3.246474534389017e-06,10.76855161569149,0.00504167366837836,1504,normal,aggressive,random_n20,random_traders,7,False
1,1,3.233986061209247e-06,44.462341352802355,0.006332887528088345,1695,normal,aggressive,random_n20,random_traders,7,False
1,2,3.4074519806400607e-06,98.3200639495074,0.007607794340223421,1624,normal,aggressive,random_n20,random_traders,7,False
1,3,3.486812160736268e-06,188.13569526801345,0.008474847811009918,1485,normal,aggressive,random_n20,random_traders,7,False
1,4,3.6021533890583527e-06,437.72079305582525,0.007738462403805901,1236,normal,aggressive,random_n20,random_traders,7,False
2,0,1.277318054780276e-05,10.1456634765625,0.004387650733664971,1280,normal,aggressive,random_n20,random_traders,7,False
2,1,1.262434144474611e-05,44.16179089491758,0.0070548236180824776,1456,normal,aggressive,random_n20,random_traders,7,False
2,2,1.242240852350533e-05,98.67784758415193,0.008826023072035234,1527,normal,aggressive,random_n20,random_traders,7,False
2,3,1.2659665184363454e-05,190.72626513522013,0.008687947790812809,1590,normal,aggressive,random_n20,random_traders,7,False
2,4,1.296169257687333e-05,477.4571938136094,0.012795806995165705,1690,normal,aggressive,random_n20,random_traders,7,False
3,0,5.426213281179696e-05,9.708537189423836,0.005762903037936737,1267,normal,aggressive,random_n20,random_traders,7,False
3,1,5.399261441205519e-05,44.084891359487585,0.009046868703232092,1249,normal,aggressive,random_n20,random_traders,7,False
3,2,5.371378064840009e-05,97.50329458957887,0.010514526698434267,1401,normal,aggressive,random_n20,random_traders,7,False
3,3,5.43834801731811e-05,191.0272187647424,0.012818272434888466,1611,normal,aggressive,random_n20,random_traders,7,False
3,4,5.401758538126981e-05,519.9522440049603,0.015742581496508336,2016,normal,aggressive,random_n20,random_traders,7,False
4,0,0.0007225852171959937,8.414266770668585,0.01035093364620513,1391,normal,aggressive,random_n20,random_traders,7,False
4,1,0.0006228170403050246,44.85894852195122,0.011557291259408546,1230,normal,aggressive,random_n20,random_traders,7,False
4,2,0.0006273344691025949,98.76602600443131,0.01696538851329407,1354,normal,aggressive,random_n20,random_traders,7,False
4,3,0.0006944163335808143,191.52511283935243,0.0223293621326745,1606,normal,aggressive,random_n20,random_traders,7,False
4,4,0.0007244947359976282,533.7938060356597,0.02719462204847723,1963,normal,aggressive,random_n20,random_traders,7,False
