qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,4.6407942394104295e-07,4.476229300813007,0.001075244061201401,246,normal,aggressive,threshold_wait20s,time_threshold,71,False
0,1,4.60781963752649e-07,11.086457663865547,0.0013641219749235347,238,normal,aggressive,threshold_wait20s,time_threshold,71,False
0,2,4.3678651344568665e-07,19.662235561181433,-9.016977049852731e-05,237,normal,aggressive,threshold_wait20s,time_threshold,71,False
0,3,5.049792502740176e-07,32.53465283419689,0.0004434832993880448,193,normal,aggressive,threshold_wait20s,time_threshold,71,False
0,4,4.859036720364737e-07,64.44780284431137,-0.0006816474040790788,167,normal,aggressive,threshold_wait20s,time_threshold,71,False
1,0,1.6941509075251534e-06,4.333084015686275,0.00342874977695611,255,normal,aggressive,threshold_wait20s,time_threshold,71,False
1,1,1.7216222604401895e-06,11.176798206572771,0.002195846317289957,213,normal,aggressive,threshold_wait20s,time_threshold,71,False
1,2,1.6785625724261932e-06,19.88659982278481,0.002084975003177634,237,normal,aggressive,threshold_wait20s,time_threshold,71,False
1,3,1.7176645682389447e-06,32.93288929,0.002800653136490958,200,normal,aggressive,threshold_wait20s,time_threshold,71,False
1,4,1.678840494071917e-06,65.02173543181819,0.004554432183300515,176,normal,aggressive,threshold_wait20s,time_threshold,71,False
2,0,4.852253289320129e-06,4.46107641,0.0022289330465067904,200,normal,aggressive,threshold_wait20s,time_threshold,71,False
2,1,4.830299759652246e-06,11.261299794520548,0.003873169211059967,219,normal,aggressive,threshold_wait20s,time_threshold,71,False
2,2,4.841498555077355e-06,19.885049555555558,0.0033731465991638193,216,normal,aggressive,threshold_wait20s,time_threshold,71,False
2,3,4.812597823639835e-06,33.632963092920356,0.0029826213176138354,226,normal,aggressive,threshold_wait20s,time_threshold,71,False
2,4,4.636815136027033e-06,71.76714431818182,0.0037992981287678653,220,normal,aggressive,threshold_wait20s,time_threshold,71,False
3,0,1.7424182397711218e-05,4.251143701219512,0.002477972401094821,164,normal,aggressive,threshold_wait20s,time_threshold,71,False
3,1,1.7903124921636947e-05,11.01562633018868,0.003722776832603969,212,normal,aggressive,threshold_wait20s,time_threshold,71,False
3,2,1.7810057205147243e-05,19.755504587939697,0.0036205047602065367,199,normal,aggressive,threshold_wait20s,time_threshold,71,False
3,3,1.8664871954157457e-05,32.97213227530364,0.002114019093702359,247,normal,aggressive,threshold_wait20s,time_threshold,71,False
3,4,1.8367251407881372e-05,70.17910083397685,0.0011127595367166228,259,normal,aggressive,threshold_wait20s,time_threshold,71,False
4,0,0.0002891195872036744,4.525695342592592,0.0042076653640940355,216,normal,aggressive,threshold_wait20s,time_threshold,71,False
4,1,0.00029461666956716055,10.935547105527638,0.0027613243963830075,199,normal,aggressive,threshold_wait20s,time_threshold,71,False
4,2,0.00025436587443146706,20.335029619791666,0.003603286121933981,192,normal,aggressive,threshold_wait20s,time_threshold,71,False
4,3,0.0004295621896046219,33.85215733023256,0.004899282399258992,215,normal,aggressive,threshold_wait20s,time_threshold,71,False
4,4,0.0003155971017043017,76.169176988417,0.007296998519818916,259,normal,aggressive,threshold_wait20s,time_threshold,71,False
