qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,4.770440015179258e-07,1.7796540372652583,0.004320581781114903,3408,normal,fill,random_n6,random_traders,71,True
0,1,4.97733615796264e-07,8.074494336460692,0.00525418500487292,3091,normal,fill,random_n6,random_traders,71,True
0,2,5.116572201044374e-07,18.012311479011377,0.005539524896761875,2549,normal,fill,random_n6,random_traders,71,True
0,3,5.514837813639074e-07,35.41979115591398,0.0064703822999143375,1860,normal,fill,random_n6,random_traders,71,True
0,4,5.852723944945329e-07,77.63820735806831,0.00698667724211999,849,normal,fill,random_n6,random_traders,71,True
1,0,1.8152495173470446e-06,1.9063329431034484,0.005387862910988142,2320,normal,fill,random_n6,random_traders,71,True
1,1,1.8805942291185175e-06,8.306442391168424,0.006976283754303267,2559,normal,fill,random_n6,random_traders,71,True
1,2,1.9272436533507197e-06,18.18744047157321,0.007781601179027005,2568,normal,fill,random_n6,random_traders,71,True
1,3,1.9859997032926177e-06,36.0937001452132,0.00954167688584847,2486,normal,fill,random_n6,random_traders,71,True
1,4,2.084201118434774e-06,86.10676759133297,0.010034564720861078,1823,normal,fill,random_n6,random_traders,71,True
2,0,7.593132677124269e-06,1.7920388607594937,0.004371990727257039,1896,normal,fill,random_n6,random_traders,71,True
2,1,7.6203549064839155e-06,8.239116650786087,0.006078705893549569,2099,normal,fill,random_n6,random_traders,71,True
2,2,7.577761853284192e-06,18.404445796247817,0.00758448382126667,2292,normal,fill,random_n6,random_traders,71,True
2,3,7.5762875578316e-06,36.45119673065134,0.009609594150066306,2610,normal,fill,random_n6,random_traders,71,True
2,4,7.687207127557604e-06,96.7713837149353,0.012939365060502021,2859,normal,fill,random_n6,random_traders,71,True
3,0,3.074970359086048e-05,1.7155691743264658,0.00482344532014923,1893,normal,fill,random_n6,random_traders,71,True
3,1,3.0776023265783354e-05,8.247277410985777,0.0066830174189186934,2039,normal,fill,random_n6,random_traders,71,True
3,2,3.0451390083241682e-05,18.321257143429843,0.008391204363848501,2245,normal,fill,random_n6,random_traders,71,True
3,3,3.0604588184138893e-05,36.66781770732689,0.010786852224342931,2484,normal,fill,random_n6,random_traders,71,True
3,4,3.1460542347082094e-05,105.61142629789984,0.015746559752629622,3095,normal,fill,random_n6,random_traders,71,True
4,0,0.0005524637145835761,1.4825837625,0.008447080605256672,2240,normal,fill,random_n6,random_traders,71,True
4,1,0.0004254057247507811,8.306905146341464,0.009627314915039943,1968,normal,fill,random_n6,random_traders,71,True
4,2,0.0004356206405328306,18.483532362036158,0.013256999313206971,2102,normal,fill,random_n6,random_traders,71,True
4,3,0.0004342750759876211,36.37585191925734,0.015056488759992253,2316,normal,fill,random_n6,random_traders,71,True
4,4,0.0004920410190535408,109.28062432907349,0.02359288700165767,3130,normal,fill,random_n6,random_traders,71,True
