qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,2.474407538090327e-07,1.8394682866520788,0.0019461719649921645,457,normal,fill,threshold_wait5s,time_threshold,7,True
0,1,2.4999469820208483e-07,4.422491304157549,0.0020712445280934785,457,normal,fill,threshold_wait5s,time_threshold,7,True
0,2,2.5869921472094803e-07,7.018720276643991,0.0026186429411982778,441,normal,fill,threshold_wait5s,time_threshold,7,True
0,3,2.5676539155009337e-07,10.949796254054053,0.002444051955868874,370,normal,fill,threshold_wait5s,time_threshold,7,True
0,4,2.6827331997448814e-07,19.13780805357143,0.003773961874190227,280,normal,fill,threshold_wait5s,time_threshold,7,True
1,0,6.231571484457981e-07,1.9156155638297871,0.003283913184696867,376,normal,fill,threshold_wait5s,time_threshold,7,True
1,1,6.253696193141774e-07,4.444892733924612,0.003076159162564383,451,normal,fill,threshold_wait5s,time_threshold,7,True
1,2,6.234244482567626e-07,7.036383148883375,0.003110364195948024,403,normal,fill,threshold_wait5s,time_threshold,7,True
1,3,6.276849330049454e-07,10.841078491002571,0.003117199457588961,389,normal,fill,threshold_wait5s,time_threshold,7,True
1,4,6.42151641783961e-07,19.81376849222798,0.0038123848964940195,386,normal,fill,threshold_wait5s,time_threshold,7,True
2,0,1.4181000815484928e-06,1.9201336997578693,0.0038622291909026244,413,normal,fill,threshold_wait5s,time_threshold,7,True
2,1,1.425386504013997e-06,4.395215108108108,0.0036187672872650743,370,normal,fill,threshold_wait5s,time_threshold,7,True
2,2,1.4484959236498008e-06,7.034304466334165,0.0032649136016839704,401,normal,fill,threshold_wait5s,time_threshold,7,True
2,3,1.422503080460012e-06,10.89594486440678,0.004593175453014306,413,normal,fill,threshold_wait5s,time_threshold,7,True
2,4,1.4709141277360736e-06,21.1778258009828,0.004182795397303275,407,normal,fill,threshold_wait5s,time_threshold,7,True
3,0,5.516541627221884e-06,1.8917752842105262,0.0026519303626490083,380,normal,fill,threshold_wait5s,time_threshold,7,True
3,1,5.036971405070377e-06,4.518846768392371,0.0026128890659601624,367,normal,fill,threshold_wait5s,time_threshold,7,True
3,2,5.112568041273715e-06,7.104596164556963,0.002478889951091018,395,normal,fill,threshold_wait5s,time_threshold,7,True
3,3,5.218223343490432e-06,11.123922604878048,0.003277372891327682,410,normal,fill,threshold_wait5s,time_threshold,7,True
3,4,5.192691090321546e-06,22.633604774834435,0.002832995406965153,453,normal,fill,threshold_wait5s,time_threshold,7,True
4,0,0.00011818192679429352,1.7974195514511873,0.002883366042117907,379,normal,fill,threshold_wait5s,time_threshold,7,True
4,1,9.789157191214075e-05,4.433856825,0.0038482768952860466,360,normal,fill,threshold_wait5s,time_threshold,7,True
4,2,8.255252997357051e-05,7.229012164835165,0.0024493371101820343,364,normal,fill,threshold_wait5s,time_threshold,7,True
4,3,8.589089124710131e-05,11.13387959101655,0.0030845794898602223,423,normal,fill,threshold_wait5s,time_threshold,7,True
4,4,0.00010090894345754813,23.547318465553236,0.0042774764469522665,479,normal,fill,threshold_wait5s,time_threshold,7,True
