qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,7.833757429639673e-07,9.379883654631083,0.00405295149335662,2548,stress,aggressive,random_n20,random_traders,7,False
0,1,7.913005763877724e-07,40.79092166802168,0.004282496761086268,2214,stress,aggressive,random_n20,random_traders,7,False
0,2,8.228252018937576e-07,90.13525973593512,0.004329335103706269,1973,stress,aggressive,random_n20,random_traders,7,False
0,3,8.157484479931575e-07,177.57165451285522,0.004583297081946939,1478,stress,aggressive,random_n20,random_traders,7,False
0,4,9.164226114162997e-07,395.16692380128205,0.005266558080341826,780,stress,aggressive,random_n20,random_traders,7,False
1,0,3.240876217873039e-06,9.913221905650026,0.004872277058264501,1823,stress,aggressive,random_n20,random_traders,7,False
1,1,3.329820676128261e-06,40.71388762764884,0.007319717076517365,1982,stress,aggressive,random_n20,random_traders,7,False
1,2,3.3999024762136534e-06,91.15673880527383,0.008370956111069822,1972,stress,aggressive,random_n20,random_traders,7,False
1,3,3.4962524258132156e-06,181.66815050788472,0.008981872405440227,1839,stress,aggressive,random_n20,random_traders,7,False
1,4,3.618766210659661e-06,432.4346723553779,0.007822814093787699,1376,stress,aggressive,random_n20,random_traders,7,False
2,0,1.2093552681853102e-05,9.738465693271767,0.005969420346982542,1516,stress,aggressive,random_n20,random_traders,7,False
2,1,1.2056080186878297e-05,41.022343718601896,0.0071869200764971145,1688,stress,aggressive,random_n20,random_traders,7,False
2,2,1.2288999364984684e-05,91.58937031768745,0.009608204578852333,1747,stress,aggressive,random_n20,random_traders,7,False
2,3,1.2259870541571717e-05,180.66455442005014,0.010631698428448199,1995,stress,aggressive,random_n20,random_traders,7,False
2,4,1.2479658706499551e-05,472.5814344167074,0.009131060772571782,2047,stress,aggressive,random_n20,random_traders,7,False
3,0,4.567482643099803e-05,8.705298659873508,0.007695790452318783,1423,stress,aggressive,random_n20,random_traders,7,False
3,1,4.588536851290812e-05,41.50863986516854,0.010396426476010362,1513,stress,aggressive,random_n20,random_traders,7,False
3,2,4.522435007391217e-05,92.5209480649196,0.012211382478563735,1679,stress,aggressive,random_n20,random_traders,7,False
3,3,4.528043990421224e-05,183.06854354151434,0.012847270383943135,1915,stress,aggressive,random_n20,random_traders,7,False
3,4,4.6160035361900655e-05,512.5796393086921,0.013734128514661912,2462,stress,aggressive,random_n20,random_traders,7,False
4,0,0.0007068735757542523,8.005891493166963,0.011661237451074368,1683,stress,aggressive,random_n20,random_traders,7,False
4,1,0.0006665357790601348,40.90045791473354,0.017511458582418194,1595,stress,aggressive,random_n20,random_traders,7,False
4,2,0.0005925710558907603,91.11106043588163,0.0185395274887562,1622,stress,aggressive,random_n20,random_traders,7,False
4,3,0.0006651931643968125,184.36527375410765,0.02124429158872387,1765,stress,aggressive,random_n20,random_traders,7,False
4,4,0.0006799904591803716,566.8102251254295,0.024220614326030808,2328,stress,aggressive,random_n20,random_traders,7,False
