qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,5.338308467341679e-07,1.879368004,0.001656293530268887,500,stress,aggressive,threshold_wait5s,time_threshold,7,True
0,1,5.614898724125511e-07,4.23873017551963,0.0014944780875104434,433,stress,aggressive,threshold_wait5s,time_threshold,7,True
0,2,5.228356769458934e-07,6.763219350241546,0.0014970506134028597,414,stress,aggressive,threshold_wait5s,time_threshold,7,True
0,3,5.33266387098387e-07,10.57828172368421,0.0011414503836065563,380,stress,aggressive,threshold_wait5s,time_threshold,7,True
0,4,5.563932369653128e-07,19.580606962962964,0.0015824050651360758,270,stress,aggressive,threshold_wait5s,time_threshold,7,True
1,0,1.8530780387358455e-06,1.9228122024390242,0.0037012768514182175,410,stress,aggressive,threshold_wait5s,time_threshold,7,True
1,1,1.8246486068424414e-06,4.21161351536643,0.003422441866175948,423,stress,aggressive,threshold_wait5s,time_threshold,7,True
1,2,1.8446159498107059e-06,6.7779417617924524,0.0028471526954873816,424,stress,aggressive,threshold_wait5s,time_threshold,7,True
1,3,1.8650145524696535e-06,10.620158383663366,0.003406403470843873,404,stress,aggressive,threshold_wait5s,time_threshold,7,True
1,4,1.8687507988315876e-06,19.52864229552239,0.003633399910166447,335,stress,aggressive,threshold_wait5s,time_threshold,7,True
2,0,5.254688048939079e-06,1.8837339833333333,0.003435713412812295,360,stress,aggressive,threshold_wait5s,time_threshold,7,True
2,1,5.173152635952369e-06,4.238658118686868,0.002374008479415173,396,stress,aggressive,threshold_wait5s,time_threshold,7,True
2,2,5.281964128187872e-06,6.844347175742574,0.002767275420750483,404,stress,aggressive,threshold_wait5s,time_threshold,7,True
2,3,5.3690666581111866e-06,10.651867920289856,0.0028285153666824307,414,stress,aggressive,threshold_wait5s,time_threshold,7,True
2,4,5.228287024647931e-06,20.8250407985782,0.0037744675197348377,422,stress,aggressive,threshold_wait5s,time_threshold,7,True
3,0,1.7779488514651634e-05,1.8612436288088643,0.0027579458598783893,361,stress,aggressive,threshold_wait5s,time_threshold,7,True
3,1,1.7975713466985246e-05,4.285050677835051,0.0027028480206788127,388,stress,aggressive,threshold_wait5s,time_threshold,7,True
3,2,1.8001779647471162e-05,6.810515453124999,0.0031666768594477116,384,stress,aggressive,threshold_wait5s,time_threshold,7,True
3,3,1.842640236185816e-05,10.734541634567902,0.0034073254461977746,405,stress,aggressive,threshold_wait5s,time_threshold,7,True
3,4,1.8481521202136437e-05,22.207612288209607,0.005010836243342467,458,stress,aggressive,threshold_wait5s,time_threshold,7,True
4,0,0.000269307423946153,1.8130585655737705,0.003988590106089924,366,stress,aggressive,threshold_wait5s,time_threshold,7,True
4,1,0.0002995699900688852,4.246857966292135,0.003895300005576358,356,stress,aggressive,threshold_wait5s,time_threshold,7,True
4,2,0.0002758397988561468,6.80438762972973,0.003660533371537559,370,stress,aggressive,threshold_wait5s,time_threshold,7,True
4,3,0.00039032138652947765,10.70437872264631,0.004201536369818936,393,stress,aggressive,threshold_wait5s,time_threshold,7,True
4,4,0.0002720951933581814,23.86099493933464,0.006493378555743099,511,stress,aggressive,threshold_wait5s,time_threshold,7,True
