qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,4.935562457310007e-07,1.5459951927623643,0.004439245742694759,4145,stress,fill,random_n6,random_traders,7,True
0,1,5.247304636534183e-07,7.447473431928687,0.005289481898983528,3702,stress,fill,random_n6,random_traders,7,True
0,2,5.46441341606903e-07,16.76352594530154,0.00533792357460737,2852,stress,fill,random_n6,random_traders,7,True
0,3,5.701871329964028e-07,33.57638230956848,0.005740089105850806,2132,stress,fill,random_n6,random_traders,7,True
0,4,6.101306840905035e-07,76.85514835347159,0.004855522979735423,1109,stress,fill,random_n6,random_traders,7,True
1,0,1.8068109708159597e-06,1.6651001466152227,0.005359973750841926,2851,stress,fill,random_n6,random_traders,7,True
1,1,1.8340053987672401e-06,7.5455174758757435,0.007375688120428658,3026,stress,fill,random_n6,random_traders,7,True
1,2,1.8967753411870666e-06,16.934846898550724,0.008218802616027296,3105,stress,fill,random_n6,random_traders,7,True
1,3,1.9339010265649523e-06,33.90659542807505,0.008423915097444761,2878,stress,fill,random_n6,random_traders,7,True
1,4,2.0233673731052317e-06,86.05282992448292,0.009001121969705093,2079,stress,fill,random_n6,random_traders,7,True
2,0,7.44737373197549e-06,1.5881832668539326,0.0041862324346521405,2136,stress,fill,random_n6,random_traders,7,True
2,1,7.294890876958922e-06,7.712791696909668,0.006159815635993319,2524,stress,fill,random_n6,random_traders,7,True
2,2,7.1926655424854815e-06,17.091710693366267,0.007974577319500686,2834,stress,fill,random_n6,random_traders,7,True
2,3,7.291104548352136e-06,34.31178608530806,0.009339909779554248,3165,stress,fill,random_n6,random_traders,7,True
2,4,7.376942706887149e-06,92.26423270649194,0.010564454257069186,3281,stress,fill,random_n6,random_traders,7,True
3,0,2.7260060026830166e-05,1.5842033504043127,0.005155686655950002,2226,stress,fill,random_n6,random_traders,7,True
3,1,2.7033355657200376e-05,7.636856098960499,0.007266422807491726,2405,stress,fill,random_n6,random_traders,7,True
3,2,2.740542425255568e-05,17.15101856716418,0.009057665914229797,2680,stress,fill,random_n6,random_traders,7,True
3,3,2.7740721423578298e-05,34.46796564405641,0.010932645407384247,2978,stress,fill,random_n6,random_traders,7,True
3,4,2.8311683927732208e-05,101.71720556410959,0.012565263842521927,3650,stress,fill,random_n6,random_traders,7,True
4,0,0.0005165132405516111,1.2959568063516653,0.007895660347765777,2582,stress,fill,random_n6,random_traders,7,True
4,1,0.0004460511252113116,7.670399811130587,0.01108836813018947,2282,stress,fill,random_n6,random_traders,7,True
4,2,0.0004493543566294073,17.24446198987444,0.01346330654139475,2469,stress,fill,random_n6,random_traders,7,True
4,3,0.000434825185486566,34.225387112706386,0.015460985744490329,2786,stress,fill,random_n6,random_traders,7,True
4,4,0.00043874932969080395,113.01595520282649,0.018080172527091095,3821,stress,fill,random_n6,random_traders,7,True
