qbin,tbin,q,duration_s,impact_over_sigma,n,regime,granularity,variant,method,seed,primary
0,0,2.832458575485937e-07,1.823981661045531,0.0020996654834018373,593,stress,fill,threshold_wait5s,time_threshold,71,True
0,1,2.8017284234082185e-07,4.341558888888889,0.0015486075312517238,558,stress,fill,threshold_wait5s,time_threshold,71,True
0,2,2.9192086109553275e-07,7.031377015503876,0.002013672195774619,516,stress,fill,threshold_wait5s,time_threshold,71,True
0,3,2.9198887043080004e-07,11.063733089130436,0.0018133347505817764,460,stress,fill,threshold_wait5s,time_threshold,71,True
0,4,2.9266570108828684e-07,19.497739194267517,0.0014176574174748055,314,stress,fill,threshold_wait5s,time_threshold,71,True
1,0,6.785620982829232e-07,1.8820685032822757,0.0035919354867922563,457,stress,fill,threshold_wait5s,time_threshold,71,True
1,1,6.634539321886472e-07,4.3458218259325045,0.003708721108874763,563,stress,fill,threshold_wait5s,time_threshold,71,True
1,2,6.747781924781611e-07,7.063337725296443,0.0034993890647791836,506,stress,fill,threshold_wait5s,time_threshold,71,True
1,3,6.802553473068083e-07,10.975356522916666,0.003531433185235211,480,stress,fill,threshold_wait5s,time_threshold,71,True
1,4,6.93003546919261e-07,20.64815035862069,0.0036585487416425644,435,stress,fill,threshold_wait5s,time_threshold,71,True
2,0,1.4800369297981177e-06,1.7828738486140725,0.004291239080537547,469,stress,fill,threshold_wait5s,time_threshold,71,True
2,1,1.445601955678653e-06,4.430233598684211,0.004023655819365522,456,stress,fill,threshold_wait5s,time_threshold,71,True
2,2,1.458960762409918e-06,7.110742743027888,0.004048837391950803,502,stress,fill,threshold_wait5s,time_threshold,71,True
2,3,1.4654279607244853e-06,10.955901279296874,0.0040820567997370116,512,stress,fill,threshold_wait5s,time_threshold,71,True
2,4,1.4955176072551748e-06,21.465063407185628,0.005207308018531315,501,stress,fill,threshold_wait5s,time_threshold,71,True
3,0,5.960440986750627e-06,1.826990699134199,0.0023753579162526487,462,stress,fill,threshold_wait5s,time_threshold,71,True
3,1,5.851931887430047e-06,4.471434715261959,0.0020996088219092618,439,stress,fill,threshold_wait5s,time_threshold,71,True
3,2,5.907385257055765e-06,7.19059820292887,0.001989823177785436,478,stress,fill,threshold_wait5s,time_threshold,71,True
3,3,5.5500546848973645e-06,10.899682638,0.0022804316056229466,500,stress,fill,threshold_wait5s,time_threshold,71,True
3,4,5.86158401711552e-06,22.91240497508897,0.0040888155976170825,562,stress,fill,threshold_wait5s,time_threshold,71,True
4,0,9.577386664512347e-05,1.72008,0.0034458603821523478,460,stress,fill,threshold_wait5s,time_threshold,71,True
4,1,0.00010392686266659343,4.366458604705882,0.0027723314071366333,425,stress,fill,threshold_wait5s,time_threshold,71,True
4,2,9.215541581582481e-05,7.133767979452054,0.003104301374080129,438,stress,fill,threshold_wait5s,time_threshold,71,True
4,3,9.336839520278748e-05,10.99635036605317,0.0022178699009358237,489,stress,fill,threshold_wait5s,time_threshold,71,True
4,4,9.741680214599842e-05,23.272096637519873,0.005548949163786857,629,stress,fill,threshold_wait5s,time_threshold,71,True
