phi,mean_impact_bps,sem_iid,n,regime,granularity,variant,method,seed,primary
0.0,0.0,0.0,7807,normal,aggressive,random_n6,random_traders,7,True
0.05,0.6283957377477141,0.023274593904459056,7807,normal,aggressive,random_n6,random_traders,7,True
0.1,0.8394041545372847,0.02737579130421534,7807,normal,aggressive,random_n6,random_traders,7,True
0.15000000000000002,0.9961843317135413,0.030285082881084745,7807,normal,aggressive,random_n6,random_traders,7,True
0.2,1.1336923168002149,0.03254238545803633,7807,normal,aggressive,random_n6,random_traders,7,True
0.25,1.2466910736802914,0.03416278551587322,7807,normal,aggressive,random_n6,random_traders,7,True
0.30000000000000004,1.3594546860674848,0.035847468755710224,7807,normal,aggressive,random_n6,random_traders,7,True
0.35000000000000003,1.4685929958284707,0.0372284059272067,7807,normal,aggressive,random_n6,random_traders,7,True
0.4,1.556457755429787,0.038300117790895184,7807,normal,aggressive,random_n6,random_traders,7,True
0.45,1.641609602442676,0.039308075234032444,7807,normal,aggressive,random_n6,random_traders,7,True
0.5,1.7420960542756703,0.04059658184176968,7807,normal,aggressive,random_n6,random_traders,7,True
0.55,1.8361945832011604,0.04177530781531297,7807,normal,aggressive,random_n6,random_traders,7,True
0.6000000000000001,1.931221027535346,0.04287833670675232,7807,normal,aggressive,random_n6,random_traders,7,True
0.65,2.0241968600955653,0.04412949560675829,7807,normal,aggressive,random_n6,random_traders,7,True
0.7000000000000001,2.117504862942843,0.04518923518950675,7807,normal,aggressive,random_n6,random_traders,7,True
0.75,2.2316733282629646,0.046495327225136614,7807,normal,aggressive,random_n6,random_traders,7,True
0.8,2.348845826084211,0.048035417240535186,7807,normal,aggressive,random_n6,random_traders,7,True
0.8500000000000001,2.4874669273142653,0.049676084968114875,7807,normal,aggressive,random_n6,random_traders,7,True
0.9,2.652220654946536,0.0518250931609416,7807,normal,aggressive,random_n6,random_traders,7,True
0.9500000000000001,2.8760537517765195,0.054289143005374935,7807,normal,aggressive,random_n6,random_traders,7,True
1.0,3.6874803325688834,0.06284455001341498,7807,normal,aggressive,random_n6,random_traders,7,True
0.0,0.0,0.0,7864,normal,aggressive,random_n6,random_traders,23,True
0.05,0.6546870762236997,0.023298169027735866,7864,normal,aggressive,random_n6,random_traders,23,True
0.1,0.856813190812261,0.02715001616137201,7864,normal,aggressive,random_n6,random_traders,23,True
0.15000000000000002,1.0000833301564709,0.02971721347568527,7864,normal,aggressive,random_n6,random_traders,23,True
0.2,1.1190841276562933,0.031801398932010075,7864,normal,aggressive,random_n6,random_traders,23,True
0.25,1.226819932751143,0.03389193961871384,7864,normal,aggressive,random_n6,random_traders,23,True
0.30000000000000004,1.3242765149850078,0.035534860018719715,7864,normal,aggressive,random_n6,random_traders,23,True
0.35000000000000003,1.4159739101037883,0.036852281055646335,7864,normal,aggressive,random_n6,random_traders,23,True
0.4,1.5007714103368393,0.03821874488242905,7864,normal,aggressive,random_n6,random_traders,23,True
0.45,1.5883158692711856,0.0394817417244002,7864,normal,aggressive,random_n6,random_traders,23,True
0.5,1.6763235044491247,0.04066704125212164,7864,normal,aggressive,random_n6,random_traders,23,True
0.55,1.77876783216233,0.042186348895028286,7864,normal,aggressive,random_n6,random_traders,23,True
0.6000000000000001,1.8783894506510748,0.04359083144725273,7864,normal,aggressive,random_n6,random_traders,23,True
0.65,1.978650620523339,0.04475668785753294,7864,normal,aggressive,random_n6,random_traders,23,True
0.7000000000000001,2.077113939009696,0.04593701924805999,7864,normal,aggressive,random_n6,random_traders,23,True
0.75,2.1905165286718957,0.047085172468151436,7864,normal,aggressive,random_n6,random_traders,23,True
0.8,2.3090322952065705,0.04836866541894668,7864,normal,aggressive,random_n6,random_traders,23,True
0.8500000000000001,2.4518649897424214,0.04999022522018898,7864,normal,aggressive,random_n6,random_traders,23,True
0.9,2.6206159818257553,0.05206059747302898,7864,normal,aggressive,random_n6,random_traders,23,True
0.9500000000000001,2.8613102049395605,0.05452882338228692,7864,normal,aggressive,random_n6,random_traders,23,True
1.0,3.6811899145735962,0.06350213821359649,7864,normal,aggressive,random_n6,random_traders,23,True
0.0,0.0,0.0,7864,normal,aggressive,random_n6,random_traders,71,True
0.05,0.6343306880399381,0.023074886313531228,7864,normal,aggressive,random_n6,random_traders,71,True
0.1,0.8396577514850282,0.02716144018953525,7864,normal,aggressive,random_n6,random_traders,71,True
0.15000000000000002,0.9884410910412073,0.030087272114875573,7864,normal,aggressive,random_n6,random_traders,71,True
0.2,1.1188717378389998,0.03228523952788918,7864,normal,aggressive,random_n6,random_traders,71,True
0.25,1.229372474898719,0.03405710345947268,7864,normal,aggressive,random_n6,random_traders,71,True
0.30000000000000004,1.3227771051302268,0.035574365344090836,7864,normal,aggressive,random_n6,random_traders,71,True
0.35000000000000003,1.4104002241356486,0.03692572144553449,7864,normal,aggressive,random_n6,random_traders,71,True
0.4,1.510608457313874,0.03826746684876272,7864,normal,aggressive,random_n6,random_traders,71,True
0.45,1.6006343456295824,0.03943379172119543,7864,normal,aggressive,random_n6,random_traders,71,True
0.5,1.693058128165093,0.04068705764261763,7864,normal,aggressive,random_n6,random_traders,71,True
0.55,1.7903311714948018,0.041935012905606,7864,normal,aggressive,random_n6,random_traders,71,True
0.6000000000000001,1.8912362247131727,0.043413921196495515,7864,normal,aggressive,random_n6,random_traders,71,True
0.65,1.9941506726788991,0.044831332426749075,7864,normal,aggressive,random_n6,random_traders,71,True
0.7000000000000001,2.1037660219376852,0.04620750330400613,7864,normal,aggressive,random_n6,random_traders,71,True
0.75,2.220889172031965,0.04758678775754018,7864,normal,aggressive,random_n6,random_traders,71,True
0.8,2.3452953147927404,0.049133739976131005,7864,normal,aggressive,random_n6,random_traders,71,True
0.8500000000000001,2.496058394992049,0.05084432122691829,7864,normal,aggressive,random_n6,random_traders,71,True
0.9,2.649942782296825,0.05298588172207168,7864,normal,aggressive,random_n6,random_traders,71,True
0.9500000000000001,2.8691785648265307,0.055258654003989244,7864,normal,aggressive,random_n6,random_traders,71,True
1.0,3.723264327822499,0.06374527018985315,7864,normal,aggressive,random_n6,random_traders,71,True
0.0,0.0,0.0,7044,normal,aggressive,random_n20,random_traders,7,False
0.05,0.8927767790174267,0.04535856420532258,7044,normal,aggressive,random_n20,random_traders,7,False
0.1,1.211349683252341,0.052537276338613145,7044,normal,aggressive,random_n20,random_traders,7,False
0.15000000000000002,1.4265714870489317,0.05723226696180548,7044,normal,aggressive,random_n20,random_traders,7,False
0.2,1.6054206122317098,0.06082580677246775,7044,normal,aggressive,random_n20,random_traders,7,False
0.25,1.8017454260231005,0.06431632767669827,7044,normal,aggressive,random_n20,random_traders,7,False
0.30000000000000004,1.9664757453676587,0.066938072809357,7044,normal,aggressive,random_n20,random_traders,7,False
0.35000000000000003,2.1263343814204108,0.06969546917850993,7044,normal,aggressive,random_n20,random_traders,7,False
0.4,2.2774758434711178,0.07217498045228023,7044,normal,aggressive,random_n20,random_traders,7,False
0.45,2.410674906216815,0.07466846789215024,7044,normal,aggressive,random_n20,random_traders,7,False
0.5,2.55996842804162,0.07718093968635299,7044,normal,aggressive,random_n20,random_traders,7,False
0.55,2.709286174576665,0.07964012178739427,7044,normal,aggressive,random_n20,random_traders,7,False
0.6000000000000001,2.8355763818478095,0.08222606529523306,7044,normal,aggressive,random_n20,random_traders,7,False
0.65,2.9867696070227154,0.08466423348124817,7044,normal,aggressive,random_n20,random_traders,7,False
0.7000000000000001,3.142953829293149,0.08701791767454617,7044,normal,aggressive,random_n20,random_traders,7,False
0.75,3.308750791040363,0.08955766684946609,7044,normal,aggressive,random_n20,random_traders,7,False
0.8,3.4872083350192002,0.09208130434984554,7044,normal,aggressive,random_n20,random_traders,7,False
0.8500000000000001,3.6716473035260635,0.09529354963873893,7044,normal,aggressive,random_n20,random_traders,7,False
0.9,3.8917314181028626,0.09894701335686411,7044,normal,aggressive,random_n20,random_traders,7,False
0.9500000000000001,4.239351911083304,0.10334998543035497,7044,normal,aggressive,random_n20,random_traders,7,False
1.0,5.369652245295346,0.11993732073983128,7044,normal,aggressive,random_n20,random_traders,7,False
0.0,0.0,0.0,7056,normal,aggressive,random_n20,random_traders,23,False
0.05,0.9323529060015592,0.04405620212491026,7056,normal,aggressive,random_n20,random_traders,23,False
0.1,1.290856670097659,0.05223972582015718,7056,normal,aggressive,random_n20,random_traders,23,False
0.15000000000000002,1.4999985841970678,0.05743405053639227,7056,normal,aggressive,random_n20,random_traders,23,False
0.2,1.6867152352468997,0.06202540957256845,7056,normal,aggressive,random_n20,random_traders,23,False
0.25,1.8504321376104187,0.06544014205545741,7056,normal,aggressive,random_n20,random_traders,23,False
0.30000000000000004,2.002644245412085,0.06881222657146574,7056,normal,aggressive,random_n20,random_traders,23,False
0.35000000000000003,2.1386488170075966,0.07123989973244373,7056,normal,aggressive,random_n20,random_traders,23,False
0.4,2.2799271654946276,0.07406027797173491,7056,normal,aggressive,random_n20,random_traders,23,False
0.45,2.4116656148583084,0.0760848220932483,7056,normal,aggressive,random_n20,random_traders,23,False
0.5,2.566030315487589,0.07851413179204998,7056,normal,aggressive,random_n20,random_traders,23,False
0.55,2.6881412631639043,0.08095707006356068,7056,normal,aggressive,random_n20,random_traders,23,False
0.6000000000000001,2.8298762979068433,0.08318196531891059,7056,normal,aggressive,random_n20,random_traders,23,False
0.65,2.996483126750024,0.08578996491093399,7056,normal,aggressive,random_n20,random_traders,23,False
0.7000000000000001,3.1521756242435885,0.08828511500352879,7056,normal,aggressive,random_n20,random_traders,23,False
0.75,3.3146287350288275,0.09069418415242705,7056,normal,aggressive,random_n20,random_traders,23,False
0.8,3.4880320733775707,0.09325551100021158,7056,normal,aggressive,random_n20,random_traders,23,False
0.8500000000000001,3.6606092724744896,0.09598107766596552,7056,normal,aggressive,random_n20,random_traders,23,False
0.9,3.855456187514903,0.09948983021883191,7056,normal,aggressive,random_n20,random_traders,23,False
0.9500000000000001,4.133458018692522,0.10402239183569018,7056,normal,aggressive,random_n20,random_traders,23,False
1.0,5.2164420055772505,0.1198495182267621,7056,normal,aggressive,random_n20,random_traders,23,False
0.0,0.0,0.0,7054,normal,aggressive,random_n20,random_traders,71,False
0.05,0.903425115753422,0.04528092896278364,7054,normal,aggressive,random_n20,random_traders,71,False
0.1,1.2368783798105814,0.05355790798684787,7054,normal,aggressive,random_n20,random_traders,71,False
0.15000000000000002,1.4696600684052303,0.05883645724811786,7054,normal,aggressive,random_n20,random_traders,71,False
0.2,1.6696138082222247,0.06287151320709021,7054,normal,aggressive,random_n20,random_traders,71,False
0.25,1.8607607906197092,0.06587728927925479,7054,normal,aggressive,random_n20,random_traders,71,False
0.30000000000000004,2.012774111153383,0.06861628694807975,7054,normal,aggressive,random_n20,random_traders,71,False
0.35000000000000003,2.1571532351386566,0.0709927006621552,7054,normal,aggressive,random_n20,random_traders,71,False
0.4,2.306505645667452,0.07344752704450849,7054,normal,aggressive,random_n20,random_traders,71,False
0.45,2.4362837875522856,0.07573372409326613,7054,normal,aggressive,random_n20,random_traders,71,False
0.5,2.5731697976057313,0.07784122676763217,7054,normal,aggressive,random_n20,random_traders,71,False
0.55,2.7255313303026254,0.07996396693339268,7054,normal,aggressive,random_n20,random_traders,71,False
0.6000000000000001,2.8580914058020133,0.08210197512823178,7054,normal,aggressive,random_n20,random_traders,71,False
0.65,2.989309065277666,0.08424055724921838,7054,normal,aggressive,random_n20,random_traders,71,False
0.7000000000000001,3.1434591171077844,0.08686435153390759,7054,normal,aggressive,random_n20,random_traders,71,False
0.75,3.2849802398028003,0.08946408868202302,7054,normal,aggressive,random_n20,random_traders,71,False
0.8,3.4529464556574023,0.09221000409097035,7054,normal,aggressive,random_n20,random_traders,71,False
0.8500000000000001,3.6425940123859544,0.09571341309650754,7054,normal,aggressive,random_n20,random_traders,71,False
0.9,3.8518809060147956,0.09880226862654001,7054,normal,aggressive,random_n20,random_traders,71,False
0.9500000000000001,4.1543085135062485,0.10289297197863012,7054,normal,aggressive,random_n20,random_traders,71,False
1.0,5.335878571755853,0.1184633461640824,7054,normal,aggressive,random_n20,random_traders,71,False
0.0,0.0,0.0,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.05,0.04391935627805226,0.138430061615941,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.1,0.08576579346890652,0.15369967046327634,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.15000000000000002,0.1762333680973098,0.1632525119447422,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.2,0.2094435732635643,0.17815903724685475,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.25,0.3507553789482641,0.1954790195101948,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.30000000000000004,0.4927762686254498,0.21907516300694274,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.35000000000000003,0.5315638573059405,0.22087885834523915,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.4,0.5747639840988231,0.2216126027823305,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.45,0.6086321592635484,0.22217289174836402,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.5,0.6145463350673396,0.22551273200075056,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.55,0.5889721293811689,0.23203727650274433,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.6000000000000001,0.5969643291907991,0.2354338867569423,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.65,0.5361139682395742,0.24914593581295658,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.7000000000000001,0.48476060342611127,0.2611382919845466,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.75,0.49727692675848323,0.26150967187420976,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.8,0.48220713988378555,0.2693507483679612,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.8500000000000001,0.5235699682983768,0.2747380305875756,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.9,0.579424988738472,0.28406853081919536,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.9500000000000001,0.6063758520425031,0.29513245335703464,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
1.0,0.9475032890200266,0.3447907913437924,167,normal,aggressive,threshold_wait5s,time_threshold,7,True
0.0,0.0,0.0,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.05,0.35025327138849166,0.11015612740658563,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.1,0.40234340363611,0.12415864425917131,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.15000000000000002,0.4384003236602466,0.13708946408383246,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.2,0.5021866178476998,0.14599680593161046,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.25,0.5733709738661714,0.1556718976545551,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.30000000000000004,0.6822045864645997,0.16435834164970906,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.35000000000000003,0.8058704860676696,0.18473805251655484,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.4,0.8958755221953232,0.1932130317402177,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.45,0.9589968699127747,0.2012948797387841,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.5,0.9749800952170895,0.20457647426566333,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.55,1.0412869173033055,0.2065144581752506,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.6000000000000001,1.0836096750850537,0.21258347783236245,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.65,1.1469275416280376,0.21753938427451663,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.7000000000000001,1.184185638659684,0.2215688553997613,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.75,1.2913501217347232,0.23459297543640265,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.8,1.378796362051147,0.2508080771427286,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.8500000000000001,1.4377692885693045,0.2542994361141524,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.9,1.4533603914080016,0.258170572888211,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.9500000000000001,1.6892089680250026,0.2977228293980935,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
1.0,2.3468700954788035,0.36519911994112236,168,normal,aggressive,threshold_wait5s,time_threshold,23,True
0.0,0.0,0.0,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.05,0.2040085631122069,0.14687899150969455,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.1,0.24843677493252211,0.1779255445352,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.15000000000000002,0.1571981833718709,0.23239166508933728,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
0.2,0.19609498430687475,0.2392662984275093,188,normal,aggressive,threshold_wait5s,time_threshold,71,True
