hour_utc,mean_spread_bps,mean_bid_depth_btc,mean_ask_depth_btc,mean_cost_1btc_bps,time_share,packets
0,0.0305177,73.2501,72.4975,0.668949,0.0416607,2.31592e+06
1,0.0268145,78.6341,78.1448,0.643739,0.0416768,2.24432e+06
2,0.0294933,81.1319,78.6671,0.668886,0.0416752,2.31134e+06
3,0.0265174,81.6461,78.4471,0.720322,0.0416724,1.98353e+06
4,0.0235361,84.775,79.5816,0.624208,0.0416641,1.67617e+06
5,0.0201688,81.4068,80.0561,0.596856,0.041678,1.90205e+06
6,0.0212829,83.6782,79.1006,0.591039,0.0416678,1.88438e+06
7,0.0245708,81.4553,78.5043,0.639664,0.0416705,2.03128e+06
8,0.0227562,82.3342,79.5481,0.63421,0.0416752,1.79662e+06
9,0.0199351,81.942,79.198,0.701331,0.0416678,1.52896e+06
10,0.0207651,86.2841,78.0608,0.695431,0.0416741,1.48869e+06
11,0.0239381,75.1284,71.6382,0.710248,0.0416783,1.75263e+06
12,0.0267404,79.1652,77.1898,0.614284,0.0416721,2.28529e+06
13,0.0474768,77.296,75.1671,0.678841,0.0416536,3.48628e+06
14,0.0456495,74.2501,74.9226,0.636303,0.0416695,3.78426e+06
15,0.0427121,78.9091,74.0159,0.74423,0.0416654,3.26358e+06
16,0.0250285,80.5346,78.9058,0.578555,0.0416695,2.4524e+06
17,0.0329463,79.776,80.7308,0.509057,0.0416758,2.43076e+06
18,0.0307726,82.4758,79.7645,0.553815,0.0416179,2.37666e+06
19,0.0267132,83.8019,82.1272,0.543429,0.0416663,2.06466e+06
20,0.0314916,82.0559,84.8352,0.439251,0.0416656,1.63136e+06
21,0.0220417,80.6122,84.0948,0.419593,0.0416524,1.4374e+06
22,0.0258232,80.3053,79.162,0.547189,0.0416609,1.79876e+06
23,0.0256262,78.8265,81.9251,0.51222,0.0416701,1.63086e+06
