bin,mean_ofi_btc,mean_dmid_bps,sem_bps,n
0,-10.5053,-1.32157,0.0165739,3592
1,-5.91052,-1.02535,0.0168335,3592
2,-4.08084,-0.784909,0.0158586,3592
3,-2.92753,-0.600636,0.0144091,3593
4,-2.13044,-0.468459,0.0134078,3592
5,-1.54704,-0.329979,0.0117456,3592
6,-1.08391,-0.239761,0.0104439,3592
7,-0.781866,-0.125268,0.00897264,3593
8,-0.505815,-0.0907276,0.0092947,3592
9,-0.258672,-0.0690538,0.00808986,3592
10,-0.120977,-0.0332015,0.00576372,3593
11,-0.048876,-0.0157067,0.00483717,3592
12,-0.000902189,0.00308327,0.00436747,3592
13,0.045449,0.0137536,0.00479131,3592
14,0.11229,0.0580066,0.00609606,3593
15,0.223715,0.0891432,0.00774758,3592
16,0.417467,0.135135,0.00875739,3592
17,0.678393,0.132763,0.00891547,3593
18,0.93682,0.214599,0.0101016,3592
19,1.29358,0.332449,0.0117783,3592
20,1.76412,0.403621,0.0124006,3592
21,2.39832,0.565225,0.0141214,3593
22,3.3807,0.768665,0.0159892,3592
23,4.95111,0.974361,0.0177625,3592
24,9.15443,1.40833,0.0189124,3593
