window_s,response,windows,share_windows_with_a_trade,model,r2,n,beta_ofi,se_ofi,t_ofi,beta_tfi,se_tfi,t_tfi
1,dmid_usd,442929,0.261049,OFI,0.312088,442929,0.932087,0.00765327,121.789,,,
1,dmid_usd,442929,0.261049,TFI,0.0250418,442929,,,,1.59238,0.105516,15.0914
1,dmid_usd,442929,0.261049,OFI+TFI,0.314213,442929,0.916186,0.0070585,129.799,0.473686,0.094829,4.99516
1,dmid_usd,442929,0.261049,TFI_count,0.144755,442929,,,,1.07804,0.0439122,24.5499
1,dmid_usd,442929,0.261049,OFI+TFI_count,0.358248,442929,0.812612,0.00836245,97.1738,0.641686,0.033568,19.116
1,dmid_bps,442929,0.261049,OFI,0.312863,442929,0.143154,0.00117591,121.738,,,
1,dmid_bps,442929,0.261049,TFI,0.0251655,442929,,,,0.244864,0.0162265,15.0903
1,dmid_bps,442929,0.261049,OFI+TFI,0.315012,442929,0.140701,0.00108384,129.817,0.073063,0.0145782,5.01178
1,dmid_bps,442929,0.261049,TFI_count,0.144898,442929,,,,0.165445,0.00673198,24.576
1,dmid_bps,442929,0.261049,OFI+TFI_count,0.359008,442929,0.12483,0.0012833,97.2727,0.0984149,0.0051398,19.1476
5,dmid_usd,118377,0.626439,OFI,0.459398,118377,1.07006,0.0132745,80.6102,,,
5,dmid_usd,118377,0.626439,TFI,0.0428798,118377,,,,2.13053,0.245639,8.67341
5,dmid_usd,118377,0.626439,OFI+TFI,0.462533,118377,1.04964,0.010244,102.465,0.591235,0.229366,2.5777
5,dmid_usd,118377,0.626439,TFI_count,0.201444,118377,,,,1.22268,0.066501,18.3859
5,dmid_usd,118377,0.626439,OFI+TFI_count,0.500491,118377,0.936011,0.012408,75.4361,0.598715,0.0598674,10.0007
5,dmid_bps,118377,0.626439,OFI,0.460621,118377,0.164339,0.00202341,81.2188,,,
5,dmid_bps,118377,0.626439,TFI,0.0429207,118377,,,,0.326926,0.0372031,8.78762
5,dmid_bps,118377,0.626439,OFI+TFI,0.463744,118377,0.161213,0.00157251,102.52,0.0905078,0.0346795,2.60984
5,dmid_bps,118377,0.626439,TFI_count,0.201468,118377,,,,0.187539,0.0101043,18.5604
5,dmid_bps,118377,0.626439,OFI+TFI_count,0.501573,118377,0.143815,0.00189637,75.837,0.0916696,0.00902816,10.1537
10,dmid_usd,60255,0.829093,OFI,0.522529,60255,1.11382,0.0152123,73.218,,,
10,dmid_usd,60255,0.829093,TFI,0.0453318,60255,,,,2.23144,0.254441,8.76996
10,dmid_usd,60255,0.829093,OFI+TFI,0.52508,60255,1.09572,0.0128575,85.22,0.543561,0.225554,2.40989
10,dmid_usd,60255,0.829093,TFI_count,0.211493,60255,,,,1.21978,0.0848292,14.3793
10,dmid_usd,60255,0.829093,OFI+TFI_count,0.556388,60255,0.98887,0.0158468,62.4019,0.533351,0.0662946,8.04516
10,dmid_bps,60255,0.829093,OFI,0.523746,60255,0.171082,0.00232602,73.5517,,,
10,dmid_bps,60255,0.829093,TFI,0.0454186,60255,,,,0.342679,0.038612,8.87494
10,dmid_bps,60255,0.829093,OFI+TFI,0.5263,60255,0.168305,0.0019744,85.2438,0.0834164,0.0341109,2.44544
10,dmid_bps,60255,0.829093,TFI_count,0.2116,60255,,,,0.187188,0.0129527,14.4517
10,dmid_bps,60255,0.829093,OFI+TFI_count,0.557516,60255,0.151939,0.00242651,62.6162,0.0817189,0.0100499,8.13132
30,dmid_usd,20159,0.988343,OFI,0.592415,20159,1.1183,0.0177862,62.8749,,,
30,dmid_usd,20159,0.988343,TFI,0.0583567,20159,,,,2.58983,0.251851,10.2832
30,dmid_usd,20159,0.988343,OFI+TFI,0.594804,20159,1.09978,0.0168094,65.4265,0.541592,0.214572,2.52406
30,dmid_usd,20159,0.988343,TFI_count,0.234229,20159,,,,1.26633,0.0801044,15.8085
30,dmid_usd,20159,0.988343,OFI+TFI_count,0.621992,20159,1.00041,0.0183777,54.4359,0.497565,0.0578033,8.6079
30,dmid_bps,20159,0.988343,OFI,0.593503,20159,0.171758,0.00273074,62.8978,,,
30,dmid_bps,20159,0.988343,TFI,0.0585466,20159,,,,0.398048,0.0384123,10.3625
30,dmid_bps,20159,0.988343,OFI+TFI,0.595914,20159,0.168902,0.00258271,65.3973,0.0834821,0.0325917,2.56145
30,dmid_bps,20159,0.988343,TFI_count,0.234453,20159,,,,0.194408,0.0122613,15.8553
30,dmid_bps,20159,0.988343,OFI+TFI_count,0.623054,20159,0.153675,0.00281795,54.5342,0.0763157,0.00878557,8.68648
60,dmid_usd,10079,0.999504,OFI,0.605831,10079,1.06716,0.0203843,52.3522,,,
60,dmid_usd,10079,0.999504,TFI,0.0709109,10079,,,,2.80378,0.254621,11.0116
60,dmid_usd,10079,0.999504,OFI+TFI,0.608242,10079,1.04741,0.0200024,52.364,0.538793,0.231804,2.32435
60,dmid_usd,10079,0.999504,TFI_count,0.232587,10079,,,,1.21699,0.0766361,15.8801
60,dmid_usd,10079,0.999504,OFI+TFI_count,0.635857,10079,0.958072,0.0206122,46.4809,0.481156,0.0548162,8.77762
60,dmid_bps,10079,0.999504,OFI,0.606769,10079,0.163851,0.00312794,52.3832,,,
60,dmid_bps,10079,0.999504,TFI,0.0711511,10079,,,,0.430884,0.0388942,11.0784
60,dmid_bps,10079,0.999504,OFI+TFI,0.609209,10079,0.160802,0.00307133,52.3559,0.0831549,0.0353947,2.34936
60,dmid_bps,10079,0.999504,TFI_count,0.232806,10079,,,,0.186798,0.0117323,15.9218
60,dmid_bps,10079,0.999504,OFI+TFI_count,0.636786,10079,0.147117,0.00316197,46.5271,0.0738077,0.0083531,8.83596
