clock,window_s,response,share_windows_with_a_trade,mean_quote_events_per_window,beta,std_error,t_stat,r2,n_windows,block_quote_events
real time,1,dmid_usd,0.261049,10.1379,0.932087,0.00765327,121.789,0.312088,442929,
real time,1,dmid_bps,0.261049,10.1379,0.143154,0.00117591,121.738,0.312863,442929,
real time,5,dmid_usd,0.626439,37.9328,1.07006,0.0132745,80.6102,0.459398,118377,
real time,5,dmid_bps,0.626439,37.9328,0.164339,0.00202341,81.2188,0.460621,118377,
real time,10,dmid_usd,0.829093,74.5218,1.11382,0.0152123,73.218,0.522529,60255,
real time,10,dmid_bps,0.829093,74.5218,0.171082,0.00232602,73.5517,0.523746,60255,
real time,30,dmid_usd,0.988343,222.74,1.1183,0.0177862,62.8749,0.592415,20159,
real time,30,dmid_bps,0.988343,222.74,0.171758,0.00273074,62.8978,0.593503,20159,
real time,60,dmid_usd,0.999504,445.498,1.06716,0.0203843,52.3522,0.605831,10079,
real time,60,dmid_bps,0.999504,445.498,0.163851,0.00312794,52.3832,0.606769,10079,
real time,300,dmid_usd,1,2228.11,0.802217,0.0371789,21.5772,0.52434,2015,
real time,300,dmid_bps,1,2228.11,0.123299,0.00574009,21.4803,0.524709,2015,
real time,600,dmid_usd,1,4457.52,0.642496,0.0489944,13.1136,0.457881,1007,
real time,600,dmid_bps,1,4457.52,0.0988146,0.00756864,13.0558,0.458274,1007,
quote-event time,,dmid_usd,,,0.499706,0.00412304,121.198,0.07995,449038,10
quote-event time,,dmid_usd,,,1.02483,0.0070555,145.253,0.375242,89806,50
quote-event time,,dmid_usd,,,1.17128,0.0110063,106.419,0.592458,22450,200
quote-event time,,dmid_usd,,,1.07989,0.0180945,59.6804,0.634919,4489,1000
