window_s,definition,beta,std_error,t_stat,r2,n_windows,r2_ofi_alone,r2_joint_with_ofi,incremental_r2_over_ofi,closest_to_zj_at_10s
1,signed_volume_btc,1.59238,0.105516,15.0914,0.0250418,442929,0.312088,0.314213,0.00212508,False
1,signed_notional_usd,2.44856e-05,1.62351e-06,15.0818,0.0250438,442929,0.312088,0.314221,0.00213281,False
1,signed_trade_count,1.07804,0.0439122,24.5499,0.144755,442929,0.312088,0.358248,0.0461597,True
1,signed_sqrt_volume,2.18522,0.1433,15.2493,0.0538314,442929,0.312088,0.321422,0.00933375,False
5,signed_volume_btc,2.13053,0.245639,8.67341,0.0428798,118377,0.459398,0.462533,0.00313495,False
5,signed_notional_usd,3.27757e-05,3.80753e-06,8.60814,0.0429873,118377,0.459398,0.462577,0.00317903,False
5,signed_trade_count,1.22268,0.066501,18.3859,0.201444,118377,0.459398,0.500491,0.0410935,True
5,signed_sqrt_volume,2.71012,0.245372,11.045,0.084297,118377,0.459398,0.469782,0.010384,False
10,signed_volume_btc,2.23144,0.254441,8.76996,0.0453318,60255,0.522529,0.52508,0.00255189,False
10,signed_notional_usd,3.4285e-05,3.94124e-06,8.69904,0.0453538,60255,0.522529,0.525113,0.00258441,False
10,signed_trade_count,1.21978,0.0848292,14.3793,0.211493,60255,0.522529,0.556388,0.0338595,True
10,signed_sqrt_volume,2.87348,0.249938,11.4967,0.0926115,60255,0.522529,0.531817,0.0092887,False
30,signed_volume_btc,2.58983,0.251851,10.2832,0.0583567,20159,0.592415,0.594804,0.00238948,False
30,signed_notional_usd,3.97689e-05,3.88853e-06,10.2272,0.058317,20159,0.592415,0.594824,0.00240937,False
30,signed_trade_count,1.26633,0.0801044,15.8085,0.234229,20159,0.592415,0.621992,0.0295769,True
30,signed_sqrt_volume,3.1818,0.236727,13.4408,0.111795,20159,0.592415,0.600713,0.00829792,False
60,signed_volume_btc,2.80378,0.254621,11.0116,0.0709109,10079,0.605831,0.608242,0.00241097,False
60,signed_notional_usd,4.30641e-05,3.93259e-06,10.9506,0.0708794,10079,0.605831,0.608257,0.00242559,False
60,signed_trade_count,1.21699,0.0766361,15.8801,0.232587,10079,0.605831,0.635857,0.0300259,True
60,signed_sqrt_volume,3.2354,0.240438,13.4563,0.121792,10079,0.605831,0.613783,0.00795197,False
300,signed_volume_btc,3.24507,0.409458,7.9253,0.118815,2015,0.52434,0.538061,0.0137217,False
300,signed_notional_usd,4.9808e-05,6.30733e-06,7.89684,0.11857,2015,0.52434,0.538012,0.0136729,False
300,signed_trade_count,1.07547,0.0898455,11.9702,0.243808,2015,0.52434,0.591655,0.0673152,True
300,signed_sqrt_volume,3.44413,0.314249,10.9599,0.169926,2015,0.52434,0.553864,0.0295247,False
600,signed_volume_btc,3.12159,0.622313,5.0161,0.125112,1007,0.457881,0.47809,0.0202092,False
600,signed_notional_usd,4.78272e-05,9.62689e-06,4.96808,0.124575,1007,0.457881,0.477941,0.0200594,False
600,signed_trade_count,0.933386,0.0975101,9.5722,0.218039,1007,0.457881,0.542716,0.0848349,True
600,signed_sqrt_volume,3.23357,0.43528,7.42871,0.174834,1007,0.457881,0.502191,0.0443096,False
