horizon_orders,response_bps,sem_bps,n
1,0.248228,0.00155171,161701
2,0.338184,0.00234383,161700
3,0.397509,0.0030119,161699
5,0.478065,0.00414894,161697
8,0.553286,0.00555425,161694
13,0.626993,0.00745589,161689
21,0.682866,0.00991048,161681
34,0.741601,0.0130273,161668
55,0.780407,0.0170033,161647
89,0.826962,0.0220153,161613
100,0.826577,0.0233744,161602
144,0.815856,0.0282138,161558
233,0.805484,0.0360361,161469
377,0.825288,0.0454636,161325
610,0.749318,0.0576091,161092
1000,0.639165,0.0740909,160702
