volume_bin,mean_normalised_volume,mean_qty_btc,response_usd,sem_usd,response_bps,n
1,7.92982e-06,1.65351e-05,0.0669343,0.0307626,0.0102769,1993
2,2.0877e-05,4.35324e-05,1.02719,0.0397578,0.157231,7745
3,5.42999e-05,0.000113225,0.377661,0.0166497,0.0578247,18774
4,0.000149488,0.00031171,0.945986,0.0190435,0.145057,25212
5,0.000366173,0.000763539,1.49098,0.0236177,0.229215,25617
6,0.000983121,0.00204999,2.73601,0.0303562,0.419645,27169
7,0.00278169,0.00580033,1.82073,0.0349129,0.278877,14762
8,0.00764388,0.0159389,1.89057,0.0362972,0.289903,13669
9,0.0209911,0.0437704,2.01881,0.0451469,0.309772,9898
10,0.0565078,0.117829,2.33649,0.0587098,0.358575,6719
11,0.172541,0.359781,2.16752,0.0702956,0.332415,4909
12,0.387491,0.807989,1.27876,0.0667583,0.195938,3616
