horizon_quote_events,imbalance_bin,mean_imbalance,mean_forward_return_bps,sem_bps,n
1,0,-0.999788,-0.037674,0.000267225,224519
1,1,-0.998831,-0.021301,0.0002248,224520
1,2,-0.99577,-0.0118157,0.000190142,224519
1,3,-0.985251,-0.00901419,0.000194578,224520
1,4,-0.958718,-0.0081336,0.000213035,224519
1,5,-0.903383,-0.00781356,0.000225453,224520
1,6,-0.787008,-0.00604201,0.000214106,224520
1,7,-0.589136,-0.00898321,0.000217329,224518
1,8,-0.34985,-0.0033904,0.000206345,224521
1,9,-0.113414,-0.00508293,0.000215961,226820
1,10,0.114004,0.00499316,0.000206051,222217
1,11,0.349846,0.00301625,0.000222768,224520
1,12,0.569888,0.00798241,0.000207147,224521
1,13,0.752653,0.00963317,0.000205539,224519
1,14,0.879145,0.00721677,0.000212194,224519
1,15,0.94602,0.00941309,0.000211348,224520
1,16,0.977498,0.00649961,0.000193437,224518
1,17,0.991914,0.010378,0.0001845,224520
1,18,0.99759,0.0173726,0.000211962,224520
1,19,0.999474,0.0429855,0.000294245,224520
2,0,-0.999788,-0.0736548,0.000389015,224519
2,1,-0.998831,-0.0417732,0.000321881,224520
2,2,-0.99577,-0.0236057,0.000263359,224519
2,3,-0.985251,-0.0164044,0.000258197,224520
2,4,-0.958718,-0.0143163,0.000279079,224519
2,5,-0.903383,-0.0141603,0.000294355,224520
2,6,-0.787008,-0.0127472,0.000278574,224520
2,7,-0.589136,-0.0150995,0.000283737,224518
2,8,-0.34985,-0.00561336,0.000272962,224521
2,9,-0.113414,-0.00715353,0.000273248,226820
2,10,0.114004,0.00775013,0.000266623,222217
2,11,0.349846,0.00683107,0.000283588,224520
2,12,0.569888,0.0134678,0.000272156,224520
2,13,0.752653,0.0155568,0.000268889,224519
2,14,0.879145,0.0140785,0.000278275,224519
2,15,0.94602,0.0167756,0.000280805,224520
2,16,0.977498,0.0129009,0.00025291,224518
2,17,0.991914,0.0195988,0.000252859,224520
2,18,0.99759,0.0350103,0.000304897,224520
2,19,0.999474,0.0829829,0.00042549,224520
5,0,-0.999788,-0.179003,0.000674815,224519
5,1,-0.998831,-0.102893,0.000550137,224520
5,2,-0.99577,-0.0593938,0.000438234,224519
5,3,-0.985251,-0.0402111,0.000393822,224520
5,4,-0.958718,-0.0319203,0.000388145,224519
5,5,-0.903383,-0.0275629,0.000390334,224518
5,6,-0.787008,-0.0234906,0.000380827,224519
5,7,-0.589136,-0.0232964,0.000371801,224518
5,8,-0.34985,-0.0101182,0.000347562,224521
5,9,-0.113414,-0.00802106,0.000347285,226820
5,10,0.114004,0.00998742,0.00033946,222217
5,11,0.349846,0.0113473,0.000363487,224520
5,12,0.569888,0.0223058,0.000363519,224520
5,13,0.752653,0.0269655,0.000364468,224519
5,14,0.879145,0.027599,0.000382815,224519
5,15,0.94602,0.0330563,0.000388291,224520
5,16,0.977498,0.0336068,0.00038079,224518
5,17,0.991914,0.0501625,0.000410819,224520
5,18,0.99759,0.0903084,0.000529952,224520
5,19,0.999474,0.201433,0.000737431,224520
10,0,-0.999788,-0.339111,0.00105304,224519
10,1,-0.998831,-0.204123,0.00085593,224520
10,2,-0.99577,-0.11994,0.000670046,224519
10,3,-0.985251,-0.0799796,0.000579012,224520
10,4,-0.958718,-0.0570978,0.000536781,224519
10,5,-0.903383,-0.0434459,0.000511265,224518
10,6,-0.787008,-0.034623,0.000497462,224514
10,7,-0.589136,-0.0299851,0.000470474,224518
10,8,-0.34985,-0.0129801,0.000430238,224521
10,9,-0.113414,-0.00922694,0.000427702,226820
10,10,0.114004,0.010758,0.000417069,222217
10,11,0.349846,0.0151684,0.000447602,224520
10,12,0.569888,0.028792,0.000457881,224520
10,13,0.752653,0.0384383,0.000483618,224519
10,14,0.879145,0.0436898,0.000506285,224519
10,15,0.94602,0.0558646,0.000527927,224520
10,16,0.977498,0.0690098,0.000554669,224518
10,17,0.991914,0.105521,0.000643649,224520
10,18,0.99759,0.185373,0.000840262,224520
10,19,0.999474,0.37947,0.0011444,224520
20,0,-0.999788,-0.579217,0.00153322,224519
20,1,-0.998831,-0.381024,0.00129631,224520
20,2,-0.99577,-0.24253,0.00106569,224515
20,3,-0.985251,-0.167182,0.000932727,224520
20,4,-0.958718,-0.117242,0.000842054,224519
20,5,-0.903383,-0.0820228,0.000754838,224518
20,6,-0.787008,-0.0611529,0.000742162,224511
20,7,-0.589136,-0.0471473,0.000692636,224515
20,8,-0.34985,-0.0191122,0.00060557,224521
20,9,-0.113414,-0.0113383,0.000586585,226820
20,10,0.114004,0.0136107,0.000581727,222217
20,11,0.349846,0.023329,0.000633237,224520
20,12,0.569888,0.0437415,0.000655679,224520
20,13,0.752653,0.0669481,0.000733165,224519
20,14,0.879145,0.0830563,0.000771782,224519
20,15,0.94602,0.111288,0.000826893,224520
20,16,0.977498,0.153186,0.000908267,224518
20,17,0.991914,0.22234,0.0010504,224520
20,18,0.99759,0.3635,0.00130642,224520
20,19,0.999474,0.630001,0.00162509,224520
50,0,-0.999788,-0.993207,0.0022179,224519
50,1,-0.998831,-0.748362,0.00207748,224520
50,2,-0.99577,-0.524794,0.00190933,224515
50,3,-0.985251,-0.374877,0.00179908,224519
50,4,-0.958718,-0.275167,0.00167005,224517
50,5,-0.903383,-0.194279,0.00154413,224518
50,6,-0.787008,-0.144508,0.00150563,224510
50,7,-0.589136,-0.0897734,0.00141061,224511
50,8,-0.34985,-0.0362532,0.00127751,224520
50,9,-0.113414,-0.0178667,0.00121849,226813
50,10,0.114004,0.026009,0.00124061,222217
50,11,0.349846,0.0470063,0.00130618,224520
50,12,0.569888,0.0974783,0.00140046,224520
50,13,0.752653,0.150703,0.00151113,224511
50,14,0.879145,0.203273,0.00159464,224519
50,15,0.94602,0.262895,0.00166863,224520
50,16,0.977498,0.360081,0.00176822,224514
50,17,0.991914,0.48474,0.00191523,224518
50,18,0.99759,0.71572,0.00211798,224520
50,19,0.999474,1.05879,0.00233853,224520
100,0,-0.999788,-1.3629,0.00314214,224519
100,1,-0.998831,-1.06793,0.00310255,224520
100,2,-0.99577,-0.758425,0.00299329,224513
100,3,-0.985251,-0.557696,0.00292551,224516
100,4,-0.958718,-0.425029,0.00279248,224509
100,5,-0.903383,-0.299152,0.00266046,224505
100,6,-0.787008,-0.217072,0.00263549,224508
100,7,-0.589136,-0.129371,0.00252197,224507
100,8,-0.34985,-0.0518881,0.00238452,224517
100,9,-0.113414,-0.0216429,0.00231475,226809
100,10,0.114004,0.0450256,0.00232638,222215
100,11,0.349846,0.0780556,0.00238573,224517
100,12,0.569888,0.152405,0.00251866,224520
100,13,0.752653,0.235163,0.00266013,224509
100,14,0.879145,0.31953,0.00273777,224518
100,15,0.94602,0.408156,0.00278021,224519
100,16,0.977498,0.542789,0.00284494,224514
100,17,0.991914,0.706579,0.00296741,224518
100,18,0.99759,1.00518,0.00312185,224518
100,19,0.999474,1.41358,0.00325866,224520
200,0,-0.999788,-1.65019,0.00472514,224519
200,1,-0.998831,-1.31047,0.00474843,224520
200,2,-0.99577,-0.944007,0.00469882,224513
200,3,-0.985251,-0.701507,0.00466555,224507
200,4,-0.958718,-0.559134,0.00447618,224491
200,5,-0.903383,-0.394385,0.00437097,224493
200,6,-0.787008,-0.287834,0.00438028,224507
200,7,-0.589136,-0.160959,0.00429621,224501
200,8,-0.34985,-0.0559874,0.00415862,224511
200,9,-0.113414,-0.0296258,0.00410424,226796
200,10,0.114004,0.0689681,0.00413311,222201
200,11,0.349846,0.110659,0.00420966,224511
200,12,0.569888,0.19635,0.00426936,224517
200,13,0.752653,0.299996,0.0044315,224508
200,14,0.879145,0.416318,0.00449248,224517
200,15,0.94602,0.531948,0.00449212,224519
200,16,0.977498,0.716408,0.00447934,224504
200,17,0.991914,0.904505,0.00463025,224518
200,18,0.99759,1.22117,0.00477591,224518
200,19,0.999474,1.6589,0.00491128,224520
500,0,-0.999788,-1.84735,0.00819108,224498
500,1,-0.998831,-1.4924,0.00821633,224479
500,2,-0.99577,-1.11333,0.00815833,224469
500,3,-0.985251,-0.794636,0.00815501,224503
500,4,-0.958718,-0.639411,0.00785131,224470
500,5,-0.903383,-0.447238,0.00788061,224477
500,6,-0.787008,-0.294867,0.00791174,224493
500,7,-0.589136,-0.177181,0.00783997,224492
500,8,-0.34985,-0.120146,0.00766042,224507
500,9,-0.113414,-0.0620732,0.00767508,226786
500,10,0.114004,0.0867443,0.0076926,222183
500,11,0.349846,0.150658,0.00770125,224507
500,12,0.569888,0.257541,0.00769849,224488
500,13,0.752653,0.33949,0.00799674,224507
500,14,0.879145,0.467379,0.00798508,224511
500,15,0.94602,0.660302,0.00786924,224503
500,16,0.977498,0.875433,0.00785925,224472
500,17,0.991914,1.06452,0.0080066,224513
500,18,0.99759,1.37967,0.00836572,224513
500,19,0.999474,1.78683,0.00832395,224520
1000,0,-0.999788,-1.88265,0.011976,224498
1000,1,-0.998831,-1.52084,0.0119549,224475
1000,2,-0.99577,-1.10381,0.0118061,224363
1000,3,-0.985251,-0.789137,0.0118433,224492
1000,4,-0.958718,-0.699571,0.0114884,224468
1000,5,-0.903383,-0.470948,0.0115842,224427
1000,6,-0.787008,-0.311857,0.011539,224442
1000,7,-0.589136,-0.124524,0.0116162,224468
1000,8,-0.34985,-0.0825407,0.0114559,224491
1000,9,-0.113414,-0.0457773,0.0113805,226750
1000,10,0.114004,0.0585489,0.0115023,222130
1000,11,0.349846,0.18447,0.0114543,224482
1000,12,0.569888,0.268709,0.0115247,224454
1000,13,0.752653,0.385227,0.0118279,224492
1000,14,0.879145,0.507474,0.0118511,224484
1000,15,0.94602,0.68779,0.0116876,224486
1000,16,0.977498,0.935067,0.0116222,224456
1000,17,0.991914,1.08413,0.0119805,224511
1000,18,0.99759,1.34717,0.0123878,224513
1000,19,0.999474,1.73501,0.0125313,224509
