lag_steps,sigma,n,sem_iid,tau_s,hurst_all_lags,hurst_diffusive
2,1.53825e-05,6047855,4.42294e-09,0.2,0.561924,0.562935
3,1.91218e-05,6047848,5.4981e-09,0.3,0.561924,0.562935
4,2.23857e-05,6047841,6.43658e-09,0.4,0.561924,0.562935
5,2.52661e-05,6047834,7.26481e-09,0.5,0.561924,0.562935
7,3.04625e-05,6047820,8.75894e-09,0.7,0.561924,0.562935
8,3.28147e-05,6047813,9.43528e-09,0.8,0.561924,0.562935
10,3.71663e-05,6047799,1.06865e-08,1,0.561924,0.562935
12,4.11845e-05,6047785,1.18419e-08,1.2,0.561924,0.562935
14,4.49135e-05,6047771,1.29141e-08,1.4,0.561924,0.562935
17,5.00892e-05,6047750,1.44023e-08,1.7,0.561924,0.562935
21,5.64103e-05,6047722,1.62199e-08,2.1,0.561924,0.562935
26,6.36139e-05,6047687,1.82912e-08,2.6,0.561924,0.562935
31,7.02725e-05,6047652,2.02059e-08,3.1,0.561924,0.562935
38,7.88763e-05,6047603,2.26798e-08,3.8,0.561924,0.562935
47,8.90269e-05,6047540,2.55986e-08,4.7,0.561924,0.562935
57,9.93864e-05,6047470,2.85776e-08,5.7,0.561924,0.562935
69,0.000110857,6047386,3.1876e-08,6.9,0.561924,0.562935
84,0.000124051,6047281,3.567e-08,8.4,0.561924,0.562935
102,0.000138555,6047155,3.98411e-08,10.2,0.561924,0.562935
124,0.000154792,6047001,4.45106e-08,12.4,0.561924,0.562935
151,0.000172993,6046812,4.9745e-08,15.1,0.561924,0.562935
184,0.000193252,6046581,5.55717e-08,18.4,0.561924,0.562935
224,0.000215648,6046301,6.20134e-08,22.4,0.561924,0.562935
273,0.000240532,6045958,6.91712e-08,27.3,0.561924,0.562935
333,0.000268401,6045538,7.71882e-08,33.3,0.561924,0.562935
405,0.000298808,6045034,8.59366e-08,40.5,0.561924,0.562935
493,0.000332606,6044418,9.56616e-08,49.3,0.561924,0.562935
600,0.000370325,6043669,1.06517e-07,60,0.561924,0.562935
