period_s,role,n_days,mean_z_per_day,min_day_z,max_day_z,null_mean_z,null_sd_z,score_vs_null,p_jitter,spectral_continuum,ratio_to_continuum,significant
0.1,candidate,7,11.752,0.73256,31.5653,0.958401,0.333822,32.3333,0.00990099,1.81236,6.48434,True
0.2,candidate,7,42.4837,0.681633,117.082,0.999308,0.399983,103.716,0.00990099,1.70529,24.9129,True
0.25,candidate,7,65.7196,11.2989,171.045,1.01195,0.368905,175.405,0.00990099,2.08191,31.567,True
0.5,candidate,7,45.7887,17.719,97.0413,1.07346,0.426716,104.789,0.00990099,2.33167,19.6377,True
1,candidate,7,210.426,46.1844,442.354,0.970928,0.338821,618.189,0.00990099,2.53429,83.0318,True
1.25,candidate,7,176.119,8.13672,363.387,1.03795,0.478035,366.251,0.00990099,2.55237,69.0022,True
2,candidate,7,81.2533,2.1282,229.582,1.00116,0.425725,188.507,0.00990099,2.77459,29.2848,True
2.5,candidate,7,181.101,19.866,393.535,1.01878,0.395602,455.211,0.00990099,2.92493,61.9163,True
5,candidate,7,138.578,7.11319,439.05,1.04249,0.380622,361.345,0.00990099,3.44515,40.2242,True
10,candidate,7,89.9767,1.6045,258.077,0.929223,0.323108,275.596,0.00990099,4.12891,21.7919,True
15,candidate,7,4.35245,1.43194,14.9191,1.06673,0.373927,8.78705,0.00990099,4.0833,1.06591,True
20,candidate,7,13.369,0.829603,33.2374,1.01947,0.366361,33.7085,0.00990099,4.97884,2.68516,True
30,candidate,7,13.8706,3.40104,24.5698,1.17591,0.463792,27.3714,0.00990099,4.9721,2.78968,True
60,candidate,7,33.0722,9.27244,72.1235,0.993601,0.43396,73.9207,0.00990099,5.95415,5.55448,True
120,candidate,7,9.18785,0.113636,23.5911,0.988136,0.393835,20.8202,0.00990099,,,True
300,candidate,7,22.8458,2.82546,59.6856,1.00056,0.368569,59.2703,0.00990099,,,True
600,candidate,7,24.8822,1.54458,75.4123,0.996677,0.391155,61.064,0.00990099,,,True
0.7,control,7,2.20688,0.168275,6.65202,1.00196,0.377125,3.19501,0.00990099,2.18319,1.01085,False
1.1,control,7,2.24146,0.395516,6.60898,0.980697,0.341748,3.68916,0.00990099,2.49048,0.900014,True
3.7,control,7,6.3514,0.379589,21.5788,0.997968,0.334507,16.0039,0.00990099,2.78844,2.27776,True
7,control,7,4.63016,0.0711801,17.0303,0.967764,0.40969,8.93941,0.00990099,3.56927,1.29723,True
13,control,7,2.33017,0.0128319,4.93986,0.994619,0.416465,3.20687,0.019802,3.87274,0.601684,False
41,control,7,3.60578,0.717777,5.18626,0.998347,0.349001,7.47114,0.00990099,5.47183,0.658972,True
