date,sign,clip_btc,n_orders,span_s,mean_gap_s,median_gap_s,cv_gap,null_cv_median,p_more_regular_than_uniform
2026-07-18,1,0.00156337,33,303.638,9.4887,8.4967,0.370558,0.939922,0
2026-07-18,-1,0.00156337,30,304.266,10.4919,8.22409,0.594306,0.946939,0
2026-07-18,-1,0.00016,26,72128,2885.12,2721.4,0.73937,0.931178,0.085
2026-07-21,1,0.05,22,67439.1,3211.38,2748.6,0.905213,0.922527,0.455
2026-07-22,1,0.000102,32,79249.4,2556.43,1648.29,0.919859,0.927201,0.4675
2026-07-22,1,0.1,20,69464.4,3656.02,2803.83,0.947326,0.911946,0.6175
2026-07-21,1,0.25,23,83437.2,3792.6,2145.77,0.981363,0.926527,0.6475
2026-07-20,1,0.000102,32,62583.6,2018.83,1207.09,1.01188,0.927201,0.725
2026-07-23,1,0.01,25,76813,3200.54,1321.24,1.0163,0.929482,0.69
2026-07-22,-1,0.000102,23,73942.7,3361.03,2138.18,1.06502,0.926527,0.795
2026-07-23,-1,0.01,22,66146.9,3149.85,2454.34,1.10288,0.922527,0.8475
2026-07-22,-1,0.0201,23,55819.7,2537.26,1179.95,1.11567,0.926527,0.85
2026-07-21,1,0.000102,20,82832.2,4359.59,2491.02,1.11823,0.911946,0.885
2026-07-22,1,0.01,28,83423.3,3089.75,2130.14,1.13857,0.932293,0.875
2026-07-18,1,0.00016,20,64938.8,3417.83,2672.54,1.14835,0.911946,0.9125
2026-07-22,1,5e-05,27,85199.9,3276.92,1268.78,1.14931,0.934853,0.88
2026-07-23,-1,5.1e-05,94,84220,905.591,580.535,1.15767,0.98318,0.9475
2026-07-21,-1,0.005,20,81633.1,4296.48,3308.59,1.17185,0.911946,0.925
2026-07-21,-1,0.01,23,69062.9,3139.22,2161.92,1.18212,0.926527,0.9025
2026-07-20,-1,0.0002,21,73957.5,3697.87,1797.16,1.19014,0.925756,0.8975
2026-07-24,1,0.0001,25,48216.6,2009.02,1286.42,1.19888,0.929482,0.9175
2026-07-23,-1,0.0666667,23,0.010015,0.000455228,0.000206828,1.20155,0.926527,0.9175
2026-07-21,-1,0.002,35,85155.5,2504.57,1396.56,1.21229,0.944652,0.91
2026-07-21,1,5e-05,46,84761.6,1883.59,1038.06,1.21993,0.948066,0.9475
2026-07-19,1,0.0001,21,83537.4,4176.87,2734.42,1.24377,0.925756,0.935
2026-07-19,1,5.1e-05,41,83426.7,2085.67,554.503,1.25275,0.939842,0.9675
2026-07-20,-1,0.1,37,79863.1,2218.42,828.82,1.25986,0.949849,0.9725
2026-07-21,-1,0.0001,30,73085.1,2520.18,602.887,1.26348,0.946939,0.9625
2026-07-21,-1,5.1e-05,106,83458.5,794.843,449.256,1.26458,0.977486,0.9975
2026-07-24,1,5.1e-05,93,75613.3,821.884,269.721,1.27668,0.97092,0.995
2026-07-21,-1,0.0003,29,65495.9,2339.14,1705.2,1.28369,0.926831,0.955
2026-07-24,-1,5e-05,40,84461.4,2165.68,864.402,1.30178,0.945491,0.9825
2026-07-19,-1,5.1e-05,48,78044.3,1660.52,708.95,1.30566,0.96195,0.9875
2026-07-19,1,0.001,28,71687.9,2655.11,1340.78,1.30649,0.932293,0.97
2026-07-20,-1,0.000102,35,82814,2435.71,965.655,1.35032,0.944652,0.98
2026-07-22,-1,0.000375,60,4103.96,69.5587,23.5172,1.3646,0.972341,0.9975
2026-07-18,1,5.1e-05,21,67430,3371.5,1773.95,1.39616,0.925756,0.9725
2026-07-22,-1,0.0001,29,54812.6,1957.59,294.363,1.39915,0.926831,0.985
2026-07-20,-1,0.05,24,66897.9,2908.6,1193.96,1.40313,0.907859,0.9875
2026-07-20,-1,0.0001,31,64004.3,2133.48,746.566,1.42374,0.928719,0.9925
2026-07-20,1,0.01,29,73475.3,2624.12,859.679,1.44231,0.926831,0.9925
2026-07-24,-1,0.0001,35,83603.1,2458.92,1132.07,1.45707,0.944652,0.9925
2026-07-22,-1,5.1e-05,128,83845.2,660.198,242.636,1.45804,0.980645,1
2026-07-22,-1,0.002,101,79309.2,793.092,306.39,1.48021,0.976346,1
2026-07-23,1,0.000102,30,83511.3,2879.7,1467.15,1.48411,0.946939,0.9975
