bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days,decile_of_second,ms_from,ms_to
0,0.1,17317,1.05626,0.04135,7,0,0,100
0.1,0.2,17736,1.10099,0.0160206,7,1,100,200
0.2,0.3,16926,1.03498,0.04195,7,2,200,300
0.3,0.4,20968,1.35915,0.14505,7,3,300,400
0.4,0.5,16538,1.02516,0.0555832,7,4,400,500
0.5,0.6,14637,0.906182,0.0159764,7,5,500,600
0.6,0.7,14647,0.895231,0.0255736,7,6,600,700
0.7,0.8,14360,0.873729,0.037384,7,7,700,800
0.8,0.9,13510,0.828258,0.0169326,7,8,800,900
0.9,1,15063,0.92007,0.0375428,7,9,900,1000
