bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0,60,5356,2.01817,0.104786,7
60,120,3523,1.31089,0.0622073,7
120,180,2730,1.01842,0.0478362,7
180,240,2817,1.04212,0.0279111,7
240,300,2649,0.980731,0.0298505,7
300,360,2977,1.08187,0.0742287,7
360,420,2714,1.00297,0.0244904,7
420,480,2984,1.10828,0.0517209,7
480,540,2529,0.94606,0.0576375,7
540,600,2569,0.947448,0.0450843,7
600,660,2723,0.998763,0.0494207,7
660,720,2719,1.00869,0.0545268,7
720,780,2683,0.974195,0.0637713,7
780,840,2517,0.923897,0.0526292,7
840,900,2580,0.971495,0.040418,7
900,960,2677,1.01829,0.057333,7
960,1020,2646,0.990731,0.0458364,7
1020,1080,2669,0.995858,0.0417974,7
1080,1140,2545,0.936692,0.0429835,7
1140,1200,2621,0.984233,0.0330435,7
1200,1260,2712,1.02701,0.0828643,7
1260,1320,2584,0.955992,0.0374745,7
1320,1380,2748,1.02817,0.0302692,7
1380,1440,2922,1.10143,0.0703971,7
1440,1500,2721,1.01985,0.0719864,7
1500,1560,2704,0.996146,0.0412471,7
1560,1620,2606,0.992973,0.0595845,7
1620,1680,2631,0.991763,0.071218,7
1680,1740,2251,0.851282,0.0385459,7
1740,1800,2436,0.906923,0.0549799,7
1800,1860,3074,1.13121,0.0414804,7
1860,1920,2839,1.0239,0.0654498,7
1920,1980,2507,0.934964,0.0230112,7
1980,2040,2756,1.00713,0.050903,7
2040,2100,2507,0.932402,0.0390944,7
2100,2160,2497,0.920799,0.0286579,7
2160,2220,2699,1.01787,0.0683295,7
2220,2280,2679,0.994413,0.039313,7
2280,2340,2546,0.948658,0.0321651,7
2340,2400,2255,0.844263,0.0373443,7
2400,2460,2655,0.984164,0.0495841,7
2460,2520,2646,0.96429,0.0425219,7
2520,2580,2502,0.923866,0.026918,7
2580,2640,2739,0.9863,0.0728877,7
2640,2700,2282,0.843472,0.0237822,7
2700,2760,2770,1.01729,0.0633055,7
2760,2820,2743,0.996639,0.0866905,7
2820,2880,2835,1.03985,0.0651364,7
2880,2940,2751,1.04042,0.0788539,7
2940,3000,2676,0.986886,0.0443221,7
3000,3060,2596,0.957888,0.0550312,7
3060,3120,2713,0.995884,0.0576181,7
3120,3180,2837,1.04981,0.0423361,7
3180,3240,2551,0.938698,0.0383863,7
3240,3300,2768,1.01126,0.0557088,7
3300,3360,2437,0.900994,0.0339736,7
3360,3420,2412,0.909645,0.0442767,7
3420,3480,2392,0.88273,0.0171365,7
3480,3540,2214,0.825083,0.0457505,7
3540,3600,2281,0.857856,0.0315429,7
