bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0,1,4213,1.65254,0.193008,7
1,2,2998,1.1061,0.0514258,7
2,3,2997,1.08901,0.059941,7
3,4,2632,0.961695,0.0625624,7
4,5,3119,1.12753,0.100408,7
5,6,2783,1.0367,0.0418634,7
6,7,2894,1.06971,0.0508926,7
7,8,2595,0.957869,0.0343367,7
8,9,2999,1.09501,0.0898519,7
9,10,2723,0.990904,0.0579577,7
10,11,3491,1.42617,0.299827,7
11,12,3308,1.2036,0.173323,7
12,13,2645,0.962273,0.0451861,7
13,14,2443,0.893932,0.0387223,7
14,15,2632,0.9613,0.0649464,7
15,16,2878,1.06413,0.0703225,7
16,17,3010,1.08046,0.112543,7
17,18,2430,0.879146,0.0511084,7
18,19,2453,0.901321,0.0373885,7
19,20,2443,0.893544,0.036221,7
20,21,3442,1.36533,0.187693,7
21,22,2733,0.998126,0.0612608,7
22,23,2657,0.96379,0.0717928,7
23,24,2757,1.00351,0.0430724,7
24,25,2802,1.02952,0.0560516,7
25,26,2473,0.915929,0.0247183,7
26,27,2828,1.0391,0.0469977,7
27,28,2587,0.979144,0.0733028,7
28,29,2745,0.994434,0.0602623,7
29,30,2446,0.898241,0.0472974,7
30,31,3358,1.36156,0.256334,7
31,32,2919,1.05946,0.148787,7
32,33,2522,0.923811,0.0438955,7
33,34,2590,0.951517,0.0442046,7
34,35,2532,0.93611,0.0397073,7
35,36,2729,1.01074,0.0582135,7
36,37,2931,1.06383,0.0969077,7
37,38,2408,0.890139,0.0307841,7
38,39,2304,0.854657,0.0323038,7
39,40,2298,0.848723,0.0317151,7
40,41,3193,1.26746,0.17733,7
41,42,2487,0.918637,0.0871395,7
42,43,2452,0.884016,0.0587197,7
43,44,2357,0.859165,0.0581335,7
44,45,2451,0.897895,0.0699632,7
45,46,2200,0.810805,0.0182413,7
46,47,2192,0.81024,0.0174969,7
47,48,2277,0.841392,0.0412332,7
48,49,2603,0.941703,0.0678194,7
49,50,2514,0.913973,0.056568,7
50,51,3042,1.24168,0.242615,7
51,52,2830,1.02516,0.147147,7
52,53,2294,0.851901,0.0309148,7
53,54,2473,0.908677,0.0422514,7
54,55,2438,0.89388,0.0748219,7
55,56,2524,0.943325,0.0676548,7
56,57,2665,0.966995,0.098789,7
57,58,2484,0.91736,0.0347805,7
58,59,2264,0.836346,0.0202663,7
59,60,2215,0.828776,0.0245457,7
