size_btc,direction,mean_cost_bps,std_cost_bps,p5_cost_bps,p25_cost_bps,p50_cost_bps,p75_cost_bps,p95_cost_bps,feasible_share
0.05,sell into bids,0.193205,0.403422,0.00753134,0.00773077,0.00798751,0.19249,1.01258,1
0.05,buy from asks,0.200591,0.408679,0.00752987,0.00772325,0.00797196,0.205965,1.07252,1
0.1,sell into bids,0.274864,0.489743,0.00753843,0.00776722,0.00806301,0.376901,1.29278,1
0.1,buy from asks,0.264358,0.475291,0.00753639,0.00775675,0.00804128,0.348826,1.28027,1
0.25,sell into bids,0.419586,0.619272,0.00755796,0.00786841,0.089653,0.646156,1.69964,1
0.25,buy from asks,0.377361,0.582441,0.007552,0.0078374,0.043716,0.569745,1.61536,1
0.5,sell into bids,0.539951,0.718878,0.007577,0.00796798,0.237378,0.834997,2.00977,1
0.5,buy from asks,0.468185,0.665418,0.00756493,0.00790474,0.129867,0.723871,1.86536,1
1,sell into bids,0.669194,0.814181,0.00762679,0.0206482,0.39059,1.02206,2.32754,1
1,buy from asks,0.573982,0.748537,0.00760736,0.00987193,0.262693,0.885588,2.12322,1
2,sell into bids,0.872172,0.918359,0.00777072,0.120913,0.628925,1.29405,2.70015,1
2,buy from asks,0.755314,0.851772,0.00772548,0.0784805,0.484023,1.14584,2.46918,1
5,sell into bids,1.40355,1.08265,0.0334683,0.599797,1.22056,1.94354,3.47345,1
5,buy from asks,1.26677,1.02221,0.0295511,0.49723,1.05647,1.79416,3.22791,1
10,sell into bids,2.11512,1.21233,0.403037,1.283,1.98192,2.73601,4.32663,0.999995
10,buy from asks,1.97391,1.15819,0.342943,1.16705,1.82607,2.60423,4.04937,0.999997
25,sell into bids,3.49055,1.37983,1.54715,2.63836,3.35928,4.13798,5.91609,0.999892
25,buy from asks,3.32918,1.34607,1.41986,2.4986,3.20241,3.98847,5.59829,0.999639
50,sell into bids,4.9664,1.40973,2.93326,4.13596,4.86362,5.62902,7.33255,0.983627
50,buy from asks,4.85348,1.42405,2.83352,4.03454,4.74966,5.52277,7.05853,0.982819
