bin,mean_ofi_btc,mean_dmid_bps,sem_bps,n
0,-9.02986,-1.22903,0.013689,4959
1,-4.82123,-0.939866,0.0125437,4959
2,-3.4,-0.771599,0.011182,4960
3,-2.53447,-0.640088,0.010258,4959
4,-1.91472,-0.477446,0.00966545,4959
5,-1.45352,-0.371235,0.008882,4960
6,-1.08426,-0.262212,0.00756847,4959
7,-0.818861,-0.176854,0.00703894,4959
8,-0.573861,-0.128533,0.00730355,4960
9,-0.343859,-0.0860284,0.00610157,4959
10,-0.187614,-0.0425388,0.00482666,4959
11,-0.0915356,-0.0191326,0.00393131,4960
12,-0.0278134,0.00930552,0.00391869,4959
13,0.0211336,0.0111255,0.00318155,4960
14,0.0847419,0.0358846,0.00431335,4959
15,0.180285,0.0651624,0.00513223,4959
16,0.333713,0.107043,0.00603823,4960
17,0.563123,0.162173,0.00786106,4959
18,0.82424,0.190288,0.00718599,4959
19,1.13527,0.31097,0.00841441,4960
20,1.58867,0.449228,0.0097854,4959
21,2.20291,0.643684,0.0113552,4959
22,3.11546,0.840169,0.012539,4960
23,4.60722,0.971247,0.0132271,4959
24,8.63634,1.32043,0.0150564,4960
