window_s,response,windows,share_windows_with_a_trade,model,r2,n,beta_ofi,se_ofi,t_ofi,beta_tfi,se_tfi,t_tfi
1,dmid_usd,506270,0.272912,OFI,0.359472,506270,1.00333,0.0212793,47.1505,,,
1,dmid_usd,506270,0.272912,TFI,0.0123896,506270,,,,0.752671,0.302356,2.48935
1,dmid_usd,506270,0.272912,OFI+TFI,0.36094,506270,1.01972,0.0106414,95.8257,-0.26744,0.313513,-0.853043
1,dmid_usd,506270,0.272912,TFI_count,0.152276,506270,,,,1.06647,0.0939521,11.3513
1,dmid_usd,506270,0.272912,OFI+TFI_count,0.398875,506270,0.883462,0.0232607,37.9809,0.576743,0.0654879,8.80686
1,dmid_bps,506270,0.272912,OFI,0.359219,506270,0.156793,0.00332842,47.1072,,,
1,dmid_bps,506270,0.272912,TFI,0.0123852,506270,,,,0.117642,0.0473308,2.48553
1,dmid_bps,506270,0.272912,OFI+TFI,0.360685,506270,0.159352,0.00166377,95.7777,-0.0417716,0.0490728,-0.851219
1,dmid_bps,506270,0.272912,TFI_count,0.152194,506270,,,,0.166674,0.014682,11.3523
1,dmid_bps,506270,0.272912,OFI+TFI_count,0.398608,506270,0.138057,0.00363817,37.9469,0.0901445,0.0102342,8.80816
5,dmid_usd,133844,0.64416,OFI,0.513676,133844,1.14316,0.024826,46.0468,,,
5,dmid_usd,133844,0.64416,TFI,0.0300894,133844,,,,1.22245,0.417512,2.92794
5,dmid_usd,133844,0.64416,OFI+TFI,0.514475,133844,1.1563,0.0124594,92.8053,-0.207413,0.396329,-0.523336
5,dmid_usd,133844,0.64416,TFI_count,0.215291,133844,,,,1.22293,0.101263,12.0768
5,dmid_usd,133844,0.64416,OFI+TFI_count,0.545651,133844,1.01074,0.0253606,39.855,0.519613,0.0763026,6.8099
5,dmid_bps,133844,0.64416,OFI,0.513266,133844,0.178617,0.00387959,46.0402,,,
5,dmid_bps,133844,0.64416,TFI,0.0300264,133844,,,,0.190883,0.0652366,2.926
5,dmid_bps,133844,0.64416,OFI+TFI,0.51407,133844,0.180679,0.00194682,92.807,-0.0325423,0.0619271,-0.525493
5,dmid_bps,133844,0.64416,TFI_count,0.215152,133844,,,,0.191096,0.0158201,12.0794
5,dmid_bps,133844,0.64416,OFI+TFI_count,0.545229,133844,0.157923,0.00396891,39.79,0.0812066,0.0119231,6.81087
10,dmid_usd,68720,0.837267,OFI,0.569828,68720,1.16363,0.0235139,49.4868,,,
10,dmid_usd,68720,0.837267,TFI,0.0356869,68720,,,,1.38081,0.471059,2.93129
10,dmid_usd,68720,0.837267,OFI+TFI,0.570298,68720,1.17329,0.0143914,81.527,-0.164854,0.420109,-0.392408
10,dmid_usd,68720,0.837267,TFI_count,0.233902,68720,,,,1.26316,0.104626,12.073
10,dmid_usd,68720,0.837267,OFI+TFI_count,0.599235,68720,1.03546,0.0249049,41.5766,0.497748,0.0714907,6.96242
10,dmid_bps,68720,0.837267,OFI,0.569283,68720,0.181823,0.00367672,49.4525,,,
10,dmid_bps,68720,0.837267,TFI,0.0356515,68720,,,,0.215755,0.0736376,2.92996
10,dmid_bps,68720,0.837267,OFI+TFI,0.569752,68720,0.183333,0.00225336,81.3598,-0.0257637,0.0656639,-0.392358
10,dmid_bps,68720,0.837267,TFI_count,0.233711,68720,,,,0.197389,0.0163436,12.0775
10,dmid_bps,68720,0.837267,OFI+TFI_count,0.598675,68720,0.161792,0.00390026,41.4824,0.0777932,0.0111671,6.96627
30,dmid_usd,23030,0.987277,OFI,0.616459,23030,1.11206,0.021434,51.8829,,,
30,dmid_usd,23030,0.987277,TFI,0.0468689,23030,,,,1.60293,0.428738,3.7387
30,dmid_usd,23030,0.987277,OFI+TFI,0.617308,23030,1.12556,0.0159646,70.5035,-0.226941,0.321791,-0.705246
30,dmid_usd,23030,0.987277,TFI_count,0.235364,23030,,,,1.18069,0.143693,8.21676
30,dmid_usd,23030,0.987277,OFI+TFI_count,0.641134,23030,1.00364,0.025291,39.6838,0.425259,0.0705721,6.02588
30,dmid_bps,23030,0.987277,OFI,0.615499,23030,0.173756,0.00336207,51.6813,,,
30,dmid_bps,23030,0.987277,TFI,0.046839,23030,,,,0.250568,0.0671313,3.7325
30,dmid_bps,23030,0.987277,OFI+TFI,0.61634,23030,0.175858,0.00251177,70.0136,-0.0353314,0.0504153,-0.700808
30,dmid_bps,23030,0.987277,TFI_count,0.235259,23030,,,,0.184582,0.0224613,8.21779
30,dmid_bps,23030,0.987277,OFI+TFI_count,0.640229,23030,0.156784,0.00397389,39.4536,0.066573,0.0110531,6.02303
60,dmid_usd,11516,0.999132,OFI,0.617454,11516,1.0388,0.0224905,46.1886,,,
60,dmid_usd,11516,0.999132,TFI,0.057888,11516,,,,1.77591,0.50839,3.4932
60,dmid_usd,11516,0.999132,OFI+TFI,0.617794,11516,1.04728,0.019467,53.7978,-0.144111,0.344112,-0.418792
60,dmid_usd,11516,0.999132,TFI_count,0.232018,11516,,,,1.12658,0.142928,7.8821
60,dmid_usd,11516,0.999132,OFI+TFI_count,0.643829,11516,0.937707,0.0290963,32.2277,0.419843,0.0792407,5.29832
60,dmid_bps,11516,0.999132,OFI,0.616198,11516,0.162206,0.00352874,45.967,,,
60,dmid_bps,11516,0.999132,TFI,0.0578768,11516,,,,0.277557,0.0795104,3.49083
60,dmid_bps,11516,0.999132,OFI+TFI,0.616529,11516,0.163512,0.00306234,53.3944,-0.0222162,0.053877,-0.41235
60,dmid_bps,11516,0.999132,TFI_count,0.232008,11516,,,,0.176086,0.0223302,7.88557
60,dmid_bps,11516,0.999132,OFI+TFI_count,0.642692,11516,0.146368,0.00457099,32.021,0.0657711,0.0124095,5.30008
