clock,window_s,response,share_windows_with_a_trade,mean_quote_events_per_window,beta,std_error,t_stat,r2,n_windows,block_quote_events
real time,1,dmid_usd,0.272912,12.2449,1.00333,0.0212793,47.1505,0.359472,506270,
real time,1,dmid_bps,0.272912,12.2449,0.156793,0.00332842,47.1072,0.359219,506270,
real time,5,dmid_usd,0.64416,46.3169,1.14316,0.024826,46.0468,0.513676,133844,
real time,5,dmid_bps,0.64416,46.3169,0.178617,0.00387959,46.0402,0.513266,133844,
real time,10,dmid_usd,0.837267,90.2097,1.16363,0.0235139,49.4868,0.569828,68720,
real time,10,dmid_bps,0.837267,90.2097,0.181823,0.00367672,49.4525,0.569283,68720,
real time,30,dmid_usd,0.987277,269.179,1.11206,0.021434,51.8829,0.616459,23030,
real time,30,dmid_bps,0.987277,269.179,0.173756,0.00336207,51.6813,0.615499,23030,
real time,60,dmid_usd,0.999132,538.31,1.0388,0.0224905,46.1886,0.617454,11516,
real time,60,dmid_bps,0.999132,538.31,0.162206,0.00352874,45.967,0.616198,11516,
real time,300,dmid_usd,1,2691.37,0.750179,0.0375692,19.9679,0.545048,2303,
real time,300,dmid_bps,1,2691.37,0.117125,0.00588609,19.8986,0.544009,2303,
real time,600,dmid_usd,1,5383.72,0.623024,0.0506689,12.296,0.515813,1151,
real time,600,dmid_bps,1,5383.72,0.0971597,0.00791318,12.2782,0.514496,1151,
quote-event time,,dmid_usd,,,0.554155,0.00884158,62.6761,0.0952601,619923,10
quote-event time,,dmid_usd,,,1.06321,0.0114876,92.5524,0.394915,123983,50
quote-event time,,dmid_usd,,,1.18062,0.0124544,94.7951,0.590468,30995,200
quote-event time,,dmid_usd,,,1.05292,0.0184809,56.9734,0.632075,6198,1000
