window_s,definition,beta,std_error,t_stat,r2,n_windows,r2_ofi_alone,r2_joint_with_ofi,incremental_r2_over_ofi,closest_to_zj_at_10s
1,signed_volume_btc,0.752671,0.302356,2.48935,0.0123896,506270,0.359472,0.36094,0.00146835,False
1,signed_notional_usd,1.17111e-05,4.74642e-06,2.46736,0.012335,506270,0.359472,0.360963,0.00149096,False
1,signed_trade_count,1.06647,0.0939521,11.3513,0.152276,506270,0.359472,0.398875,0.0394035,True
1,signed_sqrt_volume,1.99871,0.199549,10.0161,0.046835,506270,0.359472,0.362506,0.00303465,False
5,signed_volume_btc,1.22245,0.417512,2.92794,0.0300894,133844,0.513676,0.514475,0.000798359,False
5,signed_notional_usd,1.90331e-05,6.55431e-06,2.9039,0.0300092,133844,0.513676,0.51449,0.000813115,False
5,signed_trade_count,1.22293,0.101263,12.0768,0.215291,133844,0.513676,0.545651,0.0319749,True
5,signed_sqrt_volume,2.46369,0.352987,6.97956,0.0815723,133844,0.513676,0.516931,0.00325413,False
10,signed_volume_btc,1.38081,0.471059,2.93129,0.0356869,68720,0.569828,0.570298,0.000469413,False
10,signed_notional_usd,2.14936e-05,7.3946e-06,2.90666,0.0355571,68720,0.569828,0.570312,0.000483422,False
10,signed_trade_count,1.26316,0.104626,12.073,0.233902,68720,0.569828,0.599235,0.0294065,True
10,signed_sqrt_volume,2.68008,0.35453,7.55954,0.0934056,68720,0.569828,0.573031,0.00320264,False
30,signed_volume_btc,1.60293,0.428738,3.7387,0.0468689,23030,0.616459,0.617308,0.000848612,False
30,signed_notional_usd,2.49686e-05,6.73544e-06,3.70705,0.0466995,23030,0.616459,0.617337,0.000877738,False
30,signed_trade_count,1.18069,0.143693,8.21676,0.235364,23030,0.616459,0.641134,0.0246745,True
30,signed_sqrt_volume,2.86255,0.329737,8.68131,0.112711,23030,0.616459,0.618247,0.00178834,False
60,signed_volume_btc,1.77591,0.50839,3.4932,0.057888,11516,0.617454,0.617794,0.000340091,False
60,signed_notional_usd,2.76865e-05,7.99377e-06,3.46351,0.057744,11516,0.617454,0.617815,0.000361545,False
60,signed_trade_count,1.12658,0.142928,7.8821,0.232018,11516,0.617454,0.643829,0.0263755,True
60,signed_sqrt_volume,3.01146,0.345016,8.72848,0.131615,11516,0.617454,0.620267,0.00281295,False
300,signed_volume_btc,2.24197,0.575539,3.89543,0.121366,2303,0.545048,0.547045,0.00199646,False
300,signed_notional_usd,3.50482e-05,9.06373e-06,3.86686,0.121549,2303,0.545048,0.54703,0.00198156,False
300,signed_trade_count,0.774675,0.23052,3.36055,0.176633,2303,0.545048,0.587649,0.0426011,True
300,signed_sqrt_volume,2.97091,0.322128,9.22278,0.198219,2303,0.545048,0.558816,0.0137683,False
600,signed_volume_btc,2.88117,0.625363,4.60719,0.20184,1151,0.515813,0.526202,0.0103884,False
600,signed_notional_usd,4.51045e-05,9.85349e-06,4.57751,0.202698,1151,0.515813,0.526278,0.0104643,False
600,signed_trade_count,0.725186,0.252775,2.8689,0.17911,1151,0.515813,0.566703,0.0508902,True
600,signed_sqrt_volume,3.31401,0.361254,9.17363,0.273322,1151,0.515813,0.544066,0.0282527,False
