volume_bin,mean_normalised_volume,mean_qty_btc,response_usd,sem_usd,response_bps,n
1,4.89049e-07,8.09523e-07,3.20036,0.135213,0.500648,692
3,1.05111e-05,1.7399e-05,0.120275,0.0270612,0.0188741,2508
4,3.15449e-05,5.22163e-05,0.985728,0.0265567,0.153978,13824
5,9.27474e-05,0.000153525,0.802906,0.0174566,0.125696,25153
6,0.000288899,0.000478214,1.48212,0.0163056,0.231819,45125
7,0.0010173,0.00168394,2.72856,0.0230278,0.426304,40030
8,0.00331674,0.0054902,1.5309,0.0249456,0.239353,21717
9,0.0113807,0.0188385,2.06229,0.0284505,0.322266,21004
10,0.0390294,0.0646054,1.80341,0.0371002,0.282073,12025
11,0.119377,0.197604,1.93641,0.0564994,0.302675,6149
12,0.388163,0.642526,1.44319,0.0578157,0.225863,5720
