lag,n,response_usd,sem_usd,response_bps,sem_bps
1,195932,1.72112,0.00876837,0.269062,0.00137099
2,195931,2.39535,0.0133403,0.374459,0.00208582
3,195930,2.82135,0.017251,0.441049,0.00269717
4,195929,3.11626,0.0207527,0.487143,0.00324452
5,195928,3.35415,0.0239512,0.524346,0.00374443
6,195927,3.55147,0.0268966,0.555198,0.0042048
7,195926,3.71324,0.0296412,0.580489,0.00463376
8,195925,3.84858,0.0322134,0.601655,0.00503576
9,195924,3.96162,0.0346698,0.619293,0.00541969
10,195923,4.05425,0.0370114,0.633768,0.00578567
11,195922,4.14352,0.0392468,0.6477,0.00613505
12,195921,4.23438,0.0413891,0.661901,0.00646991
13,195920,4.2932,0.0434599,0.671099,0.0067936
14,195919,4.34437,0.0454575,0.679114,0.00710582
15,195918,4.38908,0.0473844,0.686116,0.00740695
16,195917,4.44323,0.0492474,0.6946,0.00769807
17,195916,4.48811,0.051051,0.701613,0.00797996
18,195915,4.52412,0.0528028,0.707263,0.00825373
19,195914,4.56257,0.0544964,0.71327,0.00851841
20,195913,4.5902,0.0561459,0.717576,0.00877615
21,195912,4.61185,0.0577533,0.720929,0.00902731
22,195911,4.6423,0.0593179,0.725699,0.00927174
23,195910,4.66995,0.0608503,0.729994,0.00951115
24,195909,4.69827,0.0623508,0.734436,0.00974557
25,195908,4.72934,0.0638161,0.739316,0.00997448
26,195907,4.74073,0.0652584,0.741099,0.0101998
27,195906,4.76278,0.0666682,0.744533,0.0104201
28,195905,4.78833,0.0680477,0.748569,0.0106356
29,195904,4.82029,0.0694044,0.753567,0.0108476
30,195903,4.84771,0.0707453,0.757882,0.0110571
31,195902,4.86775,0.0720704,0.761043,0.0112641
32,195901,4.89033,0.0733765,0.764579,0.0114682
33,195900,4.93316,0.0746556,0.771264,0.011668
34,195899,4.95727,0.075925,0.775047,0.0118663
35,195898,4.97607,0.07718,0.778008,0.0120624
36,195897,5.00191,0.0784153,0.782067,0.0122554
37,195896,5.01136,0.0796372,0.783578,0.0124463
38,195895,5.00753,0.0808381,0.782985,0.012634
39,195894,5.0087,0.0820186,0.783187,0.0128184
40,195893,5.00704,0.0831842,0.782939,0.0130006
41,195892,5.00717,0.0843339,0.78298,0.0131802
42,195891,5.00058,0.0854698,0.781981,0.0133577
43,195890,4.99298,0.0865892,0.780802,0.0135327
44,195889,4.99609,0.0876928,0.781308,0.0137051
45,195888,4.99511,0.0887842,0.781176,0.0138757
46,195887,4.99574,0.0898639,0.78128,0.0140444
47,195886,4.99991,0.0909283,0.781947,0.0142107
48,195885,4.99196,0.0919838,0.780706,0.0143756
49,195884,4.99271,0.0930274,0.780823,0.0145387
50,195883,4.99993,0.0940631,0.781968,0.0147005
51,195882,5.01063,0.0950879,0.783675,0.0148607
52,195881,5.01828,0.0961045,0.784893,0.0150196
53,195880,5.00242,0.0971166,0.782463,0.0151778
54,195879,5.00051,0.0981158,0.782189,0.015334
55,195878,5.01183,0.0991027,0.783992,0.0154883
56,195877,5.02402,0.100081,0.785929,0.0156412
57,195876,5.01797,0.101058,0.784992,0.0157939
58,195875,5.02396,0.102021,0.785928,0.0159445
59,195874,5.03355,0.102976,0.78745,0.0160938
60,195873,5.04869,0.103921,0.789806,0.0162417
61,195872,5.05718,0.104864,0.791138,0.0163891
62,195871,5.074,0.105797,0.7938,0.0165349
63,195870,5.07592,0.106728,0.794092,0.0166806
64,195869,5.07297,0.107651,0.793606,0.0168249
65,195868,5.07247,0.108562,0.793527,0.0169674
66,195867,5.06365,0.109467,0.792141,0.017109
67,195866,5.05847,0.110362,0.791322,0.017249
68,195865,5.0516,0.11125,0.790242,0.0173877
69,195864,5.05197,0.112133,0.790267,0.0175258
70,195863,5.05453,0.113009,0.790655,0.0176628
71,195862,5.05351,0.113879,0.790475,0.0177987
72,195861,5.05597,0.114741,0.790831,0.0179336
73,195860,5.06073,0.115598,0.791582,0.0180675
74,195859,5.07727,0.116446,0.794163,0.0182001
75,195858,5.0966,0.117292,0.797183,0.0183323
76,195857,5.09403,0.118136,0.796756,0.0184643
77,195856,5.1051,0.118971,0.798473,0.0185949
78,195855,5.10938,0.119803,0.799119,0.018725
79,195854,5.11071,0.120631,0.799304,0.0188545
80,195853,5.11095,0.121454,0.799313,0.0189831
