horizon_quote_events,imbalance_bin,mean_imbalance,mean_forward_return_bps,sem_bps,n
1,0,-0.99959,-0.0390068,0.000227137,309962
1,1,-0.997778,-0.0183004,0.000174637,309961
1,2,-0.992593,-0.00826557,0.000153019,309966
1,3,-0.979811,-0.00336846,0.000152177,309959
1,4,-0.954275,-0.0058693,0.000144465,309963
1,5,-0.903,-0.00695213,0.000176459,309962
1,6,-0.806995,-0.00790474,0.00016622,309962
1,7,-0.667153,-0.00912423,0.000167845,309962
1,8,-0.482923,-0.00639646,0.000177528,309962
1,9,-0.274046,-0.00663674,0.000176372,309961
1,10,-0.0536062,-0.00130474,0.000189852,309968
1,11,0.152613,0.00367952,0.000168599,309964
1,12,0.38125,0.00434847,0.000184193,309957
1,13,0.59422,0.00988221,0.000169832,309963
1,14,0.772207,0.00878727,0.00016519,309960
1,15,0.894933,0.00853805,0.000179447,309962
1,16,0.956788,0.0081546,0.000158039,309945
1,17,0.984653,0.00607939,0.000166899,309980
1,18,0.996069,0.0157696,0.000174836,309962
1,19,0.999345,0.0474902,0.000253426,309963
2,0,-0.99959,-0.0763503,0.000321125,309962
2,1,-0.997778,-0.0351454,0.000240003,309961
2,2,-0.992593,-0.0154942,0.000199298,309966
2,3,-0.979811,-0.00858789,0.000201444,309959
2,4,-0.954275,-0.0112148,0.000191622,309963
2,5,-0.903,-0.0133848,0.000230835,309962
2,6,-0.806995,-0.0143637,0.000215764,309962
2,7,-0.667153,-0.0146033,0.000216693,309962
2,8,-0.482923,-0.0116933,0.000227969,309962
2,9,-0.274046,-0.0101743,0.000225505,309961
2,10,-0.0536062,-0.00223309,0.000239763,309968
2,11,0.152613,0.0056518,0.000212906,309964
2,12,0.38125,0.00801462,0.000234038,309957
2,13,0.59422,0.0155404,0.000218142,309963
2,14,0.772207,0.0153924,0.000213501,309960
2,15,0.894933,0.0164227,0.000236245,309961
2,16,0.956788,0.0148176,0.000210263,309945
2,17,0.984653,0.0137511,0.000222339,309980
2,18,0.996069,0.0309994,0.000241871,309962
2,19,0.999345,0.0918526,0.00035817,309963
5,0,-0.99959,-0.180162,0.000524581,309962
5,1,-0.997778,-0.0828834,0.000391117,309961
5,2,-0.992593,-0.0423789,0.000314303,309966
5,3,-0.979811,-0.0299851,0.000298149,309959
5,4,-0.954275,-0.0286373,0.000290992,309963
5,5,-0.903,-0.0285491,0.000309761,309962
5,6,-0.806995,-0.026901,0.000293853,309962
5,7,-0.667153,-0.0251498,0.000291457,309962
5,8,-0.482923,-0.0195683,0.000293525,309962
5,9,-0.274046,-0.0142679,0.000287467,309961
5,10,-0.0536062,-0.00293526,0.000297257,309968
5,11,0.152613,0.00755817,0.000272855,309964
5,12,0.38125,0.0136421,0.000298461,309957
5,13,0.59422,0.0243277,0.000289936,309963
5,14,0.772207,0.0274301,0.000294702,309957
5,15,0.894933,0.0331083,0.000327882,309961
5,16,0.956788,0.036959,0.000319197,309945
5,17,0.984653,0.0432634,0.000351444,309980
5,18,0.996069,0.0796661,0.000406926,309962
5,19,0.999345,0.213453,0.00058741,309963
10,0,-0.99959,-0.324728,0.000778313,309962
10,1,-0.997778,-0.158118,0.000589687,309961
10,2,-0.992593,-0.0917168,0.000479983,309966
10,3,-0.979811,-0.0698597,0.00045167,309959
10,4,-0.954275,-0.0595265,0.000426274,309963
10,5,-0.903,-0.0519862,0.000421084,309962
10,6,-0.806995,-0.0457729,0.000398651,309962
10,7,-0.667153,-0.0387242,0.000391672,309962
10,8,-0.482923,-0.0282738,0.000373185,309962
10,9,-0.274046,-0.0194592,0.000366684,309961
10,10,-0.0536062,-0.00395033,0.000372827,309968
10,11,0.152613,0.00923481,0.000346301,309964
10,12,0.38125,0.0181253,0.000375899,309957
10,13,0.59422,0.0351102,0.000377228,309958
10,14,0.772207,0.0456064,0.00040458,309957
10,15,0.894933,0.0590732,0.000449429,309961
10,16,0.956788,0.0766385,0.000478131,309945
10,17,0.984653,0.0988538,0.000539969,309980
10,18,0.996069,0.16427,0.000638298,309962
10,19,0.999345,0.381192,0.000864459,309963
20,0,-0.99959,-0.518067,0.00109872,309962
20,1,-0.997778,-0.293103,0.000902174,309961
20,2,-0.992593,-0.194365,0.000790374,309966
20,3,-0.979811,-0.158539,0.000752701,309959
20,4,-0.954275,-0.128683,0.000692146,309963
20,5,-0.903,-0.100742,0.000645468,309962
20,6,-0.806995,-0.0843192,0.000609499,309962
20,7,-0.667153,-0.0660435,0.000584895,309961
20,8,-0.482923,-0.0439539,0.000547161,309957
20,9,-0.274046,-0.0272972,0.000533839,309957
20,10,-0.0536062,-0.00513678,0.000532775,309968
20,11,0.152613,0.012906,0.000514531,309964
20,12,0.38125,0.030625,0.000543463,309957
20,13,0.59422,0.0610945,0.00057156,309958
20,14,0.772207,0.088218,0.000640803,309957
20,15,0.894933,0.119529,0.000709798,309961
20,16,0.956788,0.167328,0.000786891,309945
20,17,0.984653,0.218481,0.000878656,309980
20,18,0.996069,0.31844,0.000992509,309962
20,19,0.999345,0.595642,0.00119557,309963
50,0,-0.99959,-0.840871,0.00166129,309962
50,1,-0.997778,-0.546816,0.00154464,309961
50,2,-0.992593,-0.40307,0.00148133,309966
50,3,-0.979811,-0.350818,0.00144036,309957
50,4,-0.954275,-0.29511,0.00136857,309958
50,5,-0.903,-0.229799,0.00127157,309947
50,6,-0.806995,-0.174462,0.00122942,309960
50,7,-0.667153,-0.125534,0.00119683,309955
50,8,-0.482923,-0.0749401,0.00113532,309957
50,9,-0.274046,-0.042503,0.00109641,309957
50,10,-0.0536062,-0.00547915,0.00109344,309968
50,11,0.152613,0.0288715,0.00108996,309964
50,12,0.38125,0.0696926,0.00113886,309957
50,13,0.59422,0.134078,0.0012153,309958
50,14,0.772207,0.197745,0.00134288,309957
50,15,0.894933,0.272161,0.0013984,309961
50,16,0.956788,0.378471,0.00151166,309945
50,17,0.984653,0.460661,0.0015922,309980
50,18,0.996069,0.594617,0.00164555,309962
50,19,0.999345,0.933309,0.00176453,309963
100,0,-0.99959,-1.12486,0.00249688,309962
100,1,-0.997778,-0.754223,0.00239887,309961
100,2,-0.992593,-0.574717,0.0023812,309966
100,3,-0.979811,-0.515318,0.00230965,309957
100,4,-0.954275,-0.438223,0.00222648,309958
100,5,-0.903,-0.344516,0.00214044,309945
100,6,-0.806995,-0.252615,0.00209981,309952
100,7,-0.667153,-0.177049,0.00207624,309937
100,8,-0.482923,-0.0977258,0.00202564,309945
100,9,-0.274046,-0.0495534,0.00195135,309952
100,10,-0.0536062,-6.40275e-06,0.00198893,309965
100,11,0.152613,0.0524518,0.00197233,309962
100,12,0.38125,0.114105,0.00203967,309957
100,13,0.59422,0.204841,0.0021395,309958
100,14,0.772207,0.298254,0.00228485,309957
100,15,0.894933,0.414466,0.00232597,309961
100,16,0.956788,0.55451,0.00242516,309945
100,17,0.984653,0.652978,0.00250211,309980
100,18,0.996069,0.793549,0.00248476,309962
100,19,0.999345,1.20445,0.00261134,309963
200,0,-0.99959,-1.37294,0.00392119,309962
200,1,-0.997778,-0.928538,0.00380157,309960
200,2,-0.992593,-0.729076,0.00381139,309966
200,3,-0.979811,-0.672551,0.0037021,309957
200,4,-0.954275,-0.570957,0.00355695,309958
200,5,-0.903,-0.440307,0.00346938,309945
200,6,-0.806995,-0.299754,0.00349218,309944
200,7,-0.667153,-0.204374,0.00344305,309924
200,8,-0.482923,-0.107958,0.00343223,309939
200,9,-0.274046,-0.0438109,0.0033432,309934
200,10,-0.0536062,0.02306,0.00339521,309959
200,11,0.152613,0.0838534,0.00337781,309956
200,12,0.38125,0.162367,0.0034433,309951
200,13,0.59422,0.271905,0.00356377,309958
200,14,0.772207,0.386139,0.00368274,309943
200,15,0.894933,0.533759,0.00370173,309944
200,16,0.956788,0.69845,0.00379034,309945
200,17,0.984653,0.800395,0.00388368,309977
200,18,0.996069,0.942543,0.0038517,309962
200,19,0.999345,1.39109,0.00398236,309961
500,0,-0.99959,-1.59301,0.0070981,309962
500,1,-0.997778,-1.06375,0.00676294,309960
500,2,-0.992593,-0.850867,0.00669925,309966
500,3,-0.979811,-0.749759,0.00659024,309957
500,4,-0.954275,-0.651673,0.00634575,309958
500,5,-0.903,-0.519387,0.00618134,309943
500,6,-0.806995,-0.359217,0.00624491,309923
500,7,-0.667153,-0.254989,0.00617684,309910
500,8,-0.482923,-0.0980831,0.00614116,309924
500,9,-0.274046,-0.0060885,0.00612293,309920
500,10,-0.0536062,0.0299977,0.00618682,309920
500,11,0.152613,0.0996809,0.00617756,309900
500,12,0.38125,0.204146,0.00621259,309933
500,13,0.59422,0.328027,0.00632847,309926
500,14,0.772207,0.455526,0.00646425,309915
500,15,0.894933,0.616926,0.00649248,309940
500,16,0.956788,0.787366,0.00665442,309939
500,17,0.984653,0.879512,0.00674231,309965
500,18,0.996069,1.0475,0.00675601,309951
500,19,0.999345,1.50788,0.0068884,309933
1000,0,-0.99959,-1.70322,0.0105214,309961
1000,1,-0.997778,-1.13742,0.0099219,309959
1000,2,-0.992593,-0.858392,0.00993272,309963
1000,3,-0.979811,-0.744557,0.00977052,309952
1000,4,-0.954275,-0.680753,0.00942047,309957
1000,5,-0.903,-0.563184,0.00928929,309932
1000,6,-0.806995,-0.332282,0.00932478,309906
1000,7,-0.667153,-0.25759,0.00920719,309894
1000,8,-0.482923,-0.0900221,0.00911149,309909
1000,9,-0.274046,0.0213474,0.00900954,309887
1000,10,-0.0536062,0.0624321,0.00908727,309897
