lag_steps,sigma,n,sem_iid,tau_s,hurst_all_lags,hurst_diffusive
2,1.54703e-05,6911955,4.16086e-09,0.2,0.573512,0.56707
3,1.9348e-05,6911947,5.20381e-09,0.3,0.573512,0.56707
4,2.276e-05,6911939,6.12149e-09,0.4,0.573512,0.56707
5,2.57694e-05,6911931,6.9309e-09,0.5,0.573512,0.56707
7,3.12613e-05,6911915,8.40801e-09,0.7,0.573512,0.56707
8,3.37509e-05,6911907,9.07762e-09,0.8,0.573512,0.56707
10,3.83663e-05,6911891,1.0319e-08,1,0.573512,0.56707
12,4.26394e-05,6911875,1.14683e-08,1.2,0.573512,0.56707
14,4.66317e-05,6911859,1.25421e-08,1.4,0.573512,0.56707
17,5.22085e-05,6911835,1.4042e-08,1.7,0.573512,0.56707
21,5.90657e-05,6911803,1.58864e-08,2.1,0.573512,0.56707
26,6.6938e-05,6911763,1.80038e-08,2.6,0.573512,0.56707
31,7.42242e-05,6911723,1.99635e-08,3.1,0.573512,0.56707
38,8.36609e-05,6911667,2.25017e-08,3.8,0.573512,0.56707
47,9.47553e-05,6911595,2.54859e-08,4.7,0.573512,0.56707
57,0.00010608,6911515,2.8532e-08,5.7,0.573512,0.56707
69,0.000118624,6911419,3.19063e-08,6.9,0.573512,0.56707
84,0.000133055,6911299,3.5788e-08,8.4,0.573512,0.56707
102,0.000148913,6911155,4.00536e-08,10.2,0.573512,0.56707
124,0.000166495,6910979,4.47832e-08,12.4,0.573512,0.56707
151,0.000185944,6910763,5.00156e-08,15.1,0.573512,0.56707
184,0.000207502,6910499,5.58152e-08,18.4,0.573512,0.56707
224,0.000231324,6910179,6.22244e-08,22.4,0.573512,0.56707
273,0.000257776,6909787,6.93419e-08,27.3,0.573512,0.56707
333,0.000286999,6909307,7.72055e-08,33.3,0.573512,0.56707
405,0.000319084,6908731,8.58401e-08,40.5,0.573512,0.56707
493,0.000354379,6908027,9.53403e-08,49.3,0.573512,0.56707
600,0.000393458,6907171,1.0586e-07,60,0.573512,0.56707
