window_s,mean_count,var_count,fano,n_windows,stream
0.1,0.028348,0.0650005,2.29295,6911711,aggressive orders
0.5,0.14174,0.393275,2.77463,1382343,aggressive orders
1,0.283479,0.909201,3.20729,691172,aggressive orders
5,1.41739,7.43682,5.24684,138235,aggressive orders
10,2.83476,18.5533,6.54493,69118,aggressive orders
30,8.50404,88.5561,10.4134,23040,aggressive orders
60,17.0081,240.803,14.1582,11520,aggressive orders
300,85.0404,3453.93,40.6152,2304,aggressive orders
0.1,0.0533848,0.433515,8.12056,7775708,fills
0.5,0.266924,2.37527,8.89868,1555142,fills
1,0.533848,5.15909,9.66396,777571,fills
5,2.66923,37.0355,13.875,155515,fills
10,5.33842,90.7761,17.0043,77758,fills
30,16.0149,407.509,25.4457,25920,fills
60,32.0297,1118.38,34.9171,12960,fills
300,160.149,15941.6,99.5425,2592,fills
0.1,0.896882,15.8369,17.6577,6911993,top-of-book events
0.5,4.48441,117.138,26.1212,1382399,top-of-book events
1,8.96882,294.625,32.8499,691200,top-of-book events
5,44.8441,2516.08,56.1074,138240,top-of-book events
10,89.6882,6773.51,75.5229,69120,top-of-book events
30,269.064,38682.6,143.767,23040,top-of-book events
60,538.129,127455,236.849,11520,top-of-book events
300,2690.64,2.47612e+06,920.271,2304,top-of-book events
