period_s,role,n_days,mean_z_per_day,min_day_z,max_day_z,null_mean_z,null_sd_z,score_vs_null,p_jitter,spectral_continuum,ratio_to_continuum,significant
0.1,candidate,8,15.5732,1.04433,78.119,0.976799,0.382492,38.1612,0.00990099,1.64159,9.48663,True
0.2,candidate,8,12.4334,3.69748,18.8037,1.03375,0.362889,31.4136,0.00990099,2.01471,6.1713,True
0.25,candidate,8,47.2282,7.69999,92.5366,0.999734,0.344411,134.224,0.00990099,1.93899,24.3571,True
0.5,candidate,8,54.5186,11.2956,121.103,1.00199,0.353382,151.441,0.00990099,2.17581,25.0567,True
1,candidate,8,211.49,135.027,289.004,1.01915,0.375585,560.381,0.00990099,2.65041,79.7953,True
1.25,candidate,8,203.853,28.8667,456.236,1.02078,0.361131,561.658,0.00990099,2.50135,81.497,True
2,candidate,8,109.253,1.83155,262.872,0.9842,0.30764,351.933,0.00990099,2.62837,41.5668,True
2.5,candidate,8,266.215,110.432,509.194,1.01887,0.355497,745.986,0.00990099,2.97716,89.4191,True
5,candidate,8,54.8425,36.1049,90.9826,0.979774,0.328571,163.93,0.00990099,3.19997,17.1385,True
10,candidate,8,121.682,53.9855,216.139,0.990281,0.404858,298.109,0.00990099,4.20334,28.9489,True
15,candidate,8,18.6649,1.0436,62.8991,1.02283,0.375904,46.9323,0.00990099,3.72246,5.01411,True
20,candidate,8,25.2184,1.35992,64.4098,0.976432,0.346044,70.0547,0.00990099,3.92382,6.427,True
30,candidate,8,29.2566,6.31719,55.0858,1.07157,0.394375,71.4676,0.00990099,4.45838,6.56216,True
60,candidate,8,47.3667,9.77302,78.8702,1.0445,0.359556,128.832,0.00990099,5.91652,8.00585,True
120,candidate,8,5.36698,0.842025,13.3107,1.03867,0.410413,10.5462,0.00990099,,,True
300,candidate,8,29.4533,2.06764,78.9102,1.02875,0.344418,82.5293,0.00990099,,,True
600,candidate,8,31.3853,5.29343,102.267,0.993322,0.352509,86.2161,0.00990099,,,True
0.7,control,8,3.32606,0.0292503,14.4355,0.99305,0.329225,7.08637,0.00990099,2.12901,1.56226,True
1.1,control,8,1.86304,0.249895,4.12097,0.939137,0.303651,3.04264,0.00990099,2.61842,0.711513,False
3.7,control,8,5.24629,0.0202068,16.009,0.988988,0.37462,11.3643,0.00990099,3.05819,1.71549,True
7,control,8,1.99576,0.262917,4.72627,1.03063,0.377279,2.55814,0.029703,3.39681,0.587541,False
13,control,8,1.56088,0.212831,4.41481,0.977789,0.333575,1.74799,0.0594059,3.97211,0.392959,False
41,control,8,2.16621,0.669401,7.9191,0.948641,0.349356,3.48517,0.00990099,5.02366,0.431201,False
