bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0,0.001,160,0.793889,0.0698485,8
0.001,0.002,184,0.905939,0.0645568,8
0.002,0.003,180,0.890208,0.0721737,8
0.003,0.004,157,0.779545,0.0936121,8
0.004,0.005,172,0.858549,0.071796,8
0.005,0.006,173,0.869301,0.0744806,8
0.006,0.007,185,0.954289,0.0447156,8
0.007,0.008,188,0.949339,0.0971343,8
0.008,0.009,139,0.720995,0.0979743,8
0.009,0.01,87,0.43003,0.0358671,8
0.01,0.011,213,1.08662,0.12879,8
0.011,0.012,275,1.49254,0.214215,8
0.012,0.013,215,1.11146,0.100339,8
0.013,0.014,236,1.22381,0.12008,8
0.014,0.015,259,1.30852,0.113626,8
0.015,0.016,273,1.34872,0.134786,8
0.016,0.017,280,1.4171,0.143483,8
0.017,0.018,223,1.14044,0.0973527,8
0.018,0.019,280,1.48387,0.167568,8
0.019,0.02,248,1.30885,0.0951039,8
0.02,0.021,231,1.2044,0.0549982,8
0.021,0.022,251,1.30681,0.0742356,8
0.022,0.023,241,1.22968,0.147588,8
0.023,0.024,221,1.14361,0.102777,8
0.024,0.025,221,1.1069,0.0909087,8
0.025,0.026,215,1.05664,0.0788066,8
0.026,0.027,182,0.887522,0.0816063,8
0.027,0.028,173,0.869307,0.0544733,8
0.028,0.029,184,0.934498,0.106509,8
0.029,0.03,188,0.932649,0.0965483,8
0.03,0.031,145,0.711555,0.098295,8
0.031,0.032,79,0.378772,0.0744078,8
0.032,0.033,254,1.36696,0.136084,8
0.033,0.034,197,0.997894,0.0777459,8
0.034,0.035,227,1.21339,0.139646,8
0.035,0.036,224,1.12042,0.0828652,8
0.036,0.037,211,1.06697,0.127902,8
0.037,0.038,246,1.26244,0.112355,8
0.038,0.039,192,0.963189,0.106778,8
0.039,0.04,148,0.735293,0.0759855,8
0.04,0.041,189,0.97984,0.12922,8
0.041,0.042,204,1.04768,0.0500812,8
0.042,0.043,161,0.824307,0.0560256,8
0.043,0.044,162,0.824193,0.0758506,8
0.044,0.045,177,0.88844,0.0807922,8
0.045,0.046,169,0.869333,0.0504918,8
0.046,0.047,179,0.894567,0.0657078,8
0.047,0.048,186,0.948065,0.0615393,8
0.048,0.049,256,1.26755,0.102995,8
0.049,0.05,213,1.06016,0.110589,8
0.05,0.051,189,0.97009,0.0903421,8
0.051,0.052,204,1.04211,0.0637549,8
0.052,0.053,162,0.826122,0.0918124,8
0.053,0.054,124,0.586444,0.12964,8
0.054,0.055,271,1.41559,0.118281,8
0.055,0.056,206,1.09871,0.101635,8
0.056,0.057,254,1.26897,0.0920136,8
0.057,0.058,193,0.980739,0.0843133,8
0.058,0.059,207,1.00431,0.104074,8
0.059,0.06,195,0.990068,0.079837,8
0.06,0.061,194,0.961736,0.0854796,8
0.061,0.062,212,1.06042,0.0950278,8
0.062,0.063,165,0.838798,0.0796181,8
0.063,0.064,193,0.964517,0.100994,8
0.064,0.065,173,0.892712,0.0761315,8
0.065,0.066,198,0.976568,0.0786454,8
0.066,0.067,177,0.903137,0.0359635,8
0.067,0.068,182,0.904662,0.0924499,8
0.068,0.069,187,0.934109,0.0705492,8
0.069,0.07,181,0.923349,0.121135,8
0.07,0.071,175,0.889118,0.0388162,8
0.071,0.072,169,0.870659,0.0722363,8
0.072,0.073,180,0.874491,0.120333,8
0.073,0.074,195,0.985185,0.0617562,8
0.074,0.075,146,0.725354,0.0858377,8
0.075,0.076,144,0.708457,0.108838,8
0.076,0.077,263,1.35468,0.0856627,8
0.077,0.078,194,1.00335,0.102442,8
0.078,0.079,197,1.01328,0.0872751,8
0.079,0.08,197,1.01517,0.0890216,8
0.08,0.081,242,1.26419,0.0779652,8
0.081,0.082,238,1.19079,0.117414,8
0.082,0.083,272,1.34753,0.175809,8
0.083,0.084,254,1.25728,0.137264,8
0.084,0.085,275,1.377,0.133363,8
0.085,0.086,246,1.24821,0.126626,8
0.086,0.087,229,1.17348,0.105315,8
0.087,0.088,239,1.25408,0.118754,8
0.088,0.089,257,1.30776,0.0747755,8
0.089,0.09,240,1.2451,0.104776,8
0.09,0.091,250,1.27326,0.0818494,8
0.091,0.092,252,1.29941,0.0775938,8
0.092,0.093,263,1.36507,0.119124,8
0.093,0.094,224,1.13884,0.104765,8
0.094,0.095,266,1.32018,0.115883,8
0.095,0.096,232,1.196,0.0698065,8
0.096,0.097,176,0.911174,0.100517,8
0.097,0.098,210,1.01436,0.139374,8
0.098,0.099,331,1.71995,0.0977275,8
0.099,0.1,233,1.18849,0.0710436,8
0.1,0.101,215,1.10339,0.101467,8
0.101,0.102,284,1.45697,0.0959998,8
0.102,0.103,273,1.36569,0.0992887,8
0.103,0.104,265,1.36723,0.150243,8
0.104,0.105,278,1.43708,0.107652,8
0.105,0.106,288,1.4601,0.139029,8
0.106,0.107,215,1.08407,0.0760262,8
0.107,0.108,246,1.21441,0.0825244,8
0.108,0.109,264,1.33899,0.0975444,8
0.109,0.11,247,1.29505,0.0917991,8
0.11,0.111,248,1.24608,0.115124,8
0.111,0.112,287,1.49573,0.182729,8
0.112,0.113,275,1.44396,0.173822,8
0.113,0.114,289,1.45785,0.164123,8
0.114,0.115,267,1.34377,0.0892735,8
0.115,0.116,323,1.59027,0.130256,8
0.116,0.117,298,1.46376,0.196456,8
0.117,0.118,310,1.5421,0.125079,8
0.118,0.119,182,0.877974,0.0995498,8
0.119,0.12,179,0.867701,0.140638,8
0.12,0.121,359,1.83524,0.0999882,8
0.121,0.122,280,1.47238,0.119265,8
0.122,0.123,282,1.38659,0.113979,8
0.123,0.124,264,1.28901,0.185207,8
0.124,0.125,265,1.30801,0.0998608,8
0.125,0.126,318,1.59049,0.139428,8
0.126,0.127,275,1.40328,0.141992,8
0.127,0.128,290,1.45284,0.15326,8
0.128,0.129,266,1.38666,0.147231,8
0.129,0.13,292,1.51323,0.0963927,8
0.13,0.131,286,1.47734,0.0708776,8
0.131,0.132,243,1.21721,0.130359,8
0.132,0.133,275,1.42466,0.086477,8
0.133,0.134,285,1.45574,0.0546683,8
0.134,0.135,255,1.31402,0.0981988,8
0.135,0.136,246,1.2442,0.123811,8
0.136,0.137,298,1.54124,0.133996,8
0.137,0.138,267,1.37718,0.14555,8
0.138,0.139,258,1.31443,0.11763,8
0.139,0.14,271,1.36309,0.111687,8
0.14,0.141,161,0.800968,0.103406,8
0.141,0.142,199,0.989597,0.111352,8
0.142,0.143,386,2.0036,0.171115,8
0.143,0.144,276,1.41062,0.109629,8
0.144,0.145,297,1.52124,0.114979,8
0.145,0.146,266,1.35395,0.100198,8
0.146,0.147,232,1.23257,0.188562,8
0.147,0.148,270,1.37859,0.126129,8
0.148,0.149,322,1.6102,0.136463,8
0.149,0.15,332,1.6812,0.0832845,8
0.15,0.151,312,1.62672,0.164162,8
0.151,0.152,305,1.55344,0.0368011,8
0.152,0.153,287,1.46898,0.0811656,8
0.153,0.154,285,1.46208,0.199616,8
0.154,0.155,278,1.46226,0.108465,8
0.155,0.156,275,1.45637,0.158403,8
0.156,0.157,257,1.30465,0.105388,8
0.157,0.158,276,1.39958,0.136732,8
0.158,0.159,261,1.34462,0.135653,8
0.159,0.16,299,1.57133,0.209856,8
0.16,0.161,266,1.39128,0.146311,8
0.161,0.162,283,1.47962,0.170868,8
0.162,0.163,164,0.833227,0.143495,8
0.163,0.164,184,0.917723,0.116834,8
0.164,0.165,364,1.88815,0.173324,8
0.165,0.166,295,1.49065,0.145806,8
0.166,0.167,254,1.29511,0.127999,8
0.167,0.168,250,1.2904,0.122009,8
0.168,0.169,256,1.35177,0.116568,8
0.169,0.17,209,1.07613,0.145146,8
0.17,0.171,229,1.18238,0.114423,8
0.171,0.172,254,1.27653,0.130916,8
0.172,0.173,242,1.24609,0.133912,8
0.173,0.174,221,1.1174,0.133106,8
0.174,0.175,260,1.32922,0.140385,8
0.175,0.176,233,1.22759,0.171787,8
0.176,0.177,253,1.30721,0.128983,8
0.177,0.178,218,1.11171,0.10803,8
0.178,0.179,252,1.3517,0.156713,8
0.179,0.18,226,1.18754,0.103269,8
0.18,0.181,265,1.35229,0.12176,8
0.181,0.182,280,1.4224,0.139225,8
0.182,0.183,299,1.53397,0.0655155,8
0.183,0.184,327,1.6587,0.0684111,8
0.184,0.185,185,0.931224,0.0684121,8
0.185,0.186,185,0.911725,0.119083,8
0.186,0.187,345,1.84036,0.211024,8
0.187,0.188,292,1.55507,0.168462,8
0.188,0.189,281,1.51275,0.247966,8
0.189,0.19,284,1.47982,0.188777,8
0.19,0.191,277,1.45252,0.217425,8
0.191,0.192,258,1.32258,0.122775,8
0.192,0.193,237,1.25469,0.189415,8
0.193,0.194,271,1.38678,0.15927,8
0.194,0.195,304,1.55542,0.11654,8
0.195,0.196,280,1.43082,0.106711,8
0.196,0.197,262,1.37122,0.17635,8
0.197,0.198,248,1.28644,0.129625,8
0.198,0.199,228,1.19681,0.128366,8
0.199,0.2,246,1.29391,0.118877,8
0.2,0.201,243,1.25793,0.137368,8
0.201,0.202,266,1.37865,0.0889941,8
0.202,0.203,243,1.2519,0.100816,8
0.203,0.204,259,1.38892,0.165296,8
0.204,0.205,222,1.13796,0.0937259,8
0.205,0.206,244,1.28909,0.155561,8
0.206,0.207,170,0.877846,0.128201,8
0.207,0.208,157,0.808459,0.0544219,8
0.208,0.209,297,1.59478,0.294679,8
0.209,0.21,226,1.18654,0.106373,8
0.21,0.211,224,1.19076,0.133396,8
0.211,0.212,218,1.16777,0.212164,8
0.212,0.213,233,1.23063,0.166365,8
0.213,0.214,210,1.11607,0.158782,8
0.214,0.215,221,1.13856,0.0958424,8
0.215,0.216,251,1.29617,0.174839,8
0.216,0.217,246,1.30439,0.120429,8
0.217,0.218,248,1.26137,0.080313,8
0.218,0.219,229,1.1771,0.101994,8
0.219,0.22,230,1.1569,0.0580686,8
0.22,0.221,236,1.27414,0.209432,8
0.221,0.222,283,1.46631,0.129673,8
0.222,0.223,233,1.2263,0.126612,8
0.223,0.224,241,1.26802,0.148585,8
0.224,0.225,232,1.19782,0.151196,8
0.225,0.226,210,1.07223,0.146334,8
0.226,0.227,208,1.06886,0.133446,8
0.227,0.228,195,1.01806,0.152949,8
0.228,0.229,130,0.681737,0.138303,8
0.229,0.23,146,0.726548,0.0895221,8
0.23,0.231,258,1.36378,0.19081,8
0.231,0.232,231,1.21756,0.118073,8
0.232,0.233,213,1.0945,0.0880231,8
0.233,0.234,218,1.15012,0.114352,8
0.234,0.235,212,1.09037,0.0790124,8
0.235,0.236,226,1.1704,0.0813337,8
0.236,0.237,216,1.08384,0.0726077,8
0.237,0.238,187,0.984416,0.114167,8
0.238,0.239,192,1.02045,0.126307,8
0.239,0.24,184,0.930548,0.0410563,8
0.24,0.241,196,0.988946,0.0639581,8
0.241,0.242,194,1.01871,0.104195,8
0.242,0.243,204,1.08784,0.112536,8
0.243,0.244,182,0.949262,0.0594801,8
0.244,0.245,201,1.05231,0.0997803,8
