bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0,60,6924,2.14821,0.0931236,8
60,120,4367,1.33805,0.0805044,8
120,180,3584,1.11507,0.0677863,8
180,240,3615,1.09422,0.0343088,8
240,300,3460,1.06361,0.0521594,8
300,360,3661,1.12809,0.0996069,8
360,420,3560,1.08289,0.024196,8
420,480,4015,1.25185,0.111373,8
480,540,3604,1.10567,0.0554726,8
540,600,3519,1.07794,0.0750291,8
600,660,3259,0.986994,0.0457483,8
660,720,3239,0.982551,0.0618679,8
720,780,3007,0.922418,0.04966,8
780,840,2925,0.894958,0.0233826,8
840,900,2908,0.89403,0.0468146,8
900,960,3055,0.931697,0.0344625,8
960,1020,3011,0.91715,0.0214273,8
1020,1080,3035,0.928403,0.0131253,8
1080,1140,3195,0.976299,0.0531523,8
1140,1200,3211,0.996938,0.0393737,8
1200,1260,3241,0.98984,0.0442715,8
1260,1320,3085,0.939289,0.0519459,8
1320,1380,3009,0.92602,0.0304157,8
1380,1440,2948,0.888734,0.0319945,8
1440,1500,2841,0.875369,0.0371322,8
1500,1560,3275,0.991123,0.0344205,8
1560,1620,2864,0.887355,0.0189545,8
1620,1680,2838,0.881109,0.0394108,8
1680,1740,2825,0.872907,0.0472659,8
1740,1800,2658,0.81917,0.0230113,8
1800,1860,3647,1.10218,0.0486237,8
1860,1920,3483,1.09424,0.09301,8
1920,1980,3752,1.13672,0.0906135,8
1980,2040,3308,1.00175,0.037731,8
2040,2100,3225,0.985285,0.0405209,8
2100,2160,3231,0.975867,0.0389422,8
2160,2220,3228,0.994004,0.0491045,8
2220,2280,3207,0.982293,0.0255867,8
2280,2340,3096,0.950643,0.0422866,8
2340,2400,3433,1.04222,0.0636678,8
2400,2460,3518,1.04175,0.112191,8
2460,2520,3345,1.01206,0.0561976,8
2520,2580,3447,1.06442,0.0582249,8
2580,2640,2992,0.921943,0.0318414,8
2640,2700,2940,0.914236,0.0393793,8
2700,2760,3580,1.11953,0.0732371,8
2760,2820,3157,0.95884,0.0464852,8
2820,2880,3153,0.94701,0.0573004,8
2880,2940,3206,0.972273,0.0256087,8
2940,3000,3081,0.962436,0.0350216,8
3000,3060,3362,1.02538,0.049029,8
3060,3120,2991,0.908262,0.0202768,8
3120,3180,3043,0.919177,0.0340215,8
3180,3240,2985,0.910291,0.0144081,8
3240,3300,2900,0.884658,0.0405146,8
3300,3360,2920,0.898624,0.041108,8
3360,3420,2809,0.863616,0.0405188,8
3420,3480,2836,0.878916,0.043435,8
3480,3540,2680,0.815433,0.0267612,8
3540,3600,2640,0.80798,0.0241067,8
